EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTDefRebounds,DeadBallTurnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,LongMidRangePctBlocked,DefFTReboundPct,DefCorner3ReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimPctBlocked,LongMidRangeFGM,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,BlockedShortMidRange,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChancePointsPct,Offensive Fouls,Loose Ball Fouls Drawn,BlockedLongMidRange,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Corner3FGA,PenaltyCorner3FGA,Steals,LostBallSteals,Corner3Frequency,PenaltyCorner3Frequency,BadPassSteals,Travels,Offensive Fouls Drawn,LostBallTurnovers,HeaveAttempts,OffLongMidRangeReboundPct,LostBallOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,OffCorner3ReboundPct,LongMidRangeAssists,LongMidRangePctAssisted,DefensiveGoaltends,BlockingFoulsDrawn,Corner3FGM,SecondChanceFtPoints,PtsAssisted3s,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,BlockingFouls,Loose Ball Fouls,Charge Fouls Drawn,Assisted3sPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Frequency,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3,Defensive 3 Seconds Violations,Arc3PctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,Charge Fouls,Technical Free Throw Trips,3pt And 1 Free Throw Trips,3SecondViolations,team_id,year,season,team_vs
101181-1626204-1626224-1627790-203903,1610612739,"Jose Calderon, Larry Nance Jr., Cedi Osman, Ante Zizic, Jordan Clarkson","Calderon, Nance Jr., Osman, Zizic, Clarkson",101181-1626204-1626224-1627790-203903,CLE,482.0,2,8.0,-7.0,16.0,16.0,16.0,1.0,2.0,32,2.0,5.0,1.0,2.0,5.0,1.0,4.0,1.0,2.0,2.0,3.0,10.0,2.0,1.0,7.0,14.0,1.0,3.0,10.0,2.0,1.0,7.0,6.0,2.0,2.0,2.0,4.0,4.0,8.0,2.0,10.0,1.0,4.0,4.0,4.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,16.0,1.0,0.3,0.3,0.25,0.25,0.2692307692307692,0.2692307692307692,0.16666666666666666,0.2,0.5,1.0,0.6666666666666666,0.2857142857142857,1.0,0.8,0.2222222222222222,0.6666666666666666,0.5,1.0,0.5,1.0,0.14285714285714285,95.60165975103735,1.0,13.6875,16.4375,13.4375,16.25,0.4166666666666667,0.4,0.4,0.3333333333333333,0.25,0.5,0.08333333333333333,0.16666666666666666,1.0,0.4166666666666667,0.4,0.16666666666666666,0.5833333333333334,0.4984041666666667,0.7246,0.4984041666666667,1.0,5.71,26.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-1626204-1626224-1627790-203918,1610612739,"Jose Calderon, Larry Nance Jr., Cedi Osman, Ante Zizic, Rodney Hood","Calderon, Nance Jr., Osman, Zizic, Hood",101181-1626204-1626224-1627790-203918,CLE,272.0,2,5.0,-1.0,10.0,9.0,6.0,7.0,1.0,19,1.0,1.0,,,,1.0,2.0,1.0,4.0,2.0,2.0,4.0,4.0,1.0,5.0,6.0,,1.0,2.0,2.0,,2.0,4.0,4.0,1.0,1.0,3.0,2.0,6.0,1.0,7.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,5.0,2.0,6.0,,0.5,0.5,0.25,0.25,0.3125,0.25,0.5,0.25,,,0.5,0.5,1.0,0.7142857142857143,0.2,1.0,,0.5,0.5,1.0,,100.58823529411765,,14.1,14.555555555555555,13.8,13.222222222222221,0.125,1.0,1.0,0.25,0.5,0.5,0.125,0.5,,,,0.5,0.625,0.43215,,0.3745125,0.4,8.0,28.55,0.6,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-1626204-1626224-201145-203903,1610612739,"Jose Calderon, Larry Nance Jr., Cedi Osman, Jeff Green, Jordan Clarkson","Calderon, Nance Jr., Osman, Green, Clarkson",101181-1626204-1626224-201145-203903,CLE,131.0,1,2.0,-5.0,4.0,4.0,4.0,,,8,,2.0,,,2.0,,,,,,,2.0,,3.0,3.0,8.0,,,2.0,,3.0,3.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,2.0,4.0,,1.0,1.0,1.0,,3.0,3.0,4.0,,,,,,0.375,0.375,,0.5,,,,,0.5,0.3333333333333333,,,,,,0.5,,87.93893129770993,,13.0,19.75,13.0,11.75,1.0,,,,,,,,,1.0,,,1.0,0.501,,0.501,1.0,2.35,,1.0,,,,2.0,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-1626204-1626224-201145-203918,1610612739,"Jose Calderon, Larry Nance Jr., Cedi Osman, Jeff Green, Rodney Hood","Calderon, Nance Jr., Osman, Green, Hood",101181-1626204-1626224-201145-203918,CLE,169.0,2,3.0,-1.0,5.0,6.0,3.0,4.0,,11,1.0,1.0,,,,,,2.0,1.0,1.0,2.0,3.0,1.0,,4.0,5.0,,1.0,1.0,1.0,,2.0,2.0,1.0,,,,2.0,2.0,,2.0,,,,1.0,,1.0,2.0,2.0,1.0,,,1.0,,1.0,1.0,4.0,2.0,3.0,,0.6666666666666666,1.0,0.5,0.5,0.5,0.5,0.25,,,,1.0,,,1.0,,,,1.0,,,,93.72781065088756,1.0,23.0,9.0,23.0,9.0,0.25,1.0,1.0,,,,0.5,0.25,,,,0.5,0.5,0.479475,,0.35995,0.5,11.9,27.2,0.6,,1.0,,,,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-1626204-1626224-203918-2594,1610612739,"Jose Calderon, Larry Nance Jr., Cedi Osman, Rodney Hood, Kyle Korver","Calderon, Nance Jr., Osman, Hood, Korver",101181-1626204-1626224-203918-2594,CLE,143.0,1,2.0,2.0,5.0,4.0,5.0,4.0,1.0,9,2.0,3.0,1.0,2.0,3.0,,1.0,,1.0,1.0,2.0,4.0,1.0,2.0,6.0,4.0,1.0,2.0,4.0,1.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,,1.0,1.0,1.0,,1.0,,,1.0,2.0,1.0,,,,,4.0,6.0,5.0,1.0,0.5,0.5,0.4,0.4,0.5,0.5,0.2,0.25,1.0,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,,,,1.0,1.0,,90.62937062937063,,18.6,12.5,15.6,12.5,0.6,0.6666666666666666,0.6666666666666666,0.2,,,,0.2,0.5,0.6,0.6666666666666666,0.2,0.8,0.60579,0.56205,0.60579,1.0,2.1,24.9,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-1626204-201145-203903-203918,1610612739,"Jose Calderon, Larry Nance Jr., Jeff Green, Jordan Clarkson, Rodney Hood","Calderon, Nance Jr., Green, Clarkson, Hood",101181-1626204-201145-203903-203918,CLE,138.0,1,2.0,1.0,4.0,4.0,,,1.0,8,1.0,1.0,,,,,1.0,,2.0,,1.0,2.0,2.0,2.0,4.0,3.0,,,,,,,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,5.0,,,,1.0,,,,1.0,3.0,2.0,,2.0,1.0,2.0,2.0,4.0,,,,0.5,,0.25,,0.4,,0.5,0.5,1.0,,1.0,1.0,0.5,0.75,0.6666666666666666,1.0,1.0,,1.0,,,83.47826086956522,1.0,20.0,14.5,14.75,14.25,0.25,1.0,1.0,0.25,,,,0.5,,,,,0.75,0.4252875,0.2568,,,4.2,28.6,,,1.0,,1.0,,,1.0,0.2,0.3333333333333333,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,0.5,,0.5,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-1626204-201145-203918-2544,1610612739,"Jose Calderon, Larry Nance Jr., Jeff Green, Rodney Hood, LeBron James","Calderon, Nance Jr., Green, Hood, James",101181-1626204-201145-203918-2544,CLE,44.0,1,1.0,3.0,2.0,1.0,2.0,1.0,,3,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,5.0,2.0,,1.0,1.0,1.0,,5.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,5.0,5.0,2.0,,1.0,1.0,1.25,1.25,1.25,1.25,0.5,,,,,,,,,,,,,,,98.18181818181819,,15.5,13.0,15.5,13.0,0.5,1.0,1.0,,,,,0.5,,0.5,1.0,0.5,1.0,0.579975,,0.579975,1.0,0.1,26.0,1.0,,,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-1626204-201145-2544-2747,1610612739,"Jose Calderon, Larry Nance Jr., Jeff Green, LeBron James, JR Smith","Calderon, Nance Jr., Green, James, Smith",101181-1626204-201145-2544-2747,CLE,134.0,1,2.0,1.0,4.0,5.0,4.0,,1.0,9,1.0,2.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,2.0,2.0,,5.0,4.0,1.0,1.0,2.0,2.0,,5.0,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,,,,,,1.0,2.0,1.0,2.0,,,,,,3.0,5.0,4.0,,0.5,0.5,0.625,0.625,0.5,0.5,0.5,,,,1.0,1.0,1.0,1.0,0.5,,,1.0,,1.0,0.5,96.71641791044776,,11.25,17.8,11.25,17.8,0.5,0.5,0.5,,,,,0.25,1.0,0.5,0.5,0.25,1.0,0.7086625,0.7357,0.7086625,1.0,0.55,24.35,1.0,,,,1.0,,,,0.2,0.3333333333333333,,,,,,,,,,,,,,1.0,,1.0,,2.0,2.0,,1.0,1.0,1.0,,1.0,,1.0,,0.4,,,,1.0,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-1626204-201567-2544-2747,1610612739,"Jose Calderon, Larry Nance Jr., Kevin Love, LeBron James, JR Smith","Calderon, Nance Jr., Love, James, Smith",101181-1626204-201567-2544-2747,CLE,313.0,1,5.0,-1.0,11.0,11.0,4.0,,1.0,22,,1.0,1.0,,,1.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,,1.0,1.0,3.0,3.0,2.0,4.0,1.0,,3.0,,3.0,1.0,4.0,,,,1.0,,,1.0,1.0,7.0,8.0,2.0,,,,,8.0,3.0,4.0,2.0,0.3333333333333333,,0.14285714285714285,,0.36363636363636365,0.375,0.5714285714285714,0.3333333333333333,,,,,0.5,0.5,0.16666666666666666,,,,,0.25,,101.21405750798722,,12.363636363636363,16.09090909090909,11.727272727272727,14.818181818181818,0.14285714285714285,,,0.14285714285714285,1.0,1.0,0.14285714285714285,0.5714285714285714,1.0,,,0.5,0.7142857142857143,0.5091142857142857,,0.4972,0.375,10.0,27.1,0.36363636363636365,,1.0,,2.0,1.0,,1.0,0.2222222222222222,0.4,,,,,,,,,,,,,,,,,,,,1.0,,,,0.25,,0.25,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
101181-1626204-203918-2544-2594,1610612739,"Jose Calderon, Larry Nance Jr., Rodney Hood, LeBron James, Kyle Korver","Calderon, Nance Jr., Hood, James, Korver",101181-1626204-203918-2544-2594,CLE,99.0,1,2.0,,3.0,3.0,,,2.0,6,1.0,3.0,2.0,,,,,,1.0,,1.0,3.0,1.0,,2.0,2.0,2.0,,,,,,2.0,1.0,,1.0,,,,2.0,2.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,0.3333333333333333,,0.25,,0.25,,0.25,,,1.0,,0.5,,,0.6666666666666666,,,,,,,87.27272727272728,,20.666666666666668,12.333333333333334,20.333333333333332,12.333333333333334,0.75,0.3333333333333333,0.3333333333333333,,,,,0.25,1.0,,,,1.0,0.7035125,0.6922,,,0.8666666666666667,25.8,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,2.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,,1.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2018,2017-18,True
