EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PlusMinus,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,Fg3Pct,NonHeaveFg3Pct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,LongMidRangeFGA,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG3A,PenaltyOffPossExcludingTakeFouls,LongMidRangeFrequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyOffPossPct,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangeFGA,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,ShortMidRangeFrequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,Corner3FGA,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3M,PtsPutbacks,LongMidRangeAssists,OffThreePtRebounds,Steals,BadPassSteals,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Accuracy,SecondChancePointsPct,HeaveAttempts,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Technical Free Throw Trips,OffLongMidRangeReboundPct,FTDefRebounds,LiveBallTurnovers,LostBallTurnovers,LiveBallTurnoverPct,DefFTReboundPct,ShortMidRangeFGM,NonShootingPenaltyNonTakeFouls,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceFtPoints,SelfOReb,OffAtRimReboundPct,SelfORebPct,PtsAssisted3s,ThreePtAssists,Arc3Assists,Assisted3sPct,Arc3PctAssisted,BadPassTurnovers,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,Corner3Assists,SecondChanceFg3Pct,AtRimPctBlocked,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,LostBallSteals,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,FG3APctBlocked,Corner3PctBlocked,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedAtRim,DefensiveGoaltends,DefCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,Offensive Fouls,BadPassOutOfBoundsTurnovers,BlockingFouls,Loose Ball Fouls,Charge Fouls,SecondChanceAtRimPctAssisted,Charge Fouls Drawn,SecondChanceArc3FGM,ShortMidRangeAssists,Loose Ball Fouls Drawn,Offensive Fouls Drawn,LongMidRangePctBlocked,ShortMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Travels,team_id,year,season,team_vs
101109-1628390-202335-203518-203924,1610612760,"Raymond Felton, Terrance Ferguson, Patrick Patterson, Alex Abrines, Jerami Grant","Felton, Ferguson, Patterson, Abrines, Grant",101109-1628390-202335-203518-203924,OKC,40.0,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,72.0,23.0,17.0,23.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6165,0.6165,1.0,1.0,0.6666666666666666,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1628390-203518-203924-2546,1610612760,"Raymond Felton, Terrance Ferguson, Alex Abrines, Jerami Grant, Carmelo Anthony","Felton, Ferguson, Abrines, Grant, Anthony",101109-1628390-203518-203924-2546,OKC,88.0,1,1.0,3.0,3.0,6.0,2.0,2.0,,,2.0,2.0,,7.0,3.0,,,,,,,,,,,,,7.0,,,,1.0,,1.1666666666666667,,1.1666666666666667,,98.18181818181819,7.333333333333333,22.0,7.333333333333333,22.0,0.6666666666666666,1.0,1.0,,,,1.0,0.66215,,,,,1.1,4.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-201147-201566-203500-203924,1610612760,"Raymond Felton, Corey Brewer, Russell Westbrook, Steven Adams, Jerami Grant","Felton, Brewer, Westbrook, Adams, Grant",101109-201147-201566-203500-203924,OKC,43.0,1,1.0,2.0,2.0,4.0,,,,,,1.0,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,133.95348837209303,10.5,11.0,7.0,11.0,,,,,,,0.5,0.40035,0.40035,,,,20.9,-5.0,,1.0,,1.0,,,1.0,,,,,,,,,,0.5,,,,,,0.5,,,,25.7,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.3969,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-201147-201566-203500-2546,1610612760,"Raymond Felton, Corey Brewer, Russell Westbrook, Steven Adams, Carmelo Anthony","Felton, Brewer, Westbrook, Adams, Anthony",101109-201147-201566-203500-2546,OKC,60.0,1,1.0,5.0,4.0,9.0,,,,,,,4.0,4.0,5.0,,,4.0,,,,,,3.0,6.0,,,4.0,2.0,,,,,,,0.6666666666666666,0.6666666666666666,216.0,6.8,6.5,6.8,6.5,,,,,,,,,,,,1.0,,-1.0,,,,,,,,,1.0,1.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,5.0,4.0,,,,,,,3.0,,,,,1.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-201147-201566-203518-2546,1610612760,"Raymond Felton, Corey Brewer, Russell Westbrook, Alex Abrines, Carmelo Anthony","Felton, Brewer, Westbrook, Abrines, Anthony",101109-201147-201566-203518-2546,OKC,2.0,1,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,1.0,2.0,,,1.0,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-201147-201566-203924-2546,1610612760,"Raymond Felton, Corey Brewer, Russell Westbrook, Jerami Grant, Carmelo Anthony","Felton, Brewer, Westbrook, Grant, Anthony",101109-201147-201566-203924-2546,OKC,15.0,1,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3973,0.3973,,,,6.9,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-201147-202331-203500-203924,1610612760,"Raymond Felton, Corey Brewer, Paul George, Steven Adams, Jerami Grant","Felton, Brewer, George, Adams, Grant",101109-201147-202331-203500-203924,OKC,222.0,1,4.0,9.0,8.0,17.0,1.0,1.0,,,3.0,6.0,2.0,14.0,7.0,,2.0,5.0,2.0,1.0,1.0,,2.0,2.0,2.0,,,12.0,5.0,0.3333333333333333,0.5,0.5,,0.6666666666666666,0.5,0.7,0.625,110.27027027027026,11.444444444444445,14.875,11.333333333333334,14.625,0.1111111111111111,1.0,1.0,,,,0.4444444444444444,0.46872777777777774,0.45818333333333333,,,0.35714285714285715,13.483333333333334,7.0,2.0,2.0,2.0,3.0,4.0,6.0,2.0,2.0,1.0,,1.0,2.0,,,0.6666666666666666,0.6666666666666666,0.3333333333333333,,0.5,0.3333333333333333,,0.5,0.2222222222222222,1.0,1.0,1.0,24.566666666666666,4.0,4.0,1.0,4.0,,1.0,,1.0,4.0,0.4444444444444444,,0.3333333333333333,,0.4444444444444444,2.0,1.0,1.0,1.0,1.0,,1.0,0.16666666666666666,1.0,,0.25,,0.1111111111111111,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.1111111111111111,1.0,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-201147-202331-203500-2546,1610612760,"Raymond Felton, Corey Brewer, Paul George, Steven Adams, Carmelo Anthony","Felton, Brewer, George, Adams, Anthony",101109-201147-202331-203500-2546,OKC,96.0,1,2.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,8.0,1.0,2.0,3.0,,,,,,,1.0,,,1.0,3.0,,,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,75.0,22.5,17.0,21.5,15.333333333333334,0.3333333333333333,1.0,1.0,,0.3333333333333333,1.0,0.6666666666666666,0.41175,0.41175,,,1.0,10.7,-5.0,,1.0,,1.0,2.0,,,,,,,1.0,,,,,0.3333333333333333,,,,,,0.3333333333333333,,,,44.7,2.0,,1.0,1.0,,1.0,,1.0,2.0,0.3333333333333333,,0.3333333333333333,0.407,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,2.0,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-201147-203500-203518-203924,1610612760,"Raymond Felton, Corey Brewer, Steven Adams, Alex Abrines, Jerami Grant","Felton, Brewer, Adams, Abrines, Grant",101109-201147-203500-203518-203924,OKC,64.0,1,1.0,2.0,2.0,4.0,,,,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,90.0,20.5,11.5,20.5,11.5,,,,,,,,0.2268,0.2268,,,,23.8,-2.0,,,,,,,,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,,1.0,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-201147-203518-203924-2546,1610612760,"Raymond Felton, Corey Brewer, Alex Abrines, Jerami Grant, Carmelo Anthony","Felton, Brewer, Abrines, Grant, Anthony",101109-201147-203518-203924-2546,OKC,132.0,1,2.0,4.0,5.0,9.0,2.0,2.0,,,3.0,4.0,,6.0,5.0,,1.0,,4.0,2.0,2.0,2.0,4.0,1.0,,,,6.0,,0.6666666666666666,0.6666666666666666,0.75,,0.75,,0.75,,98.18181818181817,14.0,15.2,14.0,11.6,0.5,1.0,1.0,1.0,,,0.5,0.531175,0.3781,,,,6.6,1.0,,,,,2.0,,,,,2.0,2.0,2.0,1.0,2.0,,,,0.6666666666666666,,0.6666666666666666,,,,,,,,1.0,5.0,,,,,,,1.0,,,,,0.25,,,,2.0,,,,,,,,,0.5,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
