EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,LongMidRangeFrequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,Fg2aBlocked,DeadBallTurnovers,Travels,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,ShortMidRangeFGM,ShortMidRangeAssists,OffThreePtRebounds,Loose Ball Fouls Drawn,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAssists,LongMidRangePctAssisted,2pt And 1 Free Throw Trips,PtsUnassisted3s,BadPassTurnovers,Offensive Fouls,LostBallOutOfBoundsTurnovers,Blocked2s,BlockedShortMidRange,OffAtRimReboundPct,SecondChanceFtPoints,OffLongMidRangeReboundPct,Loose Ball Fouls,AtRimPctBlocked,BlockedLongMidRange,HeaveAttempts,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Charge Fouls,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,PtsPutbacks,BlockedAtRim,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,LongMidRangePctBlocked,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,Charge Fouls Drawn,3pt And 1 Free Throw Trips,SecondChanceFg3Pct,Arc3PctBlocked,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,BlockingFouls,Clear Path Fouls,Technical Free Throw Trips,BlockedCorner3,3SecondViolations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveMakes,OffensiveGoaltends,team_id,year,season,team_vs
1626172-1626188-1627745-1628395-201156,1610612744,"Kevon Looney, Quinn Cook, Damian Jones, Jordan Bell, Nick Young","Looney, Cook, Jones, Bell, Young",1626172-1626188-1627745-1628395-201156,GSW,460.0,3,8.0,13.0,19.0,18.0,19.0,11.0,1.0,37.0,5.0,6.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,6.0,5.0,7.0,2.0,7.0,8.0,24.0,11.0,1.0,5.0,7.0,2.0,7.0,8.0,24.0,2.0,8.0,6.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,2.0,4.0,2.0,8.0,1.0,9.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,10.0,4.0,1.0,1.0,1.0,1.0,1.0,24.0,24.0,19.0,1.0,0.2,0.2,1.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.631578947368421,0.631578947368421,0.5,1.0,1.0,1.0,0.5,0.5,0.75,0.14285714285714285,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.14285714285714285,115.82608695652173,1.0,8.157894736842104,16.944444444444443,8.0,16.555555555555557,0.42857142857142855,0.8333333333333334,0.8333333333333334,0.2,0.07142857142857142,0.07142857142857142,1.0,1.0,1.0,0.42857142857142855,0.16666666666666666,0.16666666666666666,1.0,1.0,0.42857142857142855,0.8333333333333334,0.07142857142857142,1.0,0.42857142857142855,0.16666666666666666,0.9285714285714286,0.16666666666666666,0.5620071428571428,0.53505,0.5620071428571428,0.2222222222222222,0.36363636363636365,1.0,2.7857142857142856,26.485714285714288,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-1627775-1628395-201156,1610612744,"Kevon Looney, Quinn Cook, Patrick McCaw, Jordan Bell, Nick Young","Looney, Cook, McCaw, Bell, Young",1626172-1626188-1627775-1628395-201156,GSW,65.0,2,1.0,-3.0,2.0,2.0,,1.0,,4.0,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,88.61538461538463,,23.5,9.0,23.5,9.0,,,,,,,,,,,,,,,,,,,,,,,0.3102,,,,,,17.9,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-1627775-201156-2585,1610612744,"Kevon Looney, Quinn Cook, Patrick McCaw, Nick Young, Zaza Pachulia","Looney, Cook, McCaw, Young, Pachulia",1626172-1626188-1627775-201156-2585,GSW,207.0,1,3.0,2.0,8.0,8.0,8.0,8.0,1.0,16.0,4.0,4.0,4.0,4.0,2.0,,,,,,1.0,,,1.0,5.0,7.0,,1.0,,10.0,8.0,,5.0,7.0,,1.0,,10.0,6.0,4.0,,1.0,,3.0,,3.0,,,3.0,6.0,1.0,1.0,2.0,,3.0,1.0,4.0,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,8.0,10.0,8.0,,0.6,0.6,,,,,0.7142857142857143,0.7142857142857143,0.625,0.625,0.625,0.625,0.125,,,0.6666666666666666,0.5,0.5,0.6,0.3333333333333333,0.5,,1.0,1.0,,0.5,,111.30434782608695,,8.875,17.0,8.25,15.5,0.5,1.0,1.0,0.75,0.25,,,,,0.125,,,,,0.5,1.0,,,0.125,,0.625,,0.50485625,0.4215,0.50485625,,,1.0,5.771428571428571,26.3,1.0,1.0,0.125,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.5,1.0,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-1628395-201142-202691,1610612744,"Kevon Looney, Quinn Cook, Jordan Bell, Kevin Durant, Klay Thompson","Looney, Cook, Bell, Durant, Thompson",1626172-1626188-1628395-201142-202691,GSW,105.0,1,2.0,4.0,3.0,4.0,,,1.0,7.0,1.0,2.0,,,2.0,,,,,,2.0,,,,2.0,4.0,,2.0,,4.0,,,,,,,,,2.0,2.0,,2.0,,1.0,,1.0,,,,2.0,1.0,1.0,2.0,,3.0,3.0,6.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,4.0,,,,0.5,0.5,,,,,0.5,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,1.0,0.5,1.0,1.0,0.75,1.0,,1.0,1.0,,1.0,,96.0,,13.666666666666666,16.0,12.0,16.0,0.3333333333333333,0.5,0.5,,0.3333333333333333,,,,,0.3333333333333333,,,,,,,,,,,0.6666666666666666,,0.5326833333333333,0.7031,,,,,6.375,25.25,,,,,1.0,,,2.0,,,,,,,,,,,,,0.5,,,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-1628395-201142-2733,1610612744,"Kevon Looney, Quinn Cook, Jordan Bell, Kevin Durant, Shaun Livingston","Looney, Cook, Bell, Durant, Livingston",1626172-1626188-1628395-201142-2733,GSW,38.0,1,1.0,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,2.0,,1.0,1.0,,,,2.0,2.0,,,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,2.0,2.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,75.78947368421053,,17.0,21.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,0.3938,,0.3938,,,1.0,14.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-1628395-201156-201580,1610612744,"Kevon Looney, Quinn Cook, Jordan Bell, Nick Young, JaVale McGee","Looney, Cook, Bell, Young, McGee",1626172-1626188-1628395-201156-201580,GSW,53.0,1,1.0,-1.0,1.0,2.0,,,,3.0,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,2.0,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,81.50943396226415,,25.0,14.0,25.0,14.0,,,,,1.0,,,,,,,,,,,,,,,,,,0.3302,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-1628395-201156-201939,1610612744,"Kevon Looney, Quinn Cook, Jordan Bell, Nick Young, Stephen Curry","Looney, Cook, Bell, Young, Curry",1626172-1626188-1628395-201156-201939,GSW,36.0,1,1.0,,2.0,2.0,,2.0,,4.0,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,3.0,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,3.0,,,,,,,,,,1.0,,0.5,,0.75,,0.5,,1.0,,,,,,,,,,,,,160.0,,14.0,4.0,14.0,4.0,,,,,0.5,0.5,,,,,,,,,,,,,,,0.5,,0.5087,,,0.5,1.0,,9.4,24.4,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-1628395-201156-2585,1610612744,"Kevon Looney, Quinn Cook, Jordan Bell, Nick Young, Zaza Pachulia","Looney, Cook, Bell, Young, Pachulia",1626172-1626188-1628395-201156-2585,GSW,299.0,1,5.0,-5.0,10.0,10.0,,4.0,,20.0,1.0,1.0,,,1.0,,,,,1.0,4.0,,,,1.0,2.0,1.0,4.0,,5.0,10.0,,,,,,,,2.0,,,4.0,1.0,1.0,,1.0,,,1.0,2.0,,1.0,3.0,,4.0,,4.0,,,,,2.0,1.0,3.0,,3.0,4.0,,,,,,,,,,5.0,,,,1.0,1.0,,0.25,,0.25,0.5,,0.4166666666666667,,0.4166666666666667,,0.6666666666666666,0.6666666666666666,,0.6,,0.3333333333333333,0.5,,,1.0,,0.6666666666666666,,1.0,,96.3210702341137,,16.5,13.4,16.5,11.3,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,,,,,0.6666666666666666,0.25,0.25,,,,,,,,,0.8333333333333334,0.25,0.5269666666666667,,,,,,7.5,25.775,,,,,,,,,,1.0,1.0,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-1628395-201156-2733,1610612744,"Kevon Looney, Quinn Cook, Jordan Bell, Nick Young, Shaun Livingston","Looney, Cook, Bell, Young, Livingston",1626172-1626188-1628395-201156-2733,GSW,328.0,3,5.0,-7.0,9.0,12.0,1.0,2.0,,21.0,,,,,3.0,,,,,1.0,2.0,,,1.0,3.0,4.0,1.0,2.0,,9.0,16.0,,,,,1.0,,,,6.0,3.0,2.0,1.0,,1.0,1.0,1.0,,,3.0,,1.0,2.0,,3.0,,3.0,,1.0,1.0,,2.0,,3.0,,,,2.0,,,,,,,1.0,,9.0,,1.0,,,,1.0,0.5,,0.5,0.75,,0.75,,0.75,,0.3333333333333333,0.6666666666666666,,0.5,,1.0,0.6,,,,0.3333333333333333,1.0,1.0,,,92.1951219512195,,16.11111111111111,15.25,16.11111111111111,14.666666666666666,,,,,0.5,,,,,0.3333333333333333,0.5,0.5,1.0,,,,,,1.0,,0.3333333333333333,0.5,0.43755000000000005,,0.5124,,,,10.675,26.0,0.1111111111111111,1.0,0.16666666666666666,,,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,2.0,,,,,,0.6666666666666666,0.6666666666666666,,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
1626172-1626188-201142-201156-201939,1610612744,"Kevon Looney, Quinn Cook, Kevin Durant, Nick Young, Stephen Curry","Looney, Cook, Durant, Young, Curry",1626172-1626188-201142-201156-201939,GSW,85.0,1,1.0,-2.0,2.0,2.0,2.0,,1.0,4.0,,3.0,,3.0,,,,,,,1.0,,,1.0,,3.0,,1.0,,,2.0,,,3.0,,1.0,,,,,,1.0,,,,,,,,,2.0,,,,,2.0,2.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.25,,,,0.6666666666666666,,,0.5,,,,,,,,67.76470588235294,,19.0,23.5,18.0,23.5,0.75,,,,,,,,,0.25,,,,,0.75,,,,0.25,,1.0,,0.622825,0.71645,0.622825,,,,1.0,27.2,1.0,,,,2.0,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2018,2017-18,True
