EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FtPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,LostBallTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3PctAssisted,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,Corner3Assists,BadPassTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedShortMidRange,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChancePointsPct,PenaltyAtRimFGM,PenaltyFtPoints,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,PenaltyAtRimAccuracy,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,LongMidRangeAssists,PenaltyFg3Pct,LongMidRangePctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyCorner3FGA,OffCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyCorner3FGM,SecondChanceFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffShortMidRangeReboundPct,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Charge Fouls,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Loose Ball Fouls Drawn,Charge Fouls Drawn,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SelfOReb,3SecondViolations,SelfORebPct,HeaveMakes,HeaveAttempts,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedArc3,BlockingFouls,LongMidRangePctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,DefensiveGoaltends,3pt And 1 Free Throw Trips,BlockedLongMidRange,BlockingFoulsDrawn,StepOutOfBoundsTurnovers,OffensiveGoaltends,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
1627215-1627767-200765-202732-203546,1610612740,"Walter Lemon Jr., Cheick Diallo, Rajon Rondo, DeAndre Liggins, Ian Clark","Lemon Jr., Diallo, Rondo, Liggins, Clark",1627215-1627767-200765-202732-203546,NOP,119.0,1,2.0,-2.0,4.0,4.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,0.5,1.0,1.0,1.0,96.80672268907563,16.75,13.0,16.75,13.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.55045,1.6,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627215-1627767-202703-203121-203546,1610612740,"Walter Lemon Jr., Cheick Diallo, Nikola Mirotic, Darius Miller, Ian Clark","Lemon Jr., Diallo, Mirotic, Miller, Clark",1627215-1627767-202703-203121-203546,NOP,617.0,3,10.0,-3.0,21.0,24.0,4.0,45.0,6.0,11.0,1.0,1.0,8.0,17.0,1.0,1.0,20.0,23.0,10.0,,1.0,1.0,5.0,6.0,4.0,13.0,5.0,8.0,9.0,3.0,1.0,4.0,20.0,0.625,0.625,1.0,1.0,0.47058823529411764,0.5277777777777778,0.5263157894736842,0.05555555555555555,0.7142857142857143,0.7,0.5,105.02431118314425,12.571428571428571,14.708333333333334,11.952380952380953,14.291666666666666,0.6111111111111112,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.05555555555555555,1.0,1.0,0.6666666666666666,1.0,0.4969972222222222,6.552941176470589,25.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,6.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.29411764705882354,0.36363636363636365,0.5,0.25,1.0,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.2,1.0,0.5,0.6666666666666666,1.0,0.1111111111111111,0.5,1.0,1.0,0.2222222222222222,0.25,0.25,1.0,0.6666666666666666,0.2827,0.3816,0.05263157894736842,0.05555555555555555,0.1,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627215-1627767-202732-203121-203546,1610612740,"Walter Lemon Jr., Cheick Diallo, DeAndre Liggins, Darius Miller, Ian Clark","Lemon Jr., Diallo, Liggins, Miller, Clark",1627215-1627767-202732-203121-203546,NOP,762.0,2,13.0,1.0,27.0,27.0,8.0,54.0,9.0,10.0,3.0,4.0,12.0,21.0,4.0,6.0,37.0,36.0,10.0,,4.0,3.0,5.0,9.0,5.0,22.0,5.0,9.0,11.0,1.0,,2.0,33.0,0.4166666666666667,0.45454545454545453,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.6851851851851852,0.2222222222222222,0.7142857142857143,0.75,0.8,102.04724409448819,14.592592592592593,13.62962962962963,14.148148148148149,13.074074074074074,0.37037037037037035,0.9,0.9,0.5555555555555556,0.14814814814814814,0.75,0.75,0.5925925925925926,0.75,0.5346888888888889,8.104761904761904,25.45,,2.0,,2.0,4.0,1.0,7.0,1.0,2.0,,,,14.0,12.0,,4.0,3.0,,2.0,4.0,,2.0,2.0,1.0,1.0,1.0,,,4.0,4.0,,2.0,2.0,1.0,3.0,1.0,3.0,2.0,,,1.0,,,,,,,0.5,,0.2222222222222222,0.8,0.18181818181818182,,0.5,,0.75,0.6666666666666666,0.14814814814814814,0.5,0.5,,0.25925925925925924,0.14285714285714285,0.14285714285714285,1.0,,0.76655,,0.037037037037037035,0.047619047619047616,,,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.07407407407407407,0.5,0.5,1.0,1.0,1.0,0.5,0.10810810810810811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627215-1627767-203076-203121-203546,1610612740,"Walter Lemon Jr., Cheick Diallo, Anthony Davis, Darius Miller, Ian Clark","Lemon Jr., Diallo, Davis, Miller, Clark",1627215-1627767-203076-203121-203546,NOP,157.0,1,3.0,-2.0,7.0,6.0,6.0,13.0,1.0,2.0,,,3.0,4.0,,,7.0,9.0,,,,,,,,,1.0,2.0,2.0,,,1.0,7.0,,,,,0.75,0.75,0.7,,0.5,0.5,1.0,119.23566878980891,12.857142857142858,11.166666666666666,12.571428571428571,9.833333333333334,0.5,0.5,1.0,,,,,0.5,,0.4011,7.775,,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,3.0,4.0,7.0,6.0,,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,2.0,,1.0,2.0,1.0,,,,,7.0,7.0,,0.75,0.75,0.7,0.25,0.5,,1.0,1.0,,,,,,,,,0.25,1.0,1.0,,0.25,1.0,1.0,,0.5,,0.4011,0.2,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627215-201950-203076-203121-203546,1610612740,"Walter Lemon Jr., Jrue Holiday, Anthony Davis, Darius Miller, Ian Clark","Lemon Jr., Holiday, Davis, Miller, Clark",1627215-201950-203076-203121-203546,NOP,41.0,1,1.0,-2.0,1.0,2.0,,3.0,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,105.36585365853658,12.0,14.5,12.0,7.0,1.0,,,,,,,1.0,,0.4085,2.6,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627215-202703-202732-203121-203546,1610612740,"Walter Lemon Jr., Nikola Mirotic, DeAndre Liggins, Darius Miller, Ian Clark","Lemon Jr., Mirotic, Liggins, Miller, Clark",1627215-202703-202732-203121-203546,NOP,248.0,1,4.0,-6.0,8.0,8.0,,16.0,2.0,2.0,1.0,4.0,2.0,3.0,1.0,5.0,7.0,13.0,4.0,,4.0,1.0,2.0,3.0,2.0,7.0,1.0,1.0,1.0,,,,7.0,1.0,1.0,0.2,0.2,0.6666666666666666,0.4375,0.4375,0.625,1.0,1.0,,92.9032258064516,18.25,12.75,18.25,12.75,0.25,1.0,1.0,1.0,0.5,0.25,0.25,0.875,0.25,0.508025,8.966666666666667,24.94,,,,,,,1.0,,,,,,,3.0,,1.0,1.0,,,,,,,,,,,,2.0,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,0.125,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627215-202703-203076-203121-203546,1610612740,"Walter Lemon Jr., Nikola Mirotic, Anthony Davis, Darius Miller, Ian Clark","Lemon Jr., Mirotic, Davis, Miller, Clark",1627215-202703-203076-203121-203546,NOP,81.0,1,1.0,2.0,3.0,2.0,,5.0,,,,,2.0,2.0,,,6.0,4.0,2.0,,,,1.0,1.0,,2.0,,,,,,,6.0,0.5,0.5,,,1.0,1.0,1.0,,,,,88.88888888888889,14.666666666666666,18.5,14.666666666666666,18.5,,,,,,,,,,0.41215,10.55,,,,,2.0,2.0,,,2.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627215-203076-203121-203546-2731,1610612740,"Walter Lemon Jr., Anthony Davis, Darius Miller, Ian Clark, Emeka Okafor","Lemon Jr., Davis, Miller, Clark, Okafor",1627215-203076-203121-203546-2731,NOP,81.0,1,1.0,-3.0,3.0,3.0,,6.0,,1.0,1.0,1.0,,2.0,1.0,1.0,3.0,6.0,,3.0,1.0,1.0,,,,,,,,,,,3.0,,,1.0,1.0,,0.5,0.5,0.3333333333333333,,,,106.66666666666666,15.0,12.0,15.0,12.0,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.5169833333333334,5.8,25.7,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-1627883-1628429-203121-2749,1610612740,"Cheick Diallo, Jalen Jones, Charles Cooke, Darius Miller, Jameer Nelson","Diallo, Jones, Cooke, Miller, Nelson",1627767-1627883-1628429-203121-2749,NOP,130.0,1,2.0,7.0,4.0,4.0,4.0,8.0,,,2.0,2.0,1.0,1.0,2.0,2.0,11.0,4.0,2.0,,2.0,2.0,1.0,3.0,,8.0,,,,,,,11.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.25,0.6666666666666666,,,,88.61538461538463,14.5,18.0,14.5,18.0,,,,,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.4390833333333333,21.7,25.25,4.0,,,,,1.0,1.0,3.0,,1.0,1.0,11.0,,6.0,,2.0,2.0,,,,,,,,,,,,,1.0,,1.0,3.0,1.0,,,,,11.0,4.0,1.0,1.0,1.3333333333333333,1.25,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,0.4390833333333333,0.25,0.5,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,1.0,,,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-1627883-200765-203546-2749,1610612740,"Cheick Diallo, Jalen Jones, Rajon Rondo, Ian Clark, Jameer Nelson","Diallo, Jones, Rondo, Clark, Nelson",1627767-1627883-200765-203546-2749,NOP,303.0,1,5.0,-7.0,11.0,11.0,4.0,22.0,1.0,2.0,2.0,5.0,2.0,4.0,2.0,5.0,11.0,18.0,4.0,3.0,5.0,2.0,2.0,3.0,1.0,7.0,2.0,2.0,4.0,1.0,,3.0,11.0,1.0,1.0,0.4,0.4,0.5,0.5555555555555556,0.55,0.5555555555555556,0.5,0.5,,104.55445544554456,12.545454545454545,15.0,11.636363636363637,15.0,0.2222222222222222,0.5,0.5,1.0,0.5555555555555556,0.4,0.4,0.7777777777777778,0.4,0.4816833333333333,10.1,25.639999999999997,,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,3.0,,1.0,1.0,,,,,2.0,,,,2.0,,,1.0,2.0,,1.0,2.0,1.0,,,,,,,0.5,,,,,,,0.6666666666666666,,,,0.4,,0.6666666666666666,,,,0.1111111111111111,,,,0.1111111111111111,1.0,1.0,0.5,,,,0.1,0.2,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,2.0,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
