EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,Steals,BadPassSteals,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGA,PenaltyCorner3FGA,FG3A,PenaltyFG3A,DefThreePtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Blocked2s,BlockedAtRim,Blocks,FG3APct,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Corner3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,PtsUnassisted2s,NonHeaveArc3FGA,DefTwoPtRebounds,FTDefRebounds,LostBallSteals,DefFTReboundPct,DefTwoPtReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FtPoints,PenaltyFtPoints,AtRimAssists,DeadBallTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceOffPoss,OffTwoPtRebounds,OffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,SelfORebPct,Corner3FGM,PenaltyCorner3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,LostBallTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefAtRimReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceFG2A,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,Charge Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,BadPassOutOfBoundsTurnovers,Offensive Fouls,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,LongMidRangeAssists,LongMidRangePctAssisted,Arc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,OffArc3ReboundPct,PenaltyArc3FGM,Travels,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,2pt And 1 Free Throw Trips,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,Offensive Fouls Drawn,SecondChanceFtPoints,BlockingFoulsDrawn,Technical Free Throw Trips,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,SecondChanceFg3Pct,OffFTReboundPct,OffLongMidRangeReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Charge Fouls,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockingFouls,BlockedLongMidRange,3SecondViolations,HeaveAttempts,DefensiveGoaltends,StepOutOfBoundsTurnovers,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,Blocked3s,BlockedCorner3,BlockedArc3,OffensiveGoaltends,team_id,year,season,team_vs
1626220-1627777-1628571-202327-203526,1610612762,"Royce O'Neale, Georges Niang, Erik McCree, Ekpe Udoh, Raul Neto","O'Neale, Niang, McCree, Udoh, Neto",1626220-1627777-1628571-202327-203526,UTA,52.0,1,1.0,-1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,83.07692307692308,20.0,16.0,20.0,16.0,1.0,1.0,1.0,1.0,0.3917,0.3917,1.0,7.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,False
1626220-1627777-1628571-203497-203526,1610612762,"Royce O'Neale, Georges Niang, Erik McCree, Rudy Gobert, Raul Neto","O'Neale, Niang, McCree, Gobert, Neto",1626220-1627777-1628571-203497-203526,UTA,,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,False
1626220-1627777-201973-202327-202692,1610612762,"Royce O'Neale, Georges Niang, Jonas Jerebko, Ekpe Udoh, Alec Burks","O'Neale, Niang, Jerebko, Udoh, Burks",1626220-1627777-201973-202327-202692,UTA,87.0,1,1.0,,2.0,2.0,2.0,2.0,4.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,2.0,,,,,,,,,66.20689655172414,12.0,31.5,12.0,25.0,,,,,0.5358,0.5358,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,False
1626220-1627777-202327-202692-203526,1610612762,"Royce O'Neale, Georges Niang, Ekpe Udoh, Alec Burks, Raul Neto","O'Neale, Niang, Udoh, Burks, Neto",1626220-1627777-202327-202692-203526,UTA,65.0,1,1.0,2.0,3.0,3.0,3.0,3.0,6.0,,,1.0,1.0,2.0,,1.0,1.0,2.0,,,,,,1.0,,,,2.0,2.0,3.0,,,1.0,1.0,0.5,0.5,0.5,0.5,132.92307692307693,16.333333333333332,5.333333333333333,16.333333333333332,5.333333333333333,,,,,0.400475,0.400475,1.0,20.3,1.0,,,1.0,1.0,,2.0,2.0,,,,,,,,0.5,,,1.0,,,,0.5,26.6,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,False
1626220-1627777-202327-203109-203526,1610612762,"Royce O'Neale, Georges Niang, Ekpe Udoh, Jae Crowder, Raul Neto","O'Neale, Niang, Udoh, Crowder, Neto",1626220-1627777-202327-203109-203526,UTA,80.0,1,1.0,4.0,3.0,2.0,3.0,2.0,5.0,,,1.0,1.0,4.0,,1.0,1.0,4.0,2.0,1.0,1.0,,2.0,1.0,1.0,,,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,15.333333333333334,17.0,15.333333333333334,10.5,,,,,0.7639,0.7639,1.0,0.8,1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,0.5,,,,1.0,,,,,,,,1.0,,,,0.5,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,False
1626220-1628378-1628396-203526-204060,1610612762,"Royce O'Neale, Donovan Mitchell, Tony Bradley, Raul Neto, Joe Ingles","O'Neale, Mitchell, Bradley, Neto, Ingles",1626220-1628378-1628396-203526-204060,UTA,34.0,1,1.0,-2.0,1.0,1.0,1.0,1.0,2.0,,,,,,2.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,84.70588235294117,14.0,20.0,14.0,20.0,,,,,0.50865,0.50865,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,26.6,,,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,False
1626220-1628378-200757-201937-201973,1610612762,"Royce O'Neale, Donovan Mitchell, Thabo Sefolosha, Ricky Rubio, Jonas Jerebko","O'Neale, Mitchell, Sefolosha, Rubio, Jerebko",1626220-1628378-200757-201937-201973,UTA,81.0,1,1.0,-2.0,2.0,2.0,,1.0,4.0,,1.0,,2.0,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,71.1111111111111,24.0,16.5,16.0,16.5,0.5,,,,0.5524,,,4.45,,,,,,1.0,1.0,2.0,,,1.0,,,,,,,1.0,1.0,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,0.5,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,False
1626220-1628378-200757-201937-202324,1610612762,"Royce O'Neale, Donovan Mitchell, Thabo Sefolosha, Ricky Rubio, Derrick Favors","O'Neale, Mitchell, Sefolosha, Rubio, Favors",1626220-1628378-200757-201937-202324,UTA,251.0,3,4.0,5.0,10.0,9.0,8.0,9.0,19.0,,1.0,2.0,3.0,16.0,11.0,1.0,2.0,12.0,,,2.0,,6.0,1.0,1.0,,,16.0,12.0,8.0,,,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,109.00398406374501,14.2,12.11111111111111,14.2,12.11111111111111,0.2,,,,0.58691,0.5471625,0.75,3.9333333333333336,0.8,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,,,,0.4,1.0,1.0,1.0,,0.4,0.5,0.8,23.4,,,,,4.0,,2.0,,,,1.0,1.0,,,,,,2.0,2.0,1.0,1.0,6.0,4.0,,,5.0,6.0,2.0,,0.4,1.0,1.0,,0.25,1.0,0.2857142857142857,0.4,,,,,,,,,,,,,2.0,2.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,False
1626220-1628378-200757-201937-202327,1610612762,"Royce O'Neale, Donovan Mitchell, Thabo Sefolosha, Ricky Rubio, Ekpe Udoh","O'Neale, Mitchell, Sefolosha, Rubio, Udoh",1626220-1628378-200757-201937-202327,UTA,220.0,2,4.0,-3.0,7.0,7.0,5.0,3.0,14.0,,2.0,,4.0,,3.0,,1.0,,,,,,,3.0,1.0,1.0,2.0,,,5.0,,,,,,,,,91.63636363636364,15.0,16.428571428571427,13.285714285714286,16.428571428571427,0.3333333333333333,,,,0.48399166666666665,0.5475166666666667,,7.15,0.7142857142857143,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,,,,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.6666666666666666,23.45,,,1.0,1.0,,1.0,,,2.0,,,,,,,0.16666666666666666,0.3333333333333333,,2.0,,1.0,,,,,,,,,0.3333333333333333,,,,0.3333333333333333,,,,,,1.0,1.0,1.0,,,,0.25,0.16666666666666666,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,2.0,0.5,0.5,0.5,0.4299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,False
1626220-1628378-200757-201937-203497,1610612762,"Royce O'Neale, Donovan Mitchell, Thabo Sefolosha, Ricky Rubio, Rudy Gobert","O'Neale, Mitchell, Sefolosha, Rubio, Gobert",1626220-1628378-200757-201937-203497,UTA,27.0,1,,-3.0,,1.0,,1.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,53.33333333333333,,24.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,False
