EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,LiveBallTurnovers,LostBallTurnovers,ShootingFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,LiveBallTurnoverPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3PctAssisted,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGA,SecondChanceFG3A,OffTwoPtRebounds,OffRebounds,Steals,LostBallSteals,Offensive Fouls Drawn,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,BadPassTurnovers,Loose Ball Fouls,NonShootingFoulsDrawn,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG2A,Fg2aBlocked,Corner3Assists,LongMidRangeAssists,BadPassSteals,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,ShortMidRangeAssists,OffThreePtRebounds,FTOffRebounds,LostBallOutOfBoundsTurnovers,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChancePointsPct,Offensive Fouls,LongMidRangePctBlocked,OffensiveGoaltends,SelfOReb,Charge Fouls,BlockedShortMidRange,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceTurnovers,Travels,Charge Fouls Drawn,SecondChanceFtPoints,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceFG3M,StepOutOfBoundsTurnovers,SecondChanceFg3Pct,SecondChanceArc3Accuracy,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockingFouls,DefensiveGoaltends,SecondChanceArc3PctAssisted,Technical Free Throw Trips,team_id,year,season,team_vs
1626159-1626196-1628389-201609-201949,1610612748,"Justise Winslow, Josh Richardson, Bam Adebayo, Goran Dragic, James Johnson","Winslow, Richardson, Adebayo, Dragic, Johnson",1626159-1626196-1628389-201609-201949,MIA,83.0,1,1.0,5.0,4.0,5.0,4.0,5.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,8.0,3.0,2.0,2.0,1.0,1.0,1.0,8.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1666666666666667,1.1666666666666667,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,156.14457831325302,9.75,8.8,9.75,8.8,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.4839833333333334,0.4839833333333334,0.3333333333333333,0.5,1.0,11.95,25.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626196-1628389-201609-203482,1610612748,"Justise Winslow, Josh Richardson, Bam Adebayo, Goran Dragic, Kelly Olynyk","Winslow, Richardson, Adebayo, Dragic, Olynyk",1626159-1626196-1628389-201609-203482,MIA,230.0,2,4.0,2.0,7.0,6.0,1.0,6.0,13.0,,,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,,12.0,10.0,,,1.0,1.0,,3.0,2.0,,3.0,2.0,,2.0,1.0,3.0,3.0,,,1.0,,2.0,,,,,,12.0,3.0,1.0,1.0,,0.6666666666666666,1.0,0.6666666666666666,1.0,,1.0,1.5,1.0,1.5,0.5,1.0,1.0,,1.0,1.0,,81.39130434782608,13.857142857142858,22.166666666666668,13.857142857142858,22.166666666666668,,,,0.16666666666666666,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8333333333333334,0.6666666666666666,0.5098083333333333,0.46815,,,0.25,6.633333333333333,25.7,0.14285714285714285,2.0,2.0,4.0,6.0,2.0,2.0,4.0,2.0,2.0,10.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626196-1628389-201609-2548,1610612748,"Justise Winslow, Josh Richardson, Bam Adebayo, Goran Dragic, Dwyane Wade","Winslow, Richardson, Adebayo, Dragic, Wade",1626159-1626196-1628389-201609-2548,MIA,37.0,1,1.0,1.0,1.0,1.0,,1.0,2.0,,,,,,,,,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,2.0,,,1.0,,,,,1.0,,1.0,,1.0,,,1.0,,,,,,77.83783783783784,14.0,23.0,14.0,21.0,,,,,,,,,,,,1.0,,0.6878,,,,,0.9,,,1.0,1.0,2.0,,1.0,,1.0,,1.0,2.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626196-1628389-201961-2548,1610612748,"Justise Winslow, Josh Richardson, Bam Adebayo, Wayne Ellington, Dwyane Wade","Winslow, Richardson, Adebayo, Ellington, Wade",1626159-1626196-1628389-201961-2548,MIA,180.0,1,3.0,5.0,6.0,7.0,4.0,7.0,13.0,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,7.0,2.0,1.0,2.0,1.0,1.0,2.0,7.0,,,2.0,1.0,2.0,1.0,,3.0,4.0,,,,,1.0,4.0,,4.0,,2.0,7.0,7.0,4.0,1.0,,0.5,1.0,0.5,0.3333333333333333,0.5,0.5,0.8333333333333334,0.5,0.875,0.4,,1.0,1.0,1.0,,1.0,104.0,15.666666666666666,12.285714285714286,14.833333333333334,12.285714285714286,0.2,,,0.2,,,0.4,0.5,0.5,0.3333333333333333,1.0,0.6,0.5,0.51727,0.5256500000000001,0.2857142857142857,0.4,1.0,8.766666666666667,24.95,0.6666666666666666,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,,,,1.0,1.0,1.0,,,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.5997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626196-1628389-202337-203585,1610612748,"Justise Winslow, Josh Richardson, Bam Adebayo, Luke Babbitt, Rodney McGruder","Winslow, Richardson, Adebayo, Babbitt, McGruder",1626159-1626196-1628389-202337-203585,MIA,142.0,1,2.0,-5.0,4.0,5.0,,5.0,9.0,1.0,1.0,1.0,1.0,,1.0,,,2.0,2.0,,1.0,,4.0,9.0,,,,,,,4.0,,1.0,,,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,4.0,,,,,,,,1.0,,0.6666666666666666,,0.6666666666666666,,0.3333333333333333,,,,,,,91.26760563380282,16.75,15.0,16.75,15.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,0.3333333333333333,,0.4349,,0.3333333333333333,0.5,,13.5,25.6,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626196-1628389-203482-2548,1610612748,"Justise Winslow, Josh Richardson, Bam Adebayo, Kelly Olynyk, Dwyane Wade","Winslow, Richardson, Adebayo, Olynyk, Wade",1626159-1626196-1628389-203482-2548,MIA,17.0,1,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,84.70588235294117,,3.0,,3.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626196-201609-201949-201961,1610612748,"Justise Winslow, Josh Richardson, Goran Dragic, James Johnson, Wayne Ellington","Winslow, Richardson, Dragic, Johnson, Ellington",1626159-1626196-201609-201949-201961,MIA,129.0,1,2.0,-2.0,4.0,4.0,,,8.0,1.0,2.0,,,1.0,1.0,,,1.0,2.0,1.0,1.0,,5.0,7.0,,,,,,,2.0,3.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,2.0,1.0,,,,,5.0,,,,,1.0,,1.0,0.5,,0.8333333333333334,,0.8333333333333334,,0.3333333333333333,1.0,,,,,,89.30232558139535,8.25,24.0,8.25,21.0,0.6666666666666666,0.5,0.5,,,,0.3333333333333333,1.0,1.0,,,0.3333333333333333,1.0,0.42158333333333337,,,,,11.75,24.8,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626196-201609-201949-202355,1610612748,"Justise Winslow, Josh Richardson, Goran Dragic, James Johnson, Hassan Whiteside","Winslow, Richardson, Dragic, Johnson, Whiteside",1626159-1626196-201609-201949-202355,MIA,233.0,2,4.0,4.0,10.0,10.0,7.0,5.0,20.0,,,,,1.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0,13.0,9.0,3.0,4.0,1.0,1.0,2.0,11.0,2.0,,1.0,1.0,2.0,2.0,,4.0,4.0,,,1.0,,4.0,3.0,,4.0,,1.0,13.0,11.0,7.0,1.0,1.0,1.0,1.0,1.0,0.8,0.75,0.9166666666666666,0.9,0.8125,0.7857142857142857,0.16666666666666666,,1.0,1.0,1.0,,1.0,123.60515021459227,11.0,12.3,11.0,12.3,,,,,,,0.16666666666666666,1.0,1.0,0.2,1.0,1.0,1.0,0.6067,0.60432,0.14285714285714285,0.16666666666666666,0.8461538461538461,1.98,26.8,0.7,4.0,5.0,6.0,3.0,3.0,1.0,4.0,1.0,3.0,9.0,1.0,1.0,2.0,0.75,0.75,1.0,1.0,1.0,0.8333333333333334,0.8,0.8,0.75,1.0,,3.0,4.0,,,,,2.0,2.0,,,,,1.0,,0.8,0.75,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626196-201609-201949-203482,1610612748,"Justise Winslow, Josh Richardson, Goran Dragic, James Johnson, Kelly Olynyk","Winslow, Richardson, Dragic, Johnson, Olynyk",1626159-1626196-201609-201949-203482,MIA,707.0,3,12.0,-13.0,23.0,25.0,13.0,25.0,48.0,,1.0,3.0,3.0,2.0,7.0,,2.0,6.0,10.0,3.0,8.0,5.0,26.0,39.0,5.0,5.0,1.0,3.0,5.0,18.0,4.0,,7.0,2.0,,4.0,2.0,6.0,8.0,,,3.0,1.0,9.0,7.0,,7.0,,2.0,26.0,18.0,13.0,3.0,1.0,0.375,0.3333333333333333,0.375,0.6,1.0,0.5833333333333334,0.8125,0.5909090909090909,0.75,0.4444444444444444,0.5,0.5714285714285714,,0.5,1.0,,97.76520509193777,14.347826086956522,15.08,13.782608695652174,12.84,0.05555555555555555,,,0.16666666666666666,1.0,1.0,0.3888888888888889,0.2857142857142857,0.2857142857142857,0.25,,0.7777777777777778,0.2857142857142857,0.5517388888888889,0.54049375,0.1,0.16666666666666666,0.6923076923076923,7.26,25.475,0.5652173913043478,3.0,6.0,8.0,9.0,4.0,3.0,7.0,2.0,2.0,17.0,3.0,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.6,0.6666666666666666,1.0,,2.0,2.0,,,2.0,2.0,1.0,,1.0,0.5,0.2222222222222222,,0.6666666666666666,,0.25,1.0,0.4331,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,0.1,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.05555555555555555,1.0,1.0,1.0,1.0,0.125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626196-201609-201949-2548,1610612748,"Justise Winslow, Josh Richardson, Goran Dragic, James Johnson, Dwyane Wade","Winslow, Richardson, Dragic, Johnson, Wade",1626159-1626196-201609-201949-2548,MIA,47.0,1,1.0,-2.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,2.0,,,1.0,1.0,3.0,,,,,1.0,1.0,,,,,,,,,1.0,,,,,3.0,1.0,,2.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,0.16666666666666666,0.5,,,,,,,,91.91489361702128,12.5,22.0,12.0,22.0,,,,,,,,,,,,1.0,,0.59475,,0.3333333333333333,0.3333333333333333,1.0,1.6,,0.5,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,0.5,0.5,,,,,,0.5747,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,0.5,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
