EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,Corner3FGM,Corner3FGA,FG3M,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Corner3Assists,DefTwoPtRebounds,DeadBallTurnovers,Travels,Turnovers,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,FTDefRebounds,DefFTReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,NonHeaveArc3FGM,AtRimAssists,LiveBallTurnovers,LostBallTurnovers,PenaltyFg3Pct,LiveBallTurnoverPct,DefShortMidRangeReboundPct,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,OffTwoPtRebounds,BadPassTurnovers,Offensive Fouls Drawn,AtRimPctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Arc3Assists,BadPassOutOfBoundsTurnovers,SecondChanceFg3Pct,OffShortMidRangeReboundPct,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGA,Fg3aBlocked,PenaltyTurnovers,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,Corner3PctBlocked,PenaltyCorner3Frequency,SecondChanceTurnovers,Blocked3s,BlockedArc3,BlockedLongMidRange,ShortMidRangeAssists,ShortMidRangePctAssisted,LostBallOutOfBoundsTurnovers,OffLongMidRangeReboundPct,SelfOReb,SelfORebPct,PenaltyFtPoints,StepOutOfBoundsTurnovers,BlockedCorner3,SecondChanceFtPoints,FTOffRebounds,OffFTReboundPct,OffCorner3ReboundPct,PenaltyCorner3FGM,BlockingFouls,NonShootingFoulsDrawn,DefensiveGoaltends,PenaltyCorner3Accuracy,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,Charge Fouls,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedShortMidRange,Arc3PctBlocked,Defensive 3 Seconds Violations,OffensiveGoaltends,HeaveAttempts,Clear Path Fouls,team_id,year,season,team_vs
1626192-1627735-1627774-1627834-1628403,1610612757,"Pat Connaughton, Wade Baldwin IV, Jake Layman, Georgios Papagiannis, Caleb Swanigan","Connaughton, Baldwin IV, Layman, Papagiannis, Swanigan",1626192-1627735-1627774-1627834-1628403,POR,224.0,1,4.0,15.0,8.0,7.0,4.0,1.0,15.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,7.0,7.0,2.0,1.0,15.0,1.0,1.0,2.0,4.0,10.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,13.0,0.2857142857142857,0.3333333333333333,1.0,1.0,0.7777777777777778,1.0,0.8333333333333334,1.0,0.2222222222222222,0.75,0.5,0.75,0.5,0.5,0.75,96.42857142857143,8.75,22.0,8.75,19.714285714285715,0.4444444444444444,1.0,1.0,0.1111111111111111,1.0,1.0,0.2222222222222222,1.0,1.0,1.0,0.2222222222222222,1.0,1.0,0.6666666666666666,0.5718388888888889,0.1111111111111111,0.14285714285714285,0.13333333333333333,7.471428571428571,26.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1627774-1628380-1628403,1610612757,"Pat Connaughton, Wade Baldwin IV, Jake Layman, Zach Collins, Caleb Swanigan","Connaughton, Baldwin IV, Layman, Collins, Swanigan",1626192-1627735-1627774-1628380-1628403,POR,311.0,4,5.0,-7.0,11.0,10.0,10.0,,21.0,,,,,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,6.0,,,,,2.0,,,,1.0,,3.0,,2.0,4.0,,4.0,,,,1.0,2.0,,1.0,2.0,,1.0,6.0,,,0.5,,0.8333333333333334,,0.75,,0.3333333333333333,1.0,,1.0,,,,97.2347266881029,18.363636363636363,10.9,18.363636363636363,10.9,,,,0.3333333333333333,,,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,0.38128333333333336,0.25,0.3333333333333333,,10.3,22.5,3.0,1.0,1.0,1.0,13.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.293,0.3333333333333333,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1627774-1628403-203468,1610612757,"Pat Connaughton, Wade Baldwin IV, Jake Layman, Caleb Swanigan, CJ McCollum","Connaughton, Baldwin IV, Layman, Swanigan, McCollum",1626192-1627735-1627774-1628403-203468,POR,13.0,1,,,1.0,2.0,2.0,,3.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,2.0,,,,,2.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,,,1.0,,0.5,,0.5,,0.5,,,,,,,332.3076923076923,5.0,4.0,5.0,4.0,0.5,1.0,1.0,,,,,,,,0.5,,,1.0,0.38475,,,,1.7,29.2,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1628380-1628403-203468,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Caleb Swanigan, CJ McCollum","Connaughton, Baldwin IV, Collins, Swanigan, McCollum",1626192-1627735-1628380-1628403-203468,POR,139.0,1,2.0,3.0,6.0,6.0,6.0,1.0,12.0,2.0,2.0,1.0,1.0,,,,1.0,3.0,2.0,3.0,3.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,,2.0,1.0,2.0,4.0,1.0,5.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,6.0,0.5,1.0,0.6666666666666666,1.0,0.5833333333333334,1.0,0.6666666666666666,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,0.5,,124.31654676258992,9.833333333333334,13.333333333333334,9.5,11.666666666666666,0.3333333333333333,1.0,1.0,,,,0.16666666666666666,,,,0.5,1.0,1.0,0.8333333333333334,0.5072166666666666,0.16666666666666666,0.3333333333333333,0.25,7.0,26.0,3.0,,,1.0,5.0,1.0,2.0,5.0,,,,,2.0,,,1.0,,,,,,5.0,3.0,,0.3333333333333333,0.3333333333333333,0.5,0.625,0.625,,,1.0,1.0,1.0,,,,,,0.47725,0.625,0.5,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.25,1.0,0.5,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1628380-1628403-203894,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Caleb Swanigan, Shabazz Napier","Connaughton, Baldwin IV, Collins, Swanigan, Napier",1626192-1627735-1628380-1628403-203894,POR,265.0,1,4.0,3.0,7.0,8.0,,1.0,15.0,2.0,5.0,1.0,1.0,,1.0,,,,2.0,6.0,,,4.0,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,,2.0,,2.0,6.0,1.0,7.0,,,,1.0,2.0,,1.0,,,,2.0,0.5,0.5,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,,1.0,,1.0,0.25,,1.0,81.50943396226414,18.285714285714285,17.125,17.857142857142858,17.125,0.8333333333333334,0.4,0.6666666666666666,0.16666666666666666,,,,,,,,1.0,1.0,0.8333333333333334,0.4277666666666667,,,0.5,3.0833333333333335,,,,,,1.0,,,,,2.0,,,4.0,,,2.0,,,,,,,,,,,,,,0.3333333333333333,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,1.0,1.0,0.5,,,,,,,,1.0,1.0,1.0,0.4,0.25,0.3333333333333333,1.0,1.0,0.6334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1628380-202323-202334,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Evan Turner, Ed Davis","Connaughton, Baldwin IV, Collins, Turner, Davis",1626192-1627735-1628380-202323-202334,POR,217.0,1,4.0,-6.0,6.0,6.0,,1.0,12.0,1.0,1.0,,,,2.0,,,2.0,1.0,3.0,2.0,1.0,6.0,,,3.0,2.0,,,2.0,1.0,2.0,,5.0,,,,1.0,1.0,,,,,1.0,,2.0,2.0,,1.0,3.0,1.0,1.0,0.3333333333333333,,0.5,1.5,0.5,1.5,0.4,,,,0.3333333333333333,,,79.63133640552995,21.333333333333332,14.833333333333334,19.0,14.833333333333334,0.2,1.0,1.0,0.4,,,,,,,0.4,,,0.6,0.52915,0.16666666666666666,0.25,0.5,7.333333333333333,25.55,,,,1.0,12.0,,,,3.0,,1.0,,,1.0,,1.0,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,0.5,0.5,,,,,0.5,1.0,,,,0.5,,,,0.55965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1628380-202334-203081,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Ed Davis, Damian Lillard","Connaughton, Baldwin IV, Collins, Davis, Lillard",1626192-1627735-1628380-202334-203081,POR,260.0,1,4.0,2.0,8.0,6.0,2.0,1.0,14.0,2.0,4.0,,,1.0,3.0,,,2.0,3.0,7.0,3.0,,9.0,,2.0,3.0,4.0,2.0,,2.0,2.0,3.0,,7.0,,2.0,3.0,3.0,6.0,,,,,1.0,,1.0,,,,6.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,,0.45,0.5,0.45,0.5,0.3,0.6666666666666666,,0.6,0.6,,,77.53846153846155,21.125,15.166666666666666,17.0,14.666666666666666,0.4,0.5,0.6666666666666666,0.3,0.3333333333333333,0.5,,,,,0.2,,,0.7,0.46621499999999994,,,0.3333333333333333,5.042857142857143,25.866666666666664,6.0,,1.0,1.0,7.0,1.0,2.0,5.0,3.0,2.0,1.0,,1.0,,,1.0,,,,,,5.0,6.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.2857142857142857,0.3333333333333333,0.5,,0.6666666666666666,,0.1,,,,0.50415,0.5555555555555556,0.75,,,1.0,2.0,1.0,1.0,2.0,1.0,3.0,,1.0,2.0,1.0,,0.3333333333333333,1.0,0.5,1.0,0.5,0.5,0.4,0.5,0.4,0.5,0.5,3.0,1.0,,0.25,0.75,0.5,,,0.4100166666666667,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1628380-202334-203468,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Ed Davis, CJ McCollum","Connaughton, Baldwin IV, Collins, Davis, McCollum",1626192-1627735-1628380-202334-203468,POR,429.0,1,7.0,11.0,14.0,14.0,10.0,,28.0,5.0,5.0,,,3.0,4.0,,,2.0,8.0,9.0,3.0,1.0,26.0,,,,4.0,12.0,,2.0,2.0,4.0,,10.0,,,6.0,,6.0,1.0,1.0,,1.0,3.0,,1.0,2.0,,1.0,26.0,0.25,0.25,0.8888888888888888,,1.0416666666666667,,1.0,,0.25,,,0.8333333333333334,,,,93.98601398601399,10.5,20.142857142857142,10.5,19.214285714285715,0.4166666666666667,1.0,1.0,0.3333333333333333,0.75,0.75,,,,,0.16666666666666666,,,0.6666666666666666,0.554175,0.07692307692307693,0.1,,5.144444444444444,24.53333333333333,,1.0,1.0,3.0,15.0,,,,6.0,,2.0,1.0,5.0,1.0,,1.0,,,,,,,,0.6666666666666666,1.0,1.0,,,,,,0.8333333333333334,1.0,,,0.08333333333333333,1.0,1.0,1.0,,,,1.0,1.0,,,2.0,,,,,3.0,2.0,2.0,,,,,,0.4,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1628380-202334-203894,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Ed Davis, Shabazz Napier","Connaughton, Baldwin IV, Collins, Davis, Napier",1626192-1627735-1628380-202334-203894,POR,231.0,1,4.0,,8.0,7.0,,1.0,15.0,2.0,3.0,,,1.0,1.0,,,2.0,3.0,4.0,2.0,2.0,8.0,,,,,6.0,,2.0,,,,,1.0,,3.0,1.0,4.0,,,,,1.0,1.0,3.0,3.0,1.0,2.0,8.0,,,0.75,,0.5,,0.5714285714285714,,0.3333333333333333,,0.5,0.5,0.3333333333333333,0.5,,93.5064935064935,15.5,15.285714285714286,15.375,13.714285714285714,0.5,0.6666666666666666,0.6666666666666666,0.16666666666666666,1.0,1.0,,,,,0.3333333333333333,,,0.8333333333333334,0.5742666666666667,0.2857142857142857,0.4,,2.85,26.1,,,,,8.0,,,,,,,,3.0,1.0,,2.0,,2.0,1.0,3.0,1.0,,,,,,,,,,,0.6,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.5,0.5,,,,,,,,,,,,,,,0.5,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1628380-203086-203468,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Meyers Leonard, CJ McCollum","Connaughton, Baldwin IV, Collins, Leonard, McCollum",1626192-1627735-1628380-203086-203468,POR,199.0,1,3.0,-6.0,7.0,7.0,6.0,,14.0,1.0,1.0,,,1.0,2.0,,,,2.0,3.0,,1.0,5.0,,,,4.0,,,,2.0,2.0,,4.0,,,3.0,,3.0,,,,1.0,1.0,,1.0,2.0,,1.0,5.0,1.0,1.0,0.6666666666666666,,0.6666666666666666,,0.625,,,,,0.5,,,,101.30653266331657,15.285714285714286,13.142857142857142,15.285714285714286,10.142857142857142,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,1.0,,,,,,,,0.3333333333333333,0.3680666666666667,0.25,0.25,,4.8999999999999995,,,,,,11.0,,,,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,0.3333333333333333,0.5,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,1.0,2.0,,,1.0,,1.0,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
