EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,Minutes,SecondChanceOffPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,PenaltyArc3FGA,PtsUnassisted2s,Steals,BadPassSteals,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyArc3Frequency,BadPassTurnovers,SecondChanceAtRimFGA,LongMidRangeFGA,BlockingFouls,OffLongMidRangeReboundPct,LongMidRangeFrequency,SecondChanceAtRimFrequency,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefAtRimReboundPct,DefShortMidRangeReboundPct,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceArc3FGA,SecondChanceFG3A,OffThreePtRebounds,NonShootingPenaltyNonTakeFouls,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,FtPoints,PenaltyFtPoints,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyFG3M,FTDefRebounds,LostBallSteals,Loose Ball Fouls Drawn,BlockedAtRim,PenaltyFg3Pct,LongMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChancePoints,PtsUnassisted3s,BlockingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,SecondChanceTurnovers,HeaveAttempts,SecondChanceFtPoints,LongMidRangeAssists,LongMidRangePctAssisted,Charge Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,Fg3aBlocked,SelfOReb,FG3APctBlocked,Arc3PctBlocked,SelfORebPct,Loose Ball Fouls,Charge Fouls Drawn,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,Technical Free Throw Trips,BlockedShortMidRange,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,team_id,year,season,team_vs
1626192-1627735-1628380-202329-202334,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Al-Farouq Aminu, Ed Davis","Connaughton, Baldwin IV, Collins, Aminu, Davis",1626192-1627735-1628380-202329-202334,POR,17.0,1,-3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,169.41176470588235,5.0,12.0,5.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1628380-202334-203081,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Ed Davis, Damian Lillard","Connaughton, Baldwin IV, Collins, Davis, Lillard",1626192-1627735-1628380-202334-203081,POR,210.0,2,-3.0,7.0,7.0,3.0,2.0,14.0,5.0,,,1.0,1.0,3.0,,96.0,19.428571428571427,10.571428571428571,18.142857142857142,10.571428571428571,0.42857142857142855,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.2,1.0,0.14285714285714285,0.5,0.14285714285714285,0.5,0.2857142857142857,0.6,0.6666666666666666,0.5,1.0,0.25,1.0,1.0,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,0.42857142857142855,0.2857142857142857,0.5,1.0,1.0,0.14285714285714285,0.14285714285714285,0.5,0.7142857142857143,0.45827142857142855,0.3223,0.4709,1.0,3.9799999999999995,24.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-1628380-202334-203468,1610612757,"Pat Connaughton, Wade Baldwin IV, Zach Collins, Ed Davis, CJ McCollum","Connaughton, Baldwin IV, Collins, Davis, McCollum",1626192-1627735-1628380-202334-203468,POR,177.0,1,-1.0,6.0,5.0,2.0,5.0,11.0,5.0,,,,,2.0,,89.4915254237288,21.333333333333332,9.8,21.333333333333332,9.8,0.3333333333333333,3.0,,1.0,1.0,2.0,1.0,,2.0,2.0,3.0,3.0,4.0,,1.0,1.0,1.0,2.0,,2.0,1.0,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,4.0,2.0,,,0.6666666666666666,1.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.3333333333333333,,0.5,,,1.0,1.0,,,,,1.0,0.16666666666666666,0.3333333333333333,0.5,1.0,,0.16666666666666666,0.3333333333333333,,0.6666666666666666,0.5051166666666667,,0.4257,0.5,4.533333333333333,24.766666666666666,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1627735-202329-203081-203994,1610612757,"Pat Connaughton, Wade Baldwin IV, Al-Farouq Aminu, Damian Lillard, Jusuf Nurkic","Connaughton, Baldwin IV, Aminu, Lillard, Nurkic",1626192-1627735-202329-203081-203994,POR,15.0,1,-2.0,1.0,1.0,,1.0,2.0,2.0,1.0,,1.0,,,1.0,192.0,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1628380-202323-202329-203468,1610612757,"Pat Connaughton, Zach Collins, Evan Turner, Al-Farouq Aminu, CJ McCollum","Connaughton, Collins, Turner, Aminu, McCollum",1626192-1628380-202323-202329-203468,POR,55.0,1,-4.0,2.0,2.0,,,4.0,4.0,,,,,,,104.72727272727273,23.0,4.5,18.0,4.5,,1.0,1.0,2.0,,,1.0,,,,3.0,1.0,,2.0,,,,,,,,,,,,2.0,,,,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,0.25,,,,,0.6666666666666666,,,0.5,0.5,,,,0.5,,,,,0.25,,,0.75,0.53205,0.5555,,,7.3,23.3,,,,,,,,,,2.0,1.0,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1628380-202323-202334-203468,1610612757,"Pat Connaughton, Zach Collins, Evan Turner, Ed Davis, CJ McCollum","Connaughton, Collins, Turner, Davis, McCollum",1626192-1628380-202323-202334-203468,POR,166.0,1,-3.0,5.0,6.0,,,11.0,8.0,1.0,1.0,1.0,,,1.0,95.42168674698796,18.4,12.333333333333334,18.4,12.333333333333334,,3.0,,2.0,,,,,2.0,1.0,2.0,2.0,5.0,,,,,,2.0,2.0,1.0,1.0,2.0,,5.0,,,3.0,3.0,,3.0,,1.0,1.0,,1.0,5.0,,1.0,1.0,0.5,,0.625,,0.625,,0.5,0.5,0.5,,1.0,,,1.0,,,,,,0.5,,,,,,0.5,,1.0,0.563525,,,,1.45,25.85,1.0,,,,,0.5,1.0,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1628380-202329-202334-203081,1610612757,"Pat Connaughton, Zach Collins, Al-Farouq Aminu, Ed Davis, Damian Lillard","Connaughton, Collins, Aminu, Davis, Lillard",1626192-1628380-202329-202334-203081,POR,13.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1628380-202329-203081-203090,1610612757,"Pat Connaughton, Zach Collins, Al-Farouq Aminu, Damian Lillard, Maurice Harkless","Connaughton, Collins, Aminu, Lillard, Harkless",1626192-1628380-202329-203081-203090,POR,120.0,1,-4.0,4.0,4.0,,4.0,8.0,4.0,1.0,,1.0,,,1.0,96.0,18.5,11.5,17.75,11.5,,2.0,1.0,,,,,,4.0,,,4.0,,,,,,,,4.0,,,,,,,,2.0,2.0,1.0,3.0,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,0.25,,1.0,,,,,,,,,1.0,,1.0,0.484275,,,,,27.375,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.25,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1628380-202329-203090-203468,1610612757,"Pat Connaughton, Zach Collins, Al-Farouq Aminu, Maurice Harkless, CJ McCollum","Connaughton, Collins, Aminu, Harkless, McCollum",1626192-1628380-202329-203090-203468,POR,157.0,1,1.0,5.0,6.0,,,11.0,6.0,,,1.0,,,,100.89171974522293,11.8,16.333333333333332,11.8,16.333333333333332,,3.0,,,1.0,1.0,,,2.0,2.0,2.0,2.0,7.0,,,,,,,2.0,,,1.0,,3.0,,,2.0,2.0,,2.0,1.0,,2.0,1.0,,7.0,,,,1.0,,0.875,,0.875,,0.5,,,,1.0,,,1.0,,,,,,,0.25,1.0,1.0,,,0.5,,0.5,0.4735375,,,,16.65,24.9,,,4.0,,,,,,,,1.0,,,0.25,,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,0.5,0.5,1.0,,,0.5,0.5,1.0,0.5,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
1626192-1628380-202334-203081-203090,1610612757,"Pat Connaughton, Zach Collins, Ed Davis, Damian Lillard, Maurice Harkless","Connaughton, Collins, Davis, Lillard, Harkless",1626192-1628380-202334-203081-203090,POR,488.0,1,10.0,15.0,14.0,3.0,,29.0,12.0,,,3.0,2.0,3.0,,85.57377049180329,14.733333333333333,19.071428571428573,14.733333333333333,18.357142857142858,0.2,8.0,,5.0,1.0,1.0,1.0,,2.0,9.0,9.0,3.0,22.0,,1.0,1.0,,3.0,4.0,2.0,,2.0,3.0,,7.0,,1.0,5.0,6.0,,6.0,3.0,,3.0,,3.0,22.0,3.0,0.2222222222222222,0.2222222222222222,1.0,1.0,0.875,1.0,0.9166666666666666,1.5,0.25,,,,1.0,,0.5,0.8571428571428571,,,1.0,0.5,,0.4166666666666667,0.08333333333333333,1.0,1.0,,0.08333333333333333,0.16666666666666666,,0.6666666666666666,0.5584083333333333,,0.4163,0.13636363636363635,6.344444444444445,24.233333333333334,5.0,,14.0,1.0,1.0,1.0,1.0,,,,3.0,,,0.25,,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,0.4,0.5,0.5,1.0,0.5,,,,,,,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2018,2017-18,False
