EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG2A,PenaltyFG3A,NonHeaveArc3FGA,OffThreePtRebounds,PenaltyOffPossExcludingTakeFouls,FG3APct,OffThreePtReboundPct,OffArc3ReboundPct,Arc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,Corner3FGA,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,Corner3Frequency,LongMidRangeFGA,PenaltyFtPoints,PenaltyPoints,DeadBallTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyTsPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,PenaltyPointsPct,PenaltyAtRimFGM,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFG2M,FTOffRebounds,Offensive Fouls Drawn,PenaltyFg2Pct,PenaltyEfgPct,OffFTReboundPct,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,ShortMidRangeFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,ShortMidRangeAssists,Steals,BadPassSteals,NonShootingFoulsDrawn,DefensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChancePointsPct,LostBallSteals,DefCorner3ReboundPct,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,BadPassOutOfBoundsTurnovers,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,BlockingFoulsDrawn,PenaltyFg3Pct,OffCorner3ReboundPct,PenaltyArc3Accuracy,NonShootingPenaltyNonTakeFouls,LostBallTurnovers,Travels,SecondChanceAtRimPctAssisted,Charge Fouls Drawn,LongMidRangeFGM,PtsUnassisted3s,SelfOReb,BlockingFouls,Charge Fouls,Loose Ball Fouls,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3FGM,Corner3Assists,LongMidRangeAssists,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,BlockedShortMidRange,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Technical Free Throw Trips,HeaveAttempts,FTDefRebounds,DefFTReboundPct,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Offensive Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,Corner3PctBlocked,Defensive 3 Seconds Violations,3SecondViolations,Blocked3s,BlockedCorner3,BlockedArc3,OffensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
1626159-1626175-1626196-201609-202355,1610612748,"Justise Winslow, Jordan Mickey, Josh Richardson, Goran Dragic, Hassan Whiteside","Winslow, Mickey, Richardson, Dragic, Whiteside",1626159-1626175-1626196-201609-202355,MIA,171.0,1,3.0,-2.0,7.0,7.0,1.0,14.0,4.0,6.0,1.0,4.0,6.0,1.0,9.0,11.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,0.25,0.25,0.6666666666666666,0.6666666666666666,0.75,0.16666666666666666,0.16666666666666666,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.5,1.0,117.89473684210526,1.0,12.571428571428571,11.857142857142858,12.285714285714286,11.714285714285714,1.0,0.6666666666666666,0.8,0.25,1.0,1.0,0.5423333333333333,0.4225,0.16666666666666666,0.16666666666666666,1.6333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626175-1626196-201609-203079,1610612748,"Justise Winslow, Jordan Mickey, Josh Richardson, Goran Dragic, Dion Waiters","Winslow, Mickey, Richardson, Dragic, Waiters",1626159-1626175-1626196-201609-203079,MIA,72.0,1,1.0,-6.0,3.0,3.0,1.0,6.0,,2.0,1.0,,2.0,,,6.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,0.3333333333333333,,,,120.0,,17.0,7.0,15.333333333333334,6.666666666666667,0.6666666666666666,,,,1.0,1.0,0.45316666666666666,,0.25,0.3333333333333333,2.45,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.45316666666666666,25.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626175-1627884-201961-202337,1610612748,"Justise Winslow, Jordan Mickey, Derrick Jones Jr., Wayne Ellington, Luke Babbitt","Winslow, Mickey, Jones Jr., Ellington, Babbitt",1626159-1626175-1627884-201961-202337,MIA,113.0,1,2.0,-2.0,3.0,4.0,,7.0,,,,,1.0,1.0,1.0,3.0,,,,,,,,,,2.0,3.0,,3.0,1.0,1.0,1.0,,,1.0,2.0,,1.0,,,,,1.0,,,,,0.16666666666666666,,,1.0,0.6666666666666666,,0.6,,,0.6666666666666666,,89.20353982300885,,17.0,15.5,17.0,14.25,,,,,,0.5,0.512625,,0.3333333333333333,0.5,13.2,,,,,,1.0,,,,,,0.5,,,,,,,23.6,,1.0,1.0,1.0,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626175-1627884-202337-203585,1610612748,"Justise Winslow, Jordan Mickey, Derrick Jones Jr., Luke Babbitt, Rodney McGruder","Winslow, Mickey, Jones Jr., Babbitt, McGruder",1626159-1626175-1627884-202337-203585,MIA,96.0,1,2.0,,4.0,4.0,,8.0,,,,,1.0,2.0,2.0,2.0,,,,,,,,,,1.0,2.0,,2.0,,,2.0,,,1.0,2.0,,1.0,,,,,2.0,,,,,0.5,,,,1.0,,1.0,,,,,120.0,,13.75,10.25,13.75,10.25,,,,,,,0.395,,0.5,0.5,19.8,4.0,4.0,,,,,1.0,,,,4.0,,,,,,,0.395,,1.0,,,1.0,1.0,1.0,,,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626175-1628389-202337-203585,1610612748,"Justise Winslow, Jordan Mickey, Bam Adebayo, Luke Babbitt, Rodney McGruder","Winslow, Mickey, Adebayo, Babbitt, McGruder",1626159-1626175-1628389-202337-203585,MIA,76.0,1,1.0,-1.0,3.0,2.0,1.0,5.0,1.0,1.0,,1.0,2.0,,2.0,3.0,1.0,,2.0,,,,,,,,,2.0,2.0,,,,,,2.0,2.0,,1.0,,,,,2.0,,,0.5,0.3333333333333333,0.25,,,,,,,0.5,,,,94.73684210526316,,16.333333333333332,13.5,9.0,13.5,0.3333333333333333,1.0,1.0,,,0.6666666666666666,0.4813,0.39555,0.25,0.3333333333333333,4.35,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4813,24.4,1.0,1.0,,,,,0.3333333333333333,,,,2.0,,,,2.0,0.3333333333333333,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626175-1628476-201961-2617,1610612748,"Justise Winslow, Jordan Mickey, Derrick Walton Jr., Wayne Ellington, Udonis Haslem","Winslow, Mickey, Walton Jr., Ellington, Haslem",1626159-1626175-1628476-201961-2617,MIA,206.0,1,3.0,-2.0,7.0,8.0,1.0,15.0,1.0,1.0,1.0,2.0,3.0,6.0,10.0,12.0,1.0,2.0,2.0,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,4.0,6.0,,2.0,,,,,8.0,0.5,1.0,0.6666666666666666,0.5,0.7142857142857143,,,1.0,1.0,1.0,0.5,0.5,,1.0,,104.85436893203884,,16.0,11.75,16.0,11.625,0.25,1.0,1.0,,1.0,0.5,0.4033125,0.5212,0.3333333333333333,0.4,7.766666666666667,7.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,7.0,0.25,,,0.25,0.25,0.25,0.4033125,28.6,1.0,1.0,,,,,0.25,,1.0,6.0,10.0,,,1.0,10.0,0.7142857142857143,,0.25,1.0,1.0,,,2.0,,,0.6666666666666666,0.5,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626175-1628476-202337-2617,1610612748,"Justise Winslow, Jordan Mickey, Derrick Walton Jr., Luke Babbitt, Udonis Haslem","Winslow, Mickey, Walton Jr., Babbitt, Haslem",1626159-1626175-1628476-202337-2617,MIA,302.0,1,5.0,-3.0,8.0,8.0,2.0,16.0,,2.0,1.0,,4.0,2.0,2.0,5.0,1.0,,,1.0,,,,,1.0,2.0,4.0,2.0,6.0,,,1.0,,,1.0,2.0,,1.0,,,,,2.0,,,,,0.1111111111111111,0.25,0.5,,0.5,0.25,0.5714285714285714,0.25,0.5,,0.6666666666666666,76.29139072847683,,22.125,15.625,20.125,13.125,0.25,,,,0.5,0.75,0.48650625,0.6113,0.1111111111111111,0.2,6.625,1.0,8.0,,4.0,,4.0,,,4.0,1.0,1.0,0.5,0.25,0.25,0.5,,,,25.425,0.125,1.0,,2.0,0.6666666666666666,0.5,0.125,,1.0,,,1.0,,1.0,,,,0.125,,,1.0,1.0,,,,,,,0.5,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626175-201609-201949-204020,1610612748,"Justise Winslow, Jordan Mickey, Goran Dragic, James Johnson, Tyler Johnson","Winslow, Mickey, Dragic, Johnson, Johnson",1626159-1626175-201609-201949-204020,MIA,158.0,1,3.0,3.0,4.0,5.0,1.0,9.0,1.0,1.0,,1.0,1.0,,5.0,2.0,,2.0,,,1.0,2.0,1.0,5.0,,2.0,3.0,2.0,5.0,,,1.0,,,1.0,,,,,,,,5.0,1.0,1.0,1.0,0.5,0.5,,,,0.6666666666666666,,0.75,0.6666666666666666,,0.5,1.0,82.0253164556962,,19.25,16.2,19.0,13.0,0.2,1.0,1.0,1.0,,1.0,0.56685,,,,1.8,,,,4.0,,4.0,,,4.0,2.0,,0.8,0.6666666666666666,0.6666666666666666,0.8,,,,26.0,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626175-201961-202337-2617,1610612748,"Justise Winslow, Jordan Mickey, Wayne Ellington, Luke Babbitt, Udonis Haslem","Winslow, Mickey, Ellington, Babbitt, Haslem",1626159-1626175-201961-202337-2617,MIA,234.0,1,4.0,-5.0,7.0,7.0,,14.0,,,,,1.0,,,5.0,,,,,,,,,,3.0,4.0,,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,0.5,0.6,,0.6666666666666666,,,0.5,0.5,86.15384615384616,,19.142857142857142,14.285714285714286,19.142857142857142,13.857142857142858,,,,,,0.75,0.5065125,,,,23.2,,,,2.0,,3.0,,,2.0,,,0.75,,,0.5,,,,24.0,,,1.0,1.0,1.0,1.0,,0.25,1.0,,,1.0,,,,,1.0,0.25,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
1626159-1626175-201961-203482-204020,1610612748,"Justise Winslow, Jordan Mickey, Wayne Ellington, Kelly Olynyk, Tyler Johnson","Winslow, Mickey, Ellington, Olynyk, Johnson",1626159-1626175-201961-203482-204020,MIA,334.0,1,6.0,-2.0,10.0,10.0,2.0,20.0,1.0,2.0,1.0,2.0,3.0,4.0,11.0,13.0,1.0,,4.0,1.0,,1.0,,3.0,1.0,,1.0,2.0,3.0,,,,,,2.0,4.0,,2.0,1.0,1.0,1.0,,7.0,,,0.6666666666666666,0.35,0.4583333333333333,0.3333333333333333,0.5,,,1.0,0.2,0.2857142857142857,1.0,,,86.22754491017965,,18.1,15.3,18.0,13.7,0.2,0.5,1.0,,1.0,0.9,0.51793,,0.16666666666666666,0.4,3.4,2.0,,1.0,5.0,1.0,7.0,1.0,1.0,5.0,1.0,2.0,0.7,0.16666666666666666,,0.5,0.5,0.5,0.426175,24.97142857142857,0.2,1.0,2.0,1.0,0.5,0.5,0.1,0.2,,2.0,5.0,,,,5.0,0.8333333333333334,,,0.45454545454545453,,,,,,,,0.75,,,,1.0,1.0,1.0,4.0,2.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,0.36363636363636365,,,1.0,1.0,3.0,1.0,1.0,1.0,,,,1.0,0.14285714285714285,0.14285714285714285,0.2,0.2,1.0,0.2,,1.0,2.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2018,2017-18,False
