EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefThreePtRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,DefThreePtReboundPct,DefArc3ReboundPct,PtsAssisted2s,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,LiveBallTurnovers,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,LiveBallTurnoverPct,AtRimPctAssisted,ShortMidRangePctAssisted,Travels,DefCorner3ReboundPct,LongMidRangeAssists,LongMidRangePctAssisted,Steals,LostBallSteals,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG3A,OffThreePtRebounds,SelfOReb,BadPassSteals,SecondChanceTurnovers,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,BadPassTurnovers,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LostBallOutOfBoundsTurnovers,Offensive Fouls,Offensive Fouls Drawn,SecondChanceArc3FGA,SecondChanceArc3Frequency,Arc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,OffensiveGoaltends,PenaltyArc3FGM,PenaltyFG3M,Arc3Assists,Loose Ball Fouls,Charge Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyFg3Pct,Arc3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveAttempts,SecondChanceArc3FGM,OffLongMidRangeReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockingFouls,2pt And 1 Free Throw Trips,BlockedLongMidRange,Technical Free Throw Trips,PenaltyCorner3FGM,Fg3aBlocked,FTOffRebounds,StepOutOfBoundsTurnovers,Charge Fouls,BlockingFoulsDrawn,BlockedShortMidRange,DefensiveGoaltends,3SecondViolations,FG3APctBlocked,Corner3PctBlocked,OffFTReboundPct,PenaltyCorner3Accuracy,SecondChanceFtPoints,Blocked3s,BlockedArc3,Clear Path Fouls,Defensive 3 Seconds Violations,Arc3PctBlocked,BlockedCorner3,team_id,year,season,team_vs
101109-1626177-1628390-202331-203924,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Paul George, Jerami Grant","Felton, Johnson, Ferguson, George, Grant",101109-1626177-1628390-202331-203924,OKC,282.0,1,5.0,2.0,9.0,9.0,3.0,5.0,1.0,18.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,8.0,1.0,2.0,2.0,11.0,9.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,6.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,5.0,1.0,6.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,9.0,3.0,3.0,1.0,0.5,0.5,0.375,1.0,0.5,0.45,1.0,0.3333333333333333,0.4583333333333333,1.0,0.375,0.2,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,0.2,0.8,0.2,1.0,1.0,1.0,1.0,91.91489361702128,1.0,14.88888888888889,16.444444444444443,14.88888888888889,15.0,0.2,0.5,0.5,0.3,0.3333333333333333,0.5,0.3,0.3333333333333333,0.5,0.1,1.0,1.0,1.0,0.1,1.0,1.0,0.3333333333333333,0.4,0.470565,0.7423,0.36946666666666667,0.16666666666666666,0.2,0.18181818181818182,0.2727272727272727,9.0625,26.45,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1626177-1628390-202335-203518,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Patrick Patterson, Alex Abrines","Felton, Johnson, Ferguson, Patterson, Abrines",101109-1626177-1628390-202335-203518,OKC,26.0,1,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,110.76923076923076,,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1626177-1628390-202713-203460,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Kyle Singler, Andre Roberson","Felton, Johnson, Ferguson, Singler, Roberson",101109-1626177-1628390-202713-203460,OKC,146.0,1,2.0,-5.0,6.0,6.0,4.0,6.0,,12.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,2.0,3.0,,,1.0,5.0,10.0,,,,1.0,1.0,,1.0,3.0,,,,,,,2.0,,4.0,,,,2.0,,2.0,1.0,1.0,2.0,2.0,,,,,,5.0,3.0,4.0,,,,0.6666666666666666,,1.0,0.6666666666666666,,1.0,0.625,,0.75,,,,,,,,1.0,,,,,,118.35616438356165,,15.0,9.333333333333334,15.0,9.333333333333334,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,,0.3333333333333333,0.4765333333333333,,0.3875,,,,0.6,9.6,,0.6666666666666666,2.0,,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1626177-1628390-202713-203924,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Kyle Singler, Jerami Grant","Felton, Johnson, Ferguson, Singler, Grant",101109-1626177-1628390-202713-203924,OKC,81.0,1,1.0,,3.0,2.0,,2.0,,5.0,,1.0,,,,,,,,,,,,1.0,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,2.0,1.0,,,,,2.0,,,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,88.88888888888889,,19.0,12.0,19.0,12.0,1.0,,,,,,,,,,,,,,,,,1.0,0.2903,,,0.5,0.5,,,3.5,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1626177-1628390-202713-203962,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Kyle Singler, Josh Huestis","Felton, Johnson, Ferguson, Singler, Huestis",101109-1626177-1628390-202713-203962,OKC,49.0,1,1.0,2.0,1.0,2.0,,2.0,,3.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,1.0,,1.0,,,,,,,,,,2.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,88.16326530612245,,9.0,20.0,9.0,20.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,0.37,,,,,,,20.6,,,,,,,,,2.0,1.0,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1626177-1628390-203518-203924,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Alex Abrines, Jerami Grant","Felton, Johnson, Ferguson, Abrines, Grant",101109-1626177-1628390-203518-203924,OKC,32.0,2,1.0,,1.0,2.0,,2.0,,3.0,1.0,3.0,,1.0,,,,,,,,,1.0,3.0,,,,2.0,2.0,,1.0,,,,,,,2.0,,,,1.0,,,,,2.0,,,,2.0,2.0,,1.0,,,,,,,,2.0,,,,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,0.3333333333333333,,,,,1.0,,1.0,1.0,,,,135.0,,14.0,9.0,1.0,9.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,1.0,,,1.0,0.5804,0.4685,,,,,,2.1999999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1626177-1628390-203518-203962,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Alex Abrines, Josh Huestis","Felton, Johnson, Ferguson, Abrines, Huestis",101109-1626177-1628390-203518-203962,OKC,154.0,1,3.0,,6.0,5.0,6.0,5.0,4.0,11.0,2.0,3.0,2.0,2.0,,1.0,,,,1.0,2.0,2.0,2.0,4.0,,3.0,,4.0,4.0,2.0,2.0,4.0,2.0,4.0,3.0,,4.0,2.0,,2.0,2.0,,,1.0,,2.0,2.0,1.0,,1.0,4.0,5.0,1.0,2.0,1.0,,,,,,,,4.0,6.0,,,,0.5,1.0,0.5,0.2857142857142857,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.2857142857142857,0.42857142857142855,,,,,1.0,1.0,1.0,0.8,1.0,,,1.0,102.85714285714285,,15.666666666666666,12.0,9.666666666666666,12.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.14285714285714285,,,,,,0.14285714285714285,,,,0.2857142857142857,0.6666666666666666,1.0,0.2857142857142857,0.8571428571428571,0.6260214285714286,0.7952,0.6260214285714286,,,1.0,1.0,2.725,24.7,1.0,,,2.0,2.0,,,2.0,1.0,1.0,,,,2.0,,,,0.5,1.0,,0.5,,2.0,,,,2.0,1.0,1.0,,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,0.2,0.5,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1626177-1628390-203924-203962,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Jerami Grant, Josh Huestis","Felton, Johnson, Ferguson, Grant, Huestis",101109-1626177-1628390-203924-203962,OKC,16.0,1,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,180.0,,10.0,6.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1626177-1628390-203962-2555,1610612760,"Raymond Felton, Dakari Johnson, Terrance Ferguson, Josh Huestis, Nick Collison","Felton, Johnson, Ferguson, Huestis, Collison",101109-1626177-1628390-203962-2555,OKC,41.0,1,1.0,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,70.2439024390244,,22.0,19.0,22.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
101109-1626177-201566-202331-2546,1610612760,"Raymond Felton, Dakari Johnson, Russell Westbrook, Paul George, Carmelo Anthony","Felton, Johnson, Westbrook, George, Anthony",101109-1626177-201566-202331-2546,OKC,68.0,1,1.0,-1.0,2.0,2.0,,2.0,1.0,4.0,,,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,0.16666666666666666,,,0.5,,,,1.0,,,,0.5,,,,,84.70588235294117,,9.5,24.5,6.0,23.0,,,,,,,0.5,,,,,,,0.5,,,,0.5,0.506275,,,0.3333333333333333,0.5,,,14.1,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2018,2017-18,False
