EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,Fouls,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,OpponentPoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,BadPassSteals,ShootingFouls,FoulsDrawn,FTA,ThreePtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimAssists,DefThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,LiveBallTurnoverPct,DefThreePtReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceOffPoss,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,OffTwoPtRebounds,OffRebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,Loose Ball Fouls Drawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,LongMidRangeFrequency,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyAtRimFGA,LongMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG3A,LongMidRangeAssists,FTDefRebounds,BadPassTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGA,SelfOReb,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,Loose Ball Fouls,BlockedAtRim,BlockedShortMidRange,DefCorner3ReboundPct,OffThreePtRebounds,LongMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,Corner3FGA,Corner3Frequency,PtsUnassisted3s,SecondChanceArc3FGM,SecondChanceFG3M,BadPassOutOfBoundsTurnovers,SecondChanceFg3Pct,ShortMidRangePctBlocked,SecondChanceArc3Accuracy,PenaltyAtRimFGM,Offensive Fouls,NonShootingFoulsDrawn,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFtPoints,PtsPutbacks,Fg3aBlocked,Corner3Assists,FTOffRebounds,Travels,SecondChanceTurnovers,Charge Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,DefensiveGoaltends,Charge Fouls Drawn,HeaveAttempts,HeaveMakes,Defensive 3 Seconds Violations,BlockingFouls,team_id,year,season,team_vs
1627767-200765-201950-202703-202734,1610612740,"Cheick Diallo, Rajon Rondo, Jrue Holiday, Nikola Mirotic, E'Twaun Moore","Diallo, Rondo, Holiday, Mirotic, Moore",1627767-200765-201950-202703-202734,NOP,102.0,1,2.0,4.0,3.0,4.0,4.0,7,1.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,98.82352941176471,1.0,12.0,16.5,12.0,13.75,0.3333333333333333,0.6666666666666666,1.0,1.0,0.5,0.3333333333333333,0.44530000000000003,8.133333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-200765-201950-202703-203121,1610612740,"Cheick Diallo, Rajon Rondo, Jrue Holiday, Nikola Mirotic, Darius Miller","Diallo, Rondo, Holiday, Mirotic, Miller",1627767-200765-201950-202703-203121,NOP,140.0,1,2.0,-7.0,5.0,6.0,4.0,11,,,2.0,,2.0,6.0,,,,,1.0,,3.0,,,,1.0,,1.0,,,,,6.0,,,,0.5,0.75,,,,,,,113.14285714285714,,16.8,9.333333333333334,16.8,9.333333333333334,,0.6666666666666666,,,,0.3333333333333333,0.40076666666666666,7.55,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,13.0,1.0,1.0,1.0,3.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,6.0,4.0,1.0,1.0,1.0,1.0,0.75,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,1.0,0.4194,0.25,0.5,1.0,29.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-200765-201950-202734-203076,1610612740,"Cheick Diallo, Rajon Rondo, Jrue Holiday, E'Twaun Moore, Anthony Davis","Diallo, Rondo, Holiday, Moore, Davis",1627767-200765-201950-202734-203076,NOP,96.0,1,2.0,-5.0,4.0,4.0,,8,3.0,,,1.0,3.0,2.0,2.0,,1.0,1.0,1.0,,2.0,,1.0,1.0,,,,,,,,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,1.0,,,120.0,,14.75,9.25,14.75,9.25,1.0,,,,,1.0,0.4896666666666667,2.6666666666666665,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-200765-201950-203076-203121,1610612740,"Cheick Diallo, Rajon Rondo, Jrue Holiday, Anthony Davis, Darius Miller","Diallo, Rondo, Holiday, Davis, Miller",1627767-200765-201950-203076-203121,NOP,128.0,1,2.0,6.0,5.0,4.0,4.0,9,2.0,2.0,2.0,4.0,5.0,8.0,8.0,,,4.0,4.0,2.0,8.0,2.0,2.0,3.0,1.0,1.0,,,,,,6.0,1.0,1.0,0.8,0.8,0.8,,,1.0,0.5,,,101.25,,9.4,20.25,8.6,14.5,0.4,0.4,1.0,1.0,1.0,0.4,0.4281,8.76,3.0,,,,,,,,2.0,2.0,,,,4.0,,,,,,,,1.0,,,4.0,3.0,,,,,1.0,1.0,,,,,,,,,0.3901,,,0.5,,0.6,2.0,2.0,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.3822,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-200765-202703-203121-203546,1610612740,"Cheick Diallo, Rajon Rondo, Nikola Mirotic, Darius Miller, Ian Clark","Diallo, Rondo, Mirotic, Miller, Clark",1627767-200765-202703-203121-203546,NOP,343.0,2,6.0,-2.0,12.0,11.0,4.0,23,3.0,3.0,3.0,5.0,7.0,12.0,8.0,2.0,1.0,4.0,4.0,2.0,8.0,1.0,3.0,4.0,1.0,1.0,3.0,,,,,12.0,0.8,0.8,0.7142857142857143,0.5,0.5454545454545454,0.14285714285714285,0.3333333333333333,0.5,0.3333333333333333,,0.5,96.5597667638484,,12.083333333333334,18.0,11.5,15.909090909090908,0.3,0.3,1.0,1.0,0.6666666666666666,0.6,0.46389500000000006,7.328571428571428,4.0,,3.0,,1.0,,3.0,2.0,14.0,3.0,,1.0,,4.0,,3.0,,,,,,4.0,3.0,,4.0,4.0,,,,,0.5,0.5,0.3,0.3,,,,0.25,,,0.4488,0.18181818181818182,,0.3333333333333333,26.933333333333334,0.3333333333333333,1.0,1.0,1.0,2.0,,2.0,1.0,0.25,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,,,,2.0,1.0,1.0,,,,,,0.6666666666666666,,,0.5,0.2,,,0.1,0.5175,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-200765-202734-203076-203546,1610612740,"Cheick Diallo, Rajon Rondo, E'Twaun Moore, Anthony Davis, Ian Clark","Diallo, Rondo, Moore, Davis, Clark",1627767-200765-202734-203076-203546,NOP,78.0,1,1.0,,2.0,2.0,,4,1.0,,1.0,,3.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,73.84615384615384,,28.5,10.5,27.0,10.5,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,0.4365333333333334,11.566666666666668,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,0.5406,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-201950-202703-202734-203546,1610612740,"Cheick Diallo, Jrue Holiday, Nikola Mirotic, E'Twaun Moore, Ian Clark","Diallo, Holiday, Mirotic, Moore, Clark",1627767-201950-202703-202734-203546,NOP,9.0,1,,-1.0,1.0,,,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,160.0,,9.0,,9.0,,,,,,,1.0,0.4842,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-201950-202703-203121-203546,1610612740,"Cheick Diallo, Jrue Holiday, Nikola Mirotic, Darius Miller, Ian Clark","Diallo, Holiday, Mirotic, Miller, Clark",1627767-201950-202703-203121-203546,NOP,222.0,1,4.0,1.0,7.0,7.0,3.0,14,2.0,,,3.0,4.0,6.0,,6.0,,,,,,2.0,4.0,4.0,,,1.0,3.0,,3.0,2.0,6.0,,,0.75,0.5,0.5,,,0.6666666666666666,0.8,0.5,,90.8108108108108,0.6666666666666666,12.714285714285714,19.0,12.714285714285714,17.714285714285715,0.3333333333333333,,,,,0.6666666666666666,0.5329166666666666,8.45,,,2.0,,,,2.0,,5.0,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,24.9,,2.0,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,,,,1.0,,,,,1.0,1.0,,,,,,0.5,0.5,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-201950-202703-203524-203546,1610612740,"Cheick Diallo, Jrue Holiday, Nikola Mirotic, Solomon Hill, Ian Clark","Diallo, Holiday, Mirotic, Hill, Clark",1627767-201950-202703-203524-203546,NOP,257.0,1,4.0,-2.0,8.0,9.0,,17,3.0,1.0,2.0,4.0,7.0,8.0,,8.0,1.0,,,,,1.0,3.0,4.0,,,,,,,,6.0,,,0.5714285714285714,0.4444444444444444,0.4444444444444444,0.14285714285714285,,1.0,1.0,,,95.25291828793775,,20.125,10.666666666666666,17.625,10.666666666666666,0.3333333333333333,0.2222222222222222,0.5,0.5,,0.5555555555555556,0.5114666666666667,7.328571428571428,,,2.0,,,,2.0,,10.0,,,,,,,2.0,,,,,,,,,,,,,,,,,0.2222222222222222,0.2222222222222222,,,,,,,,,,,26.1,,3.0,,2.0,,,,,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,,,1.0,,,,,1.0,,1.0,1.0,,0.2,,1.0,0.2222222222222222,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
1627767-201950-203076-203121-203546,1610612740,"Cheick Diallo, Jrue Holiday, Anthony Davis, Darius Miller, Ian Clark","Diallo, Holiday, Davis, Miller, Clark",1627767-201950-203076-203121-203546,NOP,9.0,1,,-2.0,,1.0,1.0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,160.0,,,9.0,,9.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2018,2017-18,False
