EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceArc3FGA,SecondChanceFG3A,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,SelfOReb,BadPassSteals,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,Fg2aBlocked,Offensive Fouls Drawn,FG2APctBlocked,AtRimPctBlocked,ShortMidRangeFGM,LongMidRangeAssists,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChancePoints,PtsUnassisted3s,PtsPutbacks,OffThreePtRebounds,BadPassTurnovers,BlockingFouls,Charge Fouls Drawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChancePointsPct,SecondChanceArc3FGM,SecondChanceFtPoints,Fg3aBlocked,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffAtRimReboundPct,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceArc3Accuracy,OffCorner3ReboundPct,LostBallOutOfBoundsTurnovers,HeaveAttempts,Offensive Fouls,Charge Fouls,Loose Ball Fouls,SecondChanceTurnovers,BlockedLongMidRange,Clear Path Fouls,Travels,3pt And 1 Free Throw Trips,Corner3PctBlocked,SecondChanceArc3PctAssisted,Loose Ball Fouls Drawn,BlockingFoulsDrawn,BlockedCorner3,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,team_id,year,season,team_vs
1627749-1627854-1628401-202722-203464,1610612759,"Dejounte Murray, Bryn Forbes, Derrick White, Davis Bertans, Brandon Paul","Murray, Forbes, White, Bertans, Paul",1627749-1627854-1628401-202722-203464,SAS,152.0,1,3.0,5.0,7.0,6.0,7.0,6.0,13.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,12.0,7.0,2.0,2.0,2.0,3.0,2.0,12.0,2.0,2.0,6.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,7.0,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,123.15789473684211,1.0,5.714285714285714,18.666666666666668,5.714285714285714,18.666666666666668,0.4,1.0,1.0,0.5,0.2,1.0,1.0,1.0,0.4,0.5,0.5,1.0,0.4,1.0,0.2,1.0,0.4,0.5,1.0,0.5,0.55891,0.55891,0.16666666666666666,0.3333333333333333,1.0,1.55,26.166666666666668,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-1627854-1628401-202722-203530,1610612759,"Dejounte Murray, Bryn Forbes, Derrick White, Davis Bertans, Joffrey Lauvergne","Murray, Forbes, White, Bertans, Lauvergne",1627749-1627854-1628401-202722-203530,SAS,352.0,1,6.0,3.0,12.0,13.0,9.0,2.0,25.0,2.0,3.0,2.0,3.0,,,,,1.0,5.0,,4.0,3.0,6.0,1.0,5.0,4.0,13.0,10.0,2.0,4.0,,4.0,4.0,8.0,,6.0,3.0,5.0,1.0,,1.0,1.0,1.0,,,3.0,,1.0,5.0,6.0,2.0,,,,,,2.0,2.0,3.0,4.0,1.0,,,,,13.0,8.0,9.0,,,1.0,0.2,,0.2,0.5,0.5,0.4090909090909091,0.25,0.5,0.4,0.45454545454545453,,1.0,,0.5714285714285714,,,102.27272727272728,,12.416666666666666,15.615384615384615,12.166666666666666,14.538461538461538,0.2727272727272727,0.6666666666666666,0.6666666666666666,,,,,,0.45454545454545453,0.2,0.2,1.0,0.375,0.6666666666666666,,,0.5,,0.7272727272727273,0.2,0.5258136363636363,0.55826875,0.08333333333333333,0.14285714285714285,0.6153846153846154,7.116666666666667,26.5,0.75,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,0.8,0.3333333333333333,0.14285714285714285,0.5,1.0,0.5,1.0,0.14285714285714285,0.18181818181818182,0.09090909090909091,1.0,1.0,1.0,0.53505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-1627854-1628401-202722-203937,1610612759,"Dejounte Murray, Bryn Forbes, Derrick White, Davis Bertans, Kyle Anderson","Murray, Forbes, White, Bertans, Anderson",1627749-1627854-1628401-202722-203937,SAS,153.0,1,3.0,-2.0,5.0,6.0,5.0,6.0,11.0,1.0,2.0,1.0,2.0,,,,,,1.0,,1.0,1.0,2.0,,1.0,2.0,4.0,6.0,1.0,2.0,,1.0,2.0,4.0,,2.0,,1.0,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,3.0,4.0,2.0,,,,,4.0,4.0,5.0,,,,,,,0.5,0.5,0.3333333333333333,0.3333333333333333,0.4,0.4,0.3333333333333333,,,1.0,1.0,1.0,,103.52941176470588,,12.2,15.333333333333334,12.2,15.333333333333334,0.6666666666666666,0.5,1.0,,,,,,0.3333333333333333,,,,0.6666666666666666,0.5,,,0.3333333333333333,,1.0,,0.5039666666666667,0.5039666666666667,0.4,0.5,1.0,2.35,26.4,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-1627854-1628401-202722-2200,1610612759,"Dejounte Murray, Bryn Forbes, Derrick White, Davis Bertans, Pau Gasol","Murray, Forbes, White, Bertans, Gasol",1627749-1627854-1628401-202722-2200,SAS,368.0,1,6.0,-1.0,11.0,11.0,,,22.0,2.0,2.0,,,,,,,1.0,2.0,,,5.0,7.0,1.0,2.0,3.0,16.0,17.0,,,,,,,6.0,4.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,,2.0,9.0,,,2.0,2.0,1.0,,,,,,,1.0,3.0,6.0,1.0,,,2.0,1.0,16.0,,,0.6,0.6,1.0,0.5,,0.5,0.7142857142857143,,0.7222222222222222,,0.6818181818181818,,0.2222222222222222,,,,0.5,,,86.08695652173913,0.5,15.727272727272727,17.727272727272727,15.727272727272727,17.454545454545453,0.2222222222222222,1.0,1.0,1.0,,,,,0.2222222222222222,0.5,0.5,1.0,,,,,,,0.4444444444444444,0.5,0.4749444444444444,,0.18181818181818182,0.125,,8.7,26.35,,,3.0,1.0,2.0,,,,2.0,,,1.0,,,0.6666666666666666,,,,1.0,0.5,,,0.3333333333333333,0.2222222222222222,0.5,0.5,,,,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-1938-200746-200752-201988,1610612759,"Dejounte Murray, Manu Ginobili, LaMarcus Aldridge, Rudy Gay, Patty Mills","Murray, Ginobili, Aldridge, Gay, Mills",1627749-1938-200746-200752-201988,SAS,1135.0,2,19.0,12.0,36.0,35.0,12.0,10.0,71.0,2.0,2.0,,,3.0,4.0,3.0,3.0,5.0,13.0,,,6.0,15.0,8.0,17.0,5.0,41.0,29.0,3.0,6.0,3.0,3.0,3.0,18.0,4.0,8.0,21.0,13.0,5.0,2.0,7.0,9.0,4.0,3.0,1.0,25.0,8.0,2.0,20.0,23.0,,,3.0,2.0,3.0,,4.0,7.0,8.0,6.0,3.0,,,,,36.0,18.0,12.0,0.3333333333333333,0.4,0.875,0.47058823529411764,1.0,0.47058823529411764,0.4,0.5,0.5625,0.8333333333333334,0.5857142857142857,0.8181818181818182,0.53125,1.0,1.0,0.8888888888888888,0.8181818181818182,1.0,0.6666666666666666,90.07929515418502,,18.25,13.657142857142857,17.63888888888889,13.228571428571428,0.0625,1.0,1.0,0.5,0.125,0.75,0.75,1.0,0.40625,0.38461538461538464,0.38461538461538464,0.8,,,0.3333333333333333,1.0,,,0.59375,0.38461538461538464,0.486453125,0.4573111111111111,0.08571428571428572,0.16666666666666666,0.43902439024390244,12.16,26.058823529411764,0.3333333333333333,3.0,8.0,1.0,5.0,1.0,2.0,1.0,10.0,3.0,,,,,0.7692307692307693,0.1111111111111111,0.16666666666666666,0.2,0.75,0.6,1.0,,0.25,0.15625,0.2,0.2,0.3333333333333333,0.5682,,,,,3.0,1.0,,,,,,0.375,0.375,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.8333333333333334,0.8333333333333334,0.2222222222222222,0.25,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.12195121951219512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-200746-200752-201980-201988,1610612759,"Dejounte Murray, LaMarcus Aldridge, Rudy Gay, Danny Green, Patty Mills","Murray, Aldridge, Gay, Green, Mills",1627749-200746-200752-201980-201988,SAS,2844.0,5,47.0,-17.0,86.0,86.0,,2.0,172.0,8.0,17.0,,,3.0,5.0,,,9.0,29.0,,,17.0,51.0,12.0,34.0,11.0,81.0,98.0,,,,,,,6.0,28.0,30.0,29.0,9.0,3.0,10.0,13.0,7.0,3.0,2.0,36.0,11.0,,24.0,36.0,10.0,3.0,2.0,,8.0,,4.0,22.0,17.0,14.0,6.0,,,,,60.0,,,0.17647058823529413,0.25,0.8333333333333334,0.35294117647058826,,0.35294117647058826,0.3333333333333333,,0.4117647058823529,,0.44505494505494503,,0.4,0.25,,0.8461538461538461,0.6666666666666666,0.8181818181818182,1.0,87.08860759493672,,18.174418604651162,14.895348837209303,17.686046511627907,14.465116279069768,0.2,0.47058823529411764,0.6153846153846154,0.25,0.058823529411764705,0.6,0.6,1.0,0.3411764705882353,0.3103448275862069,0.32142857142857145,0.7777777777777778,,,,,,,0.6,0.3103448275862069,0.4984135294117647,,0.07692307692307693,0.10714285714285714,,9.890196078431373,25.558823529411764,,11.0,17.0,4.0,17.0,2.0,3.0,10.0,13.0,12.0,3.0,7.0,,,0.5652173913043478,0.29411764705882354,0.21818181818181817,0.16666666666666666,0.42857142857142855,0.3333333333333333,0.8,0.06382978723404255,0.2,0.2,0.23529411764705882,0.25,0.2,0.6065,7.0,3.0,0.13725490196078433,0.23529411764705882,5.0,,,1.0,,,,0.29411764705882354,0.3333333333333333,,0.02857142857142857,5.0,5.0,1.0,1.0,6.0,7.0,2.0,21.0,6.0,10.0,2.0,2.0,,,,0.6666666666666666,0.8571428571428571,0.9,0.9545454545454546,0.09523809523809523,0.10526315789473684,0.5,1.0,0.1,1.0,1.0,0.25925925925925924,1.0,3.0,1.0,1.0,4.0,6.0,1.0,1.0,0.029411764705882353,0.11764705882352941,0.058823529411764705,0.034482758620689655,0.5555555555555556,0.23076923076923078,0.2,0.5,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-200746-200752-201980-2225,1610612759,"Dejounte Murray, LaMarcus Aldridge, Rudy Gay, Danny Green, Tony Parker","Murray, Aldridge, Gay, Green, Parker",1627749-200746-200752-201980-2225,SAS,68.0,1,1.0,-6.0,2.0,3.0,,,5.0,,,,,,,,,,,,,,1.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,105.88235294117648,,16.0,12.0,16.0,12.0,,,,,,,,,,,,,,,,,,,,,0.4177,,,,,17.7,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-200746-200752-201988-203937,1610612759,"Dejounte Murray, LaMarcus Aldridge, Rudy Gay, Patty Mills, Kyle Anderson","Murray, Aldridge, Gay, Mills, Anderson",1627749-200746-200752-201988-203937,SAS,59.0,1,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,0.16666666666666666,,,48.8135593220339,0.5,20.0,39.0,20.0,11.0,,,,,,,,,,,,,,,,,,,,,0.3861,0.3861,,,,15.7,,1.0,,,,1.0,,,,1.0,,,,,,0.2,,,,0.25,,,,,1.0,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-200746-200752-201988-2200,1610612759,"Dejounte Murray, LaMarcus Aldridge, Rudy Gay, Patty Mills, Pau Gasol","Murray, Aldridge, Gay, Mills, Gasol",1627749-200746-200752-201988-2200,SAS,57.0,1,1.0,-2.0,2.0,2.0,,,4.0,,1.0,,,,1.0,,,,,,,,2.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,101.05263157894737,,27.0,1.5,24.0,1.5,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,,,,,,0.6666666666666666,,0.4399666666666667,,,,,11.1,23.9,,1.0,,,1.0,,,,,1.0,,,,,,,0.3333333333333333,,,,,,,0.3333333333333333,,,,,1.0,,0.5,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
1627749-200746-201980-201988-203937,1610612759,"Dejounte Murray, LaMarcus Aldridge, Danny Green, Patty Mills, Kyle Anderson","Murray, Aldridge, Green, Mills, Anderson",1627749-200746-201980-201988-203937,SAS,382.0,2,6.0,-9.0,12.0,14.0,,1.0,26.0,,1.0,,,,,,,,2.0,,,4.0,8.0,,2.0,,8.0,17.0,,,,,,,6.0,2.0,,2.0,,3.0,,3.0,,,,6.0,2.0,,4.0,4.0,1.0,,1.0,,3.0,,1.0,3.0,,,,,,1.0,1.0,8.0,,,0.75,0.75,,,,,0.5,,0.4,,0.4,,0.2,0.3333333333333333,,1.0,0.8,1.0,1.0,98.01047120418849,1.0,17.166666666666668,12.571428571428571,17.166666666666668,12.571428571428571,0.1,,,,,,,,0.2,,,,,,,,,,0.3,,0.42828,,,,,13.7875,26.8,,,3.0,3.0,4.0,,,,2.0,,,1.0,,,0.6666666666666666,,,,1.0,,1.0,,0.3,0.4,0.75,0.75,,,1.0,,0.125,,1.0,3.0,,,1.0,1.0,,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.3333333333333333,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1610612759,2018,2017-18,False
