EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGA,PenaltyAtRimFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFG3A,PenaltyFG3A,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,SecondChanceTurnovers,FG3APct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,Avg3ptShotDistance,LongMidRangeFGA,LostBallTurnovers,DefArc3ReboundPct,LongMidRangeFrequency,SecondChanceFG2A,ShootingFouls,Fouls,OffLongMidRangeReboundPct,SecondChanceFtPoints,SecondChancePoints,OffThreePtRebounds,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTsPct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChancePointsPct,LongMidRangeFGM,DefTwoPtRebounds,DefTwoPtReboundPct,DefShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,AtRimFGM,PenaltyAtRimFGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,LostBallSteals,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangeAssists,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,PtsUnassisted3s,LongMidRangeAssists,LongMidRangePctAssisted,DeadBallTurnovers,Charge Fouls,DefLongMidRangeReboundPct,SecondChanceAtRimFGA,SecondChanceAtRimFrequency,Corner3FGM,PenaltyCorner3FGM,Travels,Offensive Fouls Drawn,ShortMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,FTDefRebounds,SecondChanceFg3Pct,SecondChanceEfgPct,DefFTReboundPct,SecondChanceArc3Accuracy,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,DefensiveGoaltends,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SelfOReb,SelfORebPct,Offensive Fouls,FTOffRebounds,BadPassOutOfBoundsTurnovers,OffFTReboundPct,OffCorner3ReboundPct,Corner3Assists,LostBallOutOfBoundsTurnovers,BlockingFouls,BlockedLongMidRange,Defensive 3 Seconds Violations,Corner3PctAssisted,SecondChanceAtRimPctAssisted,Charge Fouls Drawn,Technical Free Throw Trips,HeaveAttempts,3SecondViolations,BlockingFoulsDrawn,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,Blocked3s,BlockedArc3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
1626220-1627777-1628571-202327-203526,1610612762,"Royce O'Neale, Georges Niang, Erik McCree, Ekpe Udoh, Raul Neto","O'Neale, Niang, McCree, Udoh, Neto",1626220-1627777-1628571-202327-203526,UTA,52.0,1,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,83.07692307692308,16.0,20.0,16.0,20.0,1.0,1.0,1.0,0.3848,0.3848,1.0,1.0,1.0,6.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1627777-1628571-203497-203526,1610612762,"Royce O'Neale, Georges Niang, Erik McCree, Rudy Gobert, Raul Neto","O'Neale, Niang, McCree, Gobert, Neto",1626220-1627777-1628571-203497-203526,UTA,,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1627777-201973-202327-202692,1610612762,"Royce O'Neale, Georges Niang, Jonas Jerebko, Ekpe Udoh, Alec Burks","O'Neale, Niang, Jerebko, Udoh, Burks",1626220-1627777-201973-202327-202692,UTA,87.0,1,1.0,,2.0,2.0,2.0,2.0,4.0,,1.0,,2.0,,,,,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,,,,,,,1.0,66.20689655172414,31.5,12.0,25.0,12.0,0.3333333333333333,,,0.4096166666666667,0.4096166666666667,,,,6.55,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.42555,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1627777-202327-202692-203526,1610612762,"Royce O'Neale, Georges Niang, Ekpe Udoh, Alec Burks, Raul Neto","O'Neale, Niang, Udoh, Burks, Neto",1626220-1627777-202327-202692-203526,UTA,65.0,1,1.0,-2.0,3.0,3.0,3.0,3.0,6.0,,,,1.0,,,2.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,3.0,,,,,,,1.0,132.92307692307693,5.333333333333333,16.333333333333332,5.333333333333333,16.333333333333332,,,,0.4275,0.4275,,,,15.1,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1627777-202327-203109-203526,1610612762,"Royce O'Neale, Georges Niang, Ekpe Udoh, Jae Crowder, Raul Neto","O'Neale, Niang, Udoh, Crowder, Neto",1626220-1627777-202327-203109-203526,UTA,80.0,1,1.0,-4.0,2.0,3.0,2.0,3.0,5.0,,1.0,,2.0,,,4.0,,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,2.0,,,,,,,1.0,90.0,17.0,15.333333333333334,10.5,15.333333333333334,0.5,,,0.4294,0.4294,,,,13.65,1.0,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,0.5,,,0.5,,,,,,,,,,0.4242,,1.0,,,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1628378-1628396-203526-204060,1610612762,"Royce O'Neale, Donovan Mitchell, Tony Bradley, Raul Neto, Joe Ingles","O'Neale, Mitchell, Bradley, Neto, Ingles",1626220-1628378-1628396-203526-204060,UTA,34.0,1,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,2.0,2.0,,,,2.0,2.0,,,,,,1.0,2.0,,,,2.0,1.0,,,,,0.5,0.5,,84.70588235294117,20.0,14.0,20.0,14.0,,,,0.44985,0.44985,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,2.0,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,,28.8,,,1.0,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1628378-200757-201937-201973,1610612762,"Royce O'Neale, Donovan Mitchell, Thabo Sefolosha, Ricky Rubio, Jonas Jerebko","O'Neale, Mitchell, Sefolosha, Rubio, Jerebko",1626220-1628378-200757-201937-201973,UTA,81.0,1,1.0,2.0,2.0,2.0,1.0,,4.0,,,1.0,1.0,,2.0,,,,,,2.0,,,,,2.0,,,,2.0,,1.0,1.0,,0.5,,0.5,,,71.1111111111111,16.5,24.0,16.5,16.0,,,,0.4636,0.5172,,,,17.5,0.5,,,,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,,,0.5,,,,,0.5,,,,,,0.5,,,1.0,0.5,,25.8,1.0,,,0.5,,,,,,,,,,,,,,,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1628378-200757-201937-202324,1610612762,"Royce O'Neale, Donovan Mitchell, Thabo Sefolosha, Ricky Rubio, Derrick Favors","O'Neale, Mitchell, Sefolosha, Rubio, Favors",1626220-1628378-200757-201937-202324,UTA,251.0,3,4.0,-5.0,9.0,10.0,9.0,8.0,19.0,1.0,1.0,4.0,6.0,,11.0,16.0,4.0,6.0,,11.0,6.0,1.0,1.0,1.0,1.0,,,,,11.0,11.0,9.0,0.6666666666666666,0.6666666666666666,0.6875,0.6875,0.6875,0.6875,1.0,109.00398406374501,12.11111111111111,14.2,12.11111111111111,14.2,0.125,1.0,1.0,0.61206875,0.61206875,,,1.0,4.333333333333333,1.0,,4.0,4.0,1.0,,1.0,2.0,,2.0,1.0,,,,1.0,,1.0,2.0,1.0,,0.25,,,,,1.0,,,,,0.5,0.125,,0.5,0.125,0.75,,23.9,1.0,,,0.125,,2.0,5.0,,,,,,,,,,,,,1.0,1.0,1.0,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,0.25,0.25,1.0,0.5,0.5,0.5,0.75,0.75,0.3333333333333333,0.125,1.0,1.0,1.0,0.75,0.125,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1628378-200757-201937-202327,1610612762,"Royce O'Neale, Donovan Mitchell, Thabo Sefolosha, Ricky Rubio, Ekpe Udoh","O'Neale, Mitchell, Sefolosha, Rubio, Udoh",1626220-1628378-200757-201937-202327,UTA,220.0,2,4.0,3.0,7.0,7.0,3.0,5.0,14.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,3.0,1.0,3.0,2.0,2.0,2.0,,1.0,3.0,,3.0,1.0,,0.25,,0.3,,1.0,91.63636363636364,16.428571428571427,15.0,16.428571428571427,13.285714285714286,0.25,1.0,1.0,0.50465,0.533775,0.2,0.5,,8.8,0.42857142857142855,,,,3.0,,2.0,3.0,,2.0,3.0,,,2.0,5.0,1.0,6.0,2.0,1.0,,0.75,,,,1.0,0.8333333333333334,0.3333333333333333,,,1.0,,0.75,,,1.0,0.75,,24.733333333333334,,2.0,1.0,,,,,,,,1.0,,,,,0.3333333333333333,0.3333333333333333,,,3.0,0.75,1.0,,,,,,,,,,,2.0,,,1.0,,1.0,,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,2.0,2.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
1626220-1628378-200757-201937-203497,1610612762,"Royce O'Neale, Donovan Mitchell, Thabo Sefolosha, Ricky Rubio, Rudy Gobert","O'Neale, Mitchell, Sefolosha, Rubio, Gobert",1626220-1628378-200757-201937-203497,UTA,27.0,1,,3.0,1.0,,1.0,,1.0,,,,,,3.0,,,,,3.0,,,,,,,,,,3.0,3.0,1.0,,,1.5,1.5,1.5,1.5,,53.33333333333333,24.0,,24.0,,,,,0.3549,0.3549,,,1.0,,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2018,2017-18,True
