EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG3A,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Steals,LostBallSteals,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,SecondChanceCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PlusMinus,LongMidRangePctBlocked,OffLongMidRangeReboundPct,PenaltyTurnovers,Loose Ball Fouls Drawn,Blocked3s,BlockedArc3,BlockedShortMidRange,Offensive Fouls Drawn,3SecondViolations,SecondChanceTurnovers,FTOffRebounds,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,OffensiveGoaltends,PenaltyCorner3FGM,PenaltyCorner3FGA,Fg3aBlocked,LongMidRangeAssists,ThreePtShootingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,LongMidRangePctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,3pt And 1 Free Throw Trips,Charge Fouls,SecondChanceArc3PctAssisted,Technical Free Throw Trips,Arc3PctBlocked,BlockedCorner3,team_id,year,season,team_vs
1627748-1627763-1891-203114-203953,1610612749,"Thon Maker, Malcolm Brogdon, Jason Terry, Khris Middleton, Jabari Parker","Maker, Brogdon, Terry, Middleton, Parker",1627748-1627763-1891-203114-203953,MIL,57.0,1,1.0,3.0,2.0,1.0,5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,126.31578947368422,11.0,12.0,8.666666666666666,12.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.52325,0.50715,7.85,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,True
1627748-1627763-202339-203114-203507,1610612749,"Thon Maker, Malcolm Brogdon, Eric Bledsoe, Khris Middleton, Giannis Antetokounmpo","Maker, Brogdon, Bledsoe, Middleton, Antetokounmpo",1627748-1627763-202339-203114-203507,MIL,2835.0,5,47.0,86.0,84.0,7.0,170,17.0,26.0,11.0,5.0,1.0,24.0,42.0,28.0,101.0,101.0,4.0,30.0,15.0,23.0,11.0,54.0,6.0,3.0,93.0,0.625,0.6521739130434783,0.5714285714285714,0.5785714285714286,0.6234567901234568,0.4,86.34920634920636,17.372093023255815,15.964285714285714,16.96511627906977,15.476190476190476,0.37142857142857144,0.6538461538461539,0.7727272727272727,0.6470588235294118,0.15714285714285714,0.07142857142857142,0.16666666666666666,0.7714285714285715,0.5011707142857142,0.51281,4.7404761904761905,26.385714285714283,9.0,20.0,1.0,1.0,5.0,6.0,6.0,1.0,5.0,2.0,9.0,23.0,3.0,1.0,2.0,11.0,20.0,2.0,2.0,4.0,8.0,6.0,7.0,1.0,2.0,2.0,17.0,18.0,24.0,9.0,2.0,23.0,9.0,5.0,8.0,6.0,2.0,4.0,2.0,5.0,11.0,15.0,1.0,27.0,7.0,34.0,1.0,3.0,7.0,2.0,4.0,7.0,1.0,3.0,1.0,1.0,14.0,9.0,2.0,26.0,1.0,2.0,19.0,1.0,25.0,3.0,13.0,1.0,3.0,3.0,3.0,3.0,1.0,17.0,9.0,4.0,0.7272727272727273,0.39285714285714285,0.5,0.39285714285714285,1.0,0.8571428571428571,0.3333333333333333,0.8333333333333334,0.5,0.85,0.11904761904761904,0.15384615384615385,0.09090909090909091,0.5,1.0,0.8333333333333334,0.2777777777777778,0.7857142857142857,0.11764705882352941,0.8125,0.2,0.3333333333333333,0.4,0.07142857142857142,0.3333333333333333,0.75,1.0,0.75,1.0,0.25,0.03333333333333333,1.0,0.5454545454545454,0.6,0.6666666666666666,0.07142857142857142,0.2,0.2,0.4,0.4,1.0,0.32857142857142857,0.391304347826087,0.391304347826087,0.6666666666666666,0.16666666666666666,1.0,0.5,0.6666666666666666,0.8333333333333334,0.2222222222222222,0.5,0.391304347826087,0.5455722222222222,0.1625,0.25,0.07920792079207921,0.16831683168316833,0.10465116279069768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,True
1627748-1627763-202339-203114-203953,1610612749,"Thon Maker, Malcolm Brogdon, Eric Bledsoe, Khris Middleton, Jabari Parker","Maker, Brogdon, Bledsoe, Middleton, Parker",1627748-1627763-202339-203114-203953,MIL,455.0,2,8.0,14.0,13.0,1.0,27,3.0,6.0,,1.0,,4.0,8.0,6.0,17.0,16.0,,4.0,2.0,5.0,2.0,13.0,,,17.0,0.5,0.5,0.5,0.6071428571428571,0.6071428571428571,0.42857142857142855,85.45054945054946,18.0,15.615384615384615,17.285714285714285,15.23076923076923,0.42857142857142855,0.5,0.5,0.6666666666666666,,0.07142857142857142,,0.8571428571428571,0.4861142857142857,0.5309,5.8875,25.53333333333333,,7.0,,2.0,,,,1.0,2.0,1.0,2.0,5.0,,,,3.0,,,2.0,,,,,,,,,4.0,9.0,,,5.0,2.0,1.0,3.0,2.0,1.0,,,2.0,1.0,4.0,,5.0,2.0,7.0,,,2.0,,2.0,,,,,,2.0,1.0,,4.0,,,,,,,,,,,,,,,,,1.0,0.5,,0.5,,,,,,,0.125,,,1.0,,0.8,0.5,0.5,,0.7142857142857143,0.3333333333333333,0.3333333333333333,,,,1.0,0.5,1.0,1.0,,,,,,,0.14285714285714285,0.5,1.0,1.0,1.0,1.0,0.35714285714285715,0.4,0.4,1.0,1.0,,,,,,,0.4,,,,,,,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,True
1627748-1627763-202339-203507-203953,1610612749,"Thon Maker, Malcolm Brogdon, Eric Bledsoe, Giannis Antetokounmpo, Jabari Parker","Maker, Brogdon, Bledsoe, Antetokounmpo, Parker",1627748-1627763-202339-203507-203953,MIL,29.0,1,,1.0,1.0,,2,,,,,,,,,,2.0,,,,,,,,,,,,,,,,99.3103448275862,2.0,27.0,2.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,True
1627748-1627763-203114-203521-203953,1610612749,"Thon Maker, Malcolm Brogdon, Khris Middleton, Matthew Dellavedova, Jabari Parker","Maker, Brogdon, Middleton, Dellavedova, Parker",1627748-1627763-203114-203521-203953,MIL,146.0,1,2.0,5.0,4.0,,9,1.0,2.0,2.0,,,2.0,4.0,1.0,7.0,8.0,,,,,,,,,7.0,,,0.5,0.7,0.7,0.2,88.76712328767124,13.8,19.25,13.8,19.25,0.4,0.5,0.5,,0.4,,,0.6,0.4774,,3.8,25.8,5.0,,,,1.0,2.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,2.0,4.0,1.0,1.0,,7.0,4.0,,3.0,,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,7.0,5.0,,,1.0,1.0,1.0,,0.5,,0.7,,0.7,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,0.5,0.5,,,,,,,,0.2,1.0,1.0,,,,,0.4,0.5,0.2,1.0,1.0,0.4774,,,,1.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,True
1627748-1627763-203507-203521-203953,1610612749,"Thon Maker, Malcolm Brogdon, Giannis Antetokounmpo, Matthew Dellavedova, Jabari Parker","Maker, Brogdon, Antetokounmpo, Dellavedova, Parker",1627748-1627763-203507-203521-203953,MIL,633.0,5,11.0,21.0,21.0,6.0,42,5.0,8.0,7.0,2.0,,8.0,17.0,6.0,20.0,22.0,,4.0,2.0,2.0,2.0,4.0,3.0,3.0,16.0,0.25,0.3333333333333333,0.47058823529411764,0.41304347826086957,0.43478260869565216,0.2608695652173913,95.54502369668246,15.142857142857142,15.0,14.19047619047619,13.714285714285714,0.34782608695652173,0.625,0.8333333333333334,0.4,0.30434782608695654,0.08695652173913043,,0.6086956521739131,0.4958760869565218,0.3762,6.1000000000000005,25.483333333333334,9.0,8.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,1.0,,4.0,,,2.0,1.0,1.0,2.0,5.0,,4.0,3.0,6.0,,2.0,,6.0,12.0,,3.0,4.0,4.0,,4.0,,,,,4.0,2.0,3.0,3.0,,6.0,6.0,12.0,,,1.0,1.0,,2.0,1.0,1.0,,,3.0,2.0,,4.0,1.0,,4.0,,2.0,2.0,2.0,,1.0,,2.0,1.0,1.0,6.0,9.0,,,0.16666666666666666,,0.16666666666666666,0.4,0.5,0.4,0.375,0.4,0.375,0.23529411764705882,0.25,0.2857142857142857,0.3333333333333333,,0.75,0.2222222222222222,0.75,0.8,0.75,0.42857142857142855,0.3333333333333333,0.2,0.75,1.0,,0.6666666666666666,1.0,0.6666666666666666,1.0,,0.5,0.2857142857142857,0.4,,0.08695652173913043,0.5,0.5,0.5,0.5,,0.17391304347826086,,,,0.8,0.5,,0.375,0.6666666666666666,0.25,,,0.47235625,0.08695652173913043,0.11764705882352941,0.2,0.3,0.42857142857142855,-2.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,True
1627748-1628425-203092-203498-203521,1610612749,"Thon Maker, Sterling Brown, Tyler Zeller, Shabazz Muhammad, Matthew Dellavedova","Maker, Brown, Zeller, Muhammad, Dellavedova",1627748-1628425-203092-203498-203521,MIL,60.0,1,1.0,2.0,2.0,,4,,,,,,,,,,2.0,,,,,,,,,,,,,,,,96.0,14.0,16.0,14.0,11.5,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,True
1627748-1891-202339-203114-203507,1610612749,"Thon Maker, Jason Terry, Eric Bledsoe, Khris Middleton, Giannis Antetokounmpo","Maker, Terry, Bledsoe, Middleton, Antetokounmpo",1627748-1891-202339-203114-203507,MIL,279.0,1,5.0,8.0,9.0,2.0,17,2.0,4.0,1.0,,,3.0,6.0,2.0,6.0,13.0,1.0,2.0,1.0,1.0,1.0,2.0,,,4.0,0.3333333333333333,0.5,0.5,0.375,0.3333333333333333,0.25,87.74193548387096,18.0,15.0,17.5,15.0,0.5,0.5,0.5,0.5,0.125,,,0.75,0.542975,0.59505,4.633333333333334,26.6,,,1.0,1.0,,,1.0,,1.0,,,2.0,1.0,,,,,1.0,1.0,,2.0,,,,,,,4.0,,,2.0,2.0,,,,,,,,2.0,1.0,,,1.0,2.0,3.0,1.0,,,1.0,,1.0,,,,,1.0,2.0,,2.0,,,2.0,,2.0,,1.0,,,,,,1.0,,,,,,,,1.0,,0.5,,0.5,,,,,,,,0.6666666666666666,1.0,,1.0,0.4,1.0,,,,,,,1.0,,0.2,,1.0,1.0,,0.125,,,,,,0.25,,,,0.5,1.0,0.5,,,,,,,0.1111111111111111,0.14285714285714285,0.3333333333333333,,,-7.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,True
1627748-202339-203114-203498-203507,1610612749,"Thon Maker, Eric Bledsoe, Khris Middleton, Shabazz Muhammad, Giannis Antetokounmpo","Maker, Bledsoe, Middleton, Muhammad, Antetokounmpo",1627748-202339-203114-203498-203507,MIL,63.0,1,1.0,2.0,1.0,,3,,1.0,,,,,1.0,,2.0,3.0,,,,,,,,,2.0,,,,,0.5,,68.57142857142857,22.0,19.0,22.0,19.0,1.0,,,,,,,1.0,0.4201,,3.4,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,True
1627748-202339-203114-203503-203507,1610612749,"Thon Maker, Eric Bledsoe, Khris Middleton, Tony Snell, Giannis Antetokounmpo","Maker, Bledsoe, Middleton, Snell, Antetokounmpo",1627748-202339-203114-203503-203507,MIL,345.0,4,6.0,11.0,11.0,,22,1.0,2.0,3.0,1.0,,2.0,6.0,2.0,10.0,12.0,,4.0,2.0,3.0,1.0,7.0,2.0,,10.0,1.0,1.0,0.3333333333333333,0.625,0.625,0.25,91.82608695652173,18.0,13.363636363636363,18.0,13.363636363636363,0.25,0.5,1.0,1.0,0.375,0.125,,0.5,0.4846,,7.566666666666666,25.25,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,3.0,3.0,,1.0,1.0,3.0,1.0,,1.0,1.0,,,1.0,3.0,,4.0,,4.0,,2.0,3.0,,,1.0,,3.0,,,4.0,2.0,,3.0,,,1.0,,,,,,,,,,,,,,0.5,1.0,,1.0,,,,,,,0.5,0.5,0.6666666666666666,0.75,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,1.0,,,,0.3333333333333333,1.0,1.0,0.125,,,1.0,1.0,1.0,0.125,1.0,1.0,,,,,,,,,1.0,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2018,2017-18,True
