EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsUnassisted2s,ShootingFouls,Fouls,FirstChancePoints,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,LostBallSteals,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFtPoints,SecondChancePoints,OffThreePtRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,BlockingFouls,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChancePointsPct,LongMidRangeAssists,Offensive Fouls Drawn,DefCorner3ReboundPct,LongMidRangePctAssisted,PtsPutbacks,OffLongMidRangeReboundPct,BadPassTurnovers,PenaltyCorner3FGM,PenaltyCorner3FGA,ShortMidRangeAssists,Loose Ball Fouls Drawn,ShortMidRangePctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,Charge Fouls,SecondChanceArc3Accuracy,DefensiveGoaltends,Loose Ball Fouls,BlockingFoulsDrawn,Travels,SecondChanceTurnovers,OffCorner3ReboundPct,SecondChanceArc3PctAssisted,Technical Free Throw Trips,Charge Fouls Drawn,Blocked3s,BlockedArc3,BlockedCorner3,Corner3PctBlocked,FTOffRebounds,3pt And 1 Free Throw Trips,OffFTReboundPct,Defensive 3 Seconds Violations,team_id,year,season,team_vs
101108-101123-200782-201569-201583,1610612745,"Chris Paul, Gerald Green, PJ Tucker, Eric Gordon, Ryan Anderson","Paul, Green, Tucker, Gordon, Anderson",101108-101123-200782-201569-201583,HOU,50.0,1,1.0,-3.0,1.0,2.0,3,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,86.39999999999999,11.0,19.5,11.0,19.5,1.0,1.0,1.0,0.4402,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2018,2017-18,False
101108-101123-200782-201569-201601,1610612745,"Chris Paul, Gerald Green, PJ Tucker, Eric Gordon, Luc Mbah a Moute","Paul, Green, Tucker, Gordon, Mbah a Moute",101108-101123-200782-201569-201601,HOU,772.0,3,13.0,-3.0,25.0,24.0,49,2.0,4.0,4.0,9.0,27.0,30.0,6.0,2.0,5.0,27.0,0.4444444444444444,0.5909090909090909,0.6136363636363636,91.39896373056995,13.76,17.833333333333332,13.56,17.708333333333332,0.18181818181818182,0.5,0.5,0.46394090909090907,10.600000000000001,8.0,11.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,10.0,1.0,2.0,3.0,6.0,13.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,11.0,2.0,9.0,9.0,10.0,4.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,11.0,1.0,4.0,4.0,1.0,9.0,1.0,10.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,11.0,8.0,1.0,0.25,0.25,0.5,0.46153846153846156,0.6666666666666666,0.46153846153846156,0.4,0.625,0.6875,0.5909090909090909,0.1111111111111111,0.25,0.25,1.0,0.8,0.2,0.8,0.8,0.09090909090909091,0.5,1.0,1.0,0.8,1.0,0.18181818181818182,0.5,0.6666666666666666,0.5,0.045454545454545456,0.13636363636363635,0.6666666666666666,0.6666666666666666,0.5,0.45454545454545453,0.4,0.4,0.5,1.0,0.25,0.5,0.375,0.6666666666666666,0.7727272727272727,0.4,0.56355,0.45221875,0.045454545454545456,0.1111111111111111,0.4074074074074074,26.4,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2018,2017-18,False
101108-101123-200782-201569-201935,1610612745,"Chris Paul, Gerald Green, PJ Tucker, Eric Gordon, James Harden","Paul, Green, Tucker, Gordon, Harden",101108-101123-200782-201569-201935,HOU,136.0,2,2.0,-1.0,5.0,4.0,9,,,1.0,1.0,2.0,3.0,2.0,,1.0,2.0,1.0,0.3333333333333333,0.3333333333333333,95.29411764705883,17.6,12.0,17.6,12.0,,,,0.48995000000000005,12.1,1.0,1.0,,,,,,1.0,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,2.0,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,0.6666666666666666,,,,,1.0,,,1.0,,,1.0,,,,,,,,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,0.6666666666666666,,,,,,,26.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2018,2017-18,False
101108-101123-200782-201569-203991,1610612745,"Chris Paul, Gerald Green, PJ Tucker, Eric Gordon, Clint Capela","Paul, Green, Tucker, Gordon, Capela",101108-101123-200782-201569-203991,HOU,1256.0,6,21.0,8.0,41.0,39.0,80,2.0,2.0,13.0,20.0,58.0,50.0,14.0,5.0,8.0,52.0,0.65,0.6410256410256411,0.6744186046511628,91.71974522292993,15.658536585365853,15.743589743589743,15.536585365853659,14.846153846153847,0.05128205128205128,1.0,1.0,0.5054551282051282,5.279999999999999,7.0,4.0,2.0,9.0,12.0,2.0,3.0,6.0,3.0,5.0,5.0,14.0,,,1.0,8.0,19.0,8.0,1.0,2.0,5.0,,1.0,3.0,7.0,12.0,15.0,9.0,14.0,5.0,1.0,6.0,5.0,11.0,2.0,3.0,6.0,27.0,3.0,3.0,10.0,1.0,14.0,4.0,18.0,3.0,1.0,1.0,2.0,1.0,,3.0,,13.0,12.0,4.0,7.0,5.0,2.0,2.0,5.0,3.0,7.0,7.0,,0.46153846153846156,0.46153846153846156,0.625,0.42105263157894735,,0.42105263157894735,0.4,0.3333333333333333,0.4375,0.48717948717948717,0.05,,0.3333333333333333,1.0,0.6666666666666666,0.42857142857142855,0.6,0.65,0.2222222222222222,0.6666666666666666,0.625,0.75,0.75,0.6,0.3076923076923077,0.75,0.75,0.6666666666666666,0.15384615384615385,0.1282051282051282,0.6,0.6,1.0,0.358974358974359,0.35714285714285715,0.35714285714285715,0.4,,0.5,0.6666666666666666,0.16666666666666666,,0.7948717948717948,0.35714285714285715,0.3427,0.445875,0.16666666666666666,0.30434782608695654,0.1206896551724138,25.326315789473682,0.17073170731707318,2.0,2.0,,,0.3333333333333333,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.0,0.16666666666666666,0.09090909090909091,0.25,0.1111111111111111,0.6666666666666666,0.058823529411764705,0.5,1.0,1.0,0.5,1.0,1.0,0.10344827586206896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2018,2017-18,False
101108-101123-200782-201569-2403,1610612745,"Chris Paul, Gerald Green, PJ Tucker, Eric Gordon, Nene","Paul, Green, Tucker, Gordon, Nene",101108-101123-200782-201569-2403,HOU,35.0,1,1.0,,1.0,2.0,3,,,,,3.0,3.0,,1.0,1.0,3.0,,1.5,1.5,123.42857142857142,16.0,9.5,16.0,9.5,,,,0.56805,,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,3.0,,3.0,,1.0,1.0,,,1.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,1.0,1.0,1.0,1.0,,1.5,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,0.56805,,,1.0,24.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2018,2017-18,False
101108-101123-200782-201569-2772,1610612745,"Chris Paul, Gerald Green, PJ Tucker, Eric Gordon, Trevor Ariza","Paul, Green, Tucker, Gordon, Ariza",101108-101123-200782-201569-2772,HOU,318.0,3,5.0,-2.0,11.0,11.0,22,1.0,1.0,1.0,1.0,8.0,10.0,,2.0,2.0,8.0,1.0,0.125,0.36363636363636365,99.62264150943396,14.0,14.909090909090908,14.0,14.909090909090908,0.125,1.0,1.0,0.50381875,14.0,5.0,3.0,,,,,,,,1.0,,6.0,,,3.0,,7.0,6.0,,1.0,1.0,,3.0,2.0,4.0,2.0,,,6.0,,,1.0,,1.0,,,,2.0,,2.0,2.0,,4.0,,4.0,,,,,,,,,4.0,6.0,,2.0,,,,,,4.0,5.0,,1.0,1.0,,,,,1.0,0.25,0.4,0.875,,,,,0.6666666666666666,,1.0,0.8,,,,1.0,1.0,,,,,,,0.125,,,,0.75,,,,,,,0.75,,0.875,,,0.4550375,0.2,0.6666666666666666,0.5,26.25714285714286,0.45454545454545453,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2018,2017-18,False
101108-101123-200782-201935-203991,1610612745,"Chris Paul, Gerald Green, PJ Tucker, James Harden, Clint Capela","Paul, Green, Tucker, Harden, Capela",101108-101123-200782-201935-203991,HOU,222.0,2,4.0,2.0,7.0,8.0,15,1.0,2.0,5.0,6.0,10.0,8.0,8.0,,1.0,8.0,0.8333333333333334,0.7142857142857143,0.7142857142857143,97.29729729729729,13.285714285714286,16.125,13.142857142857142,16.125,0.2857142857142857,0.5,0.5,0.4599642857142857,9.15,,,1.0,1.0,1.0,,,3.0,,,,1.0,,,,,1.0,,,,,,,,,2.0,,,1.0,,,1.0,,1.0,,,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,3.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,0.2,0.25,,,,,,,,0.14285714285714285,,,,,1.0,1.0,1.0,1.0,0.5,,1.0,,1.0,,0.14285714285714285,1.0,1.0,1.0,0.42857142857142855,,,,,0.14285714285714285,,,,,,,,,0.2857142857142857,,0.4261,,,,,26.3,,3.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,,2.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,0.5,,,,,,,0.2,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2018,2017-18,False
101108-101123-200782-201935-2772,1610612745,"Chris Paul, Gerald Green, PJ Tucker, James Harden, Trevor Ariza","Paul, Green, Tucker, Harden, Ariza",101108-101123-200782-201935-2772,HOU,292.0,3,5.0,8.0,9.0,8.0,17,,,5.0,5.0,21.0,13.0,8.0,1.0,3.0,21.0,1.0,1.0555555555555556,1.1666666666666667,83.83561643835617,15.555555555555555,19.0,15.555555555555555,17.375,,,,0.5373166666666667,2.68,,2.0,,4.0,4.0,,,1.0,2.0,3.0,1.0,1.0,,,,3.0,4.0,2.0,,,,,,,,2.0,6.0,3.0,1.0,1.0,,1.0,2.0,3.0,,2.0,1.0,8.0,,,,,,,,1.0,1.0,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,,0.2,0.2,0.6666666666666666,0.75,,0.75,,,,0.4444444444444444,,,,,,,,,,,,,,,0.4444444444444444,1.0,1.0,0.25,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.1111111111111111,1.0,1.0,,,,,,,0.8888888888888888,1.0,,,0.2222222222222222,0.4,,24.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2018,2017-18,False
101108-101123-200782-203991-2772,1610612745,"Chris Paul, Gerald Green, PJ Tucker, Clint Capela, Trevor Ariza","Paul, Green, Tucker, Capela, Ariza",101108-101123-200782-203991-2772,HOU,59.0,1,1.0,-3.0,2.0,2.0,4,,1.0,,1.0,,3.0,,,,,,,,97.6271186440678,21.0,8.5,21.0,8.5,0.5,,,0.3874,20.5,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,0.5,,,,,,,,,0.5,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2018,2017-18,False
101108-101123-201569-201583-201601,1610612745,"Chris Paul, Gerald Green, Eric Gordon, Ryan Anderson, Luc Mbah a Moute","Paul, Green, Gordon, Anderson, Mbah a Moute",101108-101123-201569-201583-201601,HOU,455.0,2,8.0,-8.0,18.0,18.0,36,,2.0,4.0,10.0,17.0,25.0,6.0,3.0,4.0,17.0,0.4,0.5,0.5,113.93406593406594,13.222222222222221,12.055555555555555,13.222222222222221,12.055555555555555,0.11764705882352941,,,0.461614705882353,5.51,3.0,3.0,,4.0,7.0,2.0,2.0,1.0,,1.0,3.0,6.0,,,1.0,3.0,7.0,,,2.0,2.0,,1.0,,4.0,2.0,3.0,6.0,6.0,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,5.0,,4.0,2.0,1.0,7.0,,7.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,4.0,3.0,,0.25,0.25,0.3333333333333333,0.42857142857142855,,0.42857142857142855,1.0,0.6666666666666666,0.6666666666666666,0.4117647058823529,0.1,0.14285714285714285,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,0.4117647058823529,0.5714285714285714,0.6666666666666666,0.25,0.058823529411764705,0.058823529411764705,,,,0.35294117647058826,0.5,0.5,0.3333333333333333,,0.6666666666666666,1.0,0.3333333333333333,,0.8235294117647058,0.5,,0.36991666666666667,,,0.23529411764705882,26.62857142857143,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2018,2017-18,False
