EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,Arc3FGM,Arc3FGA,FG3M,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,ShootingFouls,BlockingFouls,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefArc3ReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,FTDefRebounds,LostBallSteals,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,Fg2aBlocked,Corner3Assists,FG2APctBlocked,ShortMidRangePctBlocked,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,LostBallTurnovers,SecondChanceTurnovers,AtRimPctBlocked,OffAtRimReboundPct,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG3A,SecondChanceFtPoints,OffThreePtRebounds,Loose Ball Fouls,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SelfOReb,StepOutOfBoundsTurnovers,SecondChanceFg3Pct,SelfORebPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,Loose Ball Fouls Drawn,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceAtRimFGM,PenaltyCorner3FGM,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,Charge Fouls Drawn,LongMidRangePctBlocked,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Travels,Charge Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Offensive Fouls,DefensiveGoaltends,BlockingFoulsDrawn,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,BlockedCorner3,BlockedLongMidRange,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,3SecondViolations,OffensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
1626169-1626246-1627740-1628379-202397,1610612765,"Stanley Johnson, Boban Marjanovic, Henry Ellenson, Luke Kennard, Ish Smith","Johnson, Marjanovic, Ellenson, Kennard, Smith",1626169-1626246-1627740-1628379-202397,DET,243.0,1,4.0,6.0,8.0,8.0,1.0,16.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,6.0,1.0,2.0,12.0,6.0,1.0,1.0,2.0,6.0,4.0,3.0,3.0,1.0,1.0,1.0,6.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,10.0,0.6,0.6,0.8333333333333334,1.0,0.7142857142857143,1.0,0.75,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,94.81481481481482,15.125,15.25,13.625,15.25,0.2857142857142857,1.0,1.0,0.5,0.2857142857142857,0.5,0.5,1.0,0.2857142857142857,1.0,1.0,0.5,0.14285714285714285,0.42857142857142855,0.5083071428571428,0.431,0.25,0.2857142857142857,0.16666666666666666,8.916666666666666,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-1627740-1628379-204038,1610612765,"Stanley Johnson, Boban Marjanovic, Henry Ellenson, Luke Kennard, Langston Galloway","Johnson, Marjanovic, Ellenson, Kennard, Galloway",1626169-1626246-1627740-1628379-204038,DET,232.0,1,4.0,-3.0,9.0,8.0,,17.0,1.0,1.0,,1.0,,,,1.0,2.0,5.0,,8.0,11.0,,,,,2.0,,2.0,,,,6.0,,1.0,2.0,,2.0,,,,,1.0,3.0,1.0,,,,8.0,,,0.5,,0.5714285714285714,,0.5714285714285714,,0.7142857142857143,,0.5,,0.6666666666666666,,,,0.5,105.51724137931035,14.555555555555555,12.625,14.555555555555555,12.625,0.14285714285714285,1.0,1.0,,0.14285714285714285,,,,,,,,,0.8571428571428571,0.5137214285714286,,,,,4.2,25.18,8.0,2.0,5.0,2.0,6.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.4,0.4,1.0,1.0,0.7142857142857143,0.4,0.4,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-1627740-202397-204038,1610612765,"Stanley Johnson, Boban Marjanovic, Henry Ellenson, Ish Smith, Langston Galloway","Johnson, Marjanovic, Ellenson, Smith, Galloway",1626169-1626246-1627740-202397-204038,DET,195.0,1,3.0,1.0,6.0,6.0,1.0,12.0,1.0,2.0,1.0,1.0,,1.0,,2.0,4.0,1.0,2.0,6.0,5.0,,1.0,,4.0,,2.0,2.0,1.0,1.0,,4.0,1.0,2.0,3.0,1.0,4.0,1.0,,,,,2.0,2.0,3.0,1.0,2.0,6.0,1.0,1.0,0.5,,0.4,,0.5,,0.2,,0.6666666666666666,0.5,0.5,0.3333333333333333,,,0.6666666666666666,88.61538461538461,14.666666666666666,17.833333333333332,14.166666666666666,15.333333333333334,0.4,0.5,0.5,1.0,0.2,1.0,1.0,1.0,0.2,,,,,0.6,0.48927,0.4781,0.3333333333333333,0.4,,8.075,26.1,6.0,,1.0,,,1.0,,,,,,,2.0,,,,,,,,,0.2,,,,,6.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,0.5,0.4,0.5,1.0,1.0,1.0,1.0,0.4,0.5,0.2,0.48927,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-1627740-202779-204038,1610612765,"Stanley Johnson, Boban Marjanovic, Henry Ellenson, Dwight Buycks, Langston Galloway","Johnson, Marjanovic, Ellenson, Buycks, Galloway",1626169-1626246-1627740-202779-204038,DET,295.0,1,5.0,-1.0,10.0,9.0,,19.0,,,,1.0,,2.0,2.0,,3.0,4.0,,6.0,7.0,,,,,,,2.0,,,,6.0,,2.0,4.0,,4.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,,,,6.0,,,,,0.42857142857142855,,0.42857142857142855,,0.5714285714285714,1.0,0.6666666666666666,,0.8,,,,1.0,92.7457627118644,17.6,13.222222222222221,17.6,13.222222222222221,,,,,0.14285714285714285,,,,0.2857142857142857,,,,0.2857142857142857,0.5714285714285714,0.4645357142857143,,,,,14.033333333333333,23.8,4.0,1.0,2.0,2.0,6.0,2.0,1.0,2.0,1.0,2.0,,,,,1.0,,1.0,0.5,0.5,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-1628379-201229-202397,1610612765,"Stanley Johnson, Boban Marjanovic, Luke Kennard, Anthony Tolliver, Ish Smith","Johnson, Marjanovic, Kennard, Tolliver, Smith",1626169-1626246-1628379-201229-202397,DET,929.0,4,15.0,-6.0,30.0,34.0,1.0,64.0,2.0,5.0,3.0,5.0,3.0,6.0,2.0,8.0,16.0,9.0,4.0,26.0,32.0,,,,4.0,12.0,2.0,4.0,2.0,,,10.0,2.0,5.0,11.0,2.0,13.0,4.0,4.0,4.0,3.0,5.0,3.0,6.0,4.0,,2.0,26.0,0.25,0.25,0.5,,0.44,,0.48148148148148145,,0.36,0.8,0.8333333333333334,0.25,0.9090909090909091,0.13333333333333333,,1.0,0.75,99.20344456404737,16.5,12.764705882352942,16.2,12.529411764705882,0.2,0.4,0.6666666666666666,1.0,0.2,0.6,0.6,,0.24,0.5,0.5,,0.08,0.56,0.487138,,0.07407407407407407,0.1111111111111111,,10.03125,25.255555555555556,10.0,2.0,7.0,2.0,6.0,7.0,2.0,2.0,2.0,5.0,1.0,1.0,2.0,,,,1.0,0.2222222222222222,0.2222222222222222,1.0,1.0,0.28,0.2857142857142857,0.2857142857142857,1.0,0.2857142857142857,,,,,,,,,,,1.0,,3.0,3.0,3.0,2.0,,,,,,1.0,0.3333333333333333,0.6666666666666666,,,,,,,,,2.0,,0.125,,1.0,1.0,,,,1.0,1.0,0.4,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-1628379-201229-202704,1610612765,"Stanley Johnson, Boban Marjanovic, Luke Kennard, Anthony Tolliver, Reggie Jackson","Johnson, Marjanovic, Kennard, Tolliver, Jackson",1626169-1626246-1628379-201229-202704,DET,107.0,1,2.0,4.0,5.0,4.0,2.0,9.0,,1.0,,,1.0,2.0,2.0,1.0,3.0,3.0,4.0,6.0,2.0,,1.0,2.0,2.0,,1.0,1.0,,,1.0,2.0,,,,3.0,3.0,2.0,1.0,,,,1.0,2.0,4.0,,1.0,4.0,1.0,1.0,0.3333333333333333,,0.16666666666666666,,0.375,0.3333333333333333,0.5,,,,,0.6,,,,121.12149532710279,10.2,14.0,9.4,12.75,0.16666666666666666,,,,,,,,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5240166666666667,0.4974,0.14285714285714285,0.25,0.3333333333333333,10.4,25.3,4.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,0.16666666666666666,,,,,4.0,1.0,,1.0,1.0,1.0,3.0,3.0,2.0,4.0,,1.0,1.0,,1.0,,4.0,4.0,0.3333333333333333,0.16666666666666666,0.2857142857142857,,,,0.5,0.16666666666666666,,0.16666666666666666,0.5240166666666667,0.6666666666666666,0.8,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-1628379-201229-202779,1610612765,"Stanley Johnson, Boban Marjanovic, Luke Kennard, Anthony Tolliver, Dwight Buycks","Johnson, Marjanovic, Kennard, Tolliver, Buycks",1626169-1626246-1628379-201229-202779,DET,205.0,1,3.0,7.0,6.0,6.0,1.0,12.0,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,4.0,2.0,,10.0,3.0,,,3.0,,4.0,,2.0,,,,6.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,,,1.0,1.0,,,,,7.0,,,0.5,,0.8333333333333334,1.5,0.8333333333333334,1.5,0.3333333333333333,,1.0,0.5,1.0,0.5,1.0,,,84.29268292682927,13.5,20.666666666666668,11.166666666666666,20.666666666666668,0.16666666666666666,1.0,1.0,,0.3333333333333333,0.5,0.5,,0.16666666666666666,,,,0.16666666666666666,0.5,0.5211083333333334,0.5058,,,0.3,9.6,24.5,,1.0,1.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-1628379-202397-202699,1610612765,"Stanley Johnson, Boban Marjanovic, Luke Kennard, Ish Smith, Tobias Harris","Johnson, Marjanovic, Kennard, Smith, Harris",1626169-1626246-1628379-202397-202699,DET,205.0,2,3.0,4.0,8.0,7.0,1.0,15.0,1.0,1.0,,,1.0,3.0,1.0,2.0,4.0,3.0,2.0,6.0,2.0,,,2.0,2.0,2.0,1.0,1.0,1.0,,,2.0,,3.0,4.0,,4.0,1.0,,,,,1.0,2.0,2.0,,1.0,4.0,0.5,0.5,0.5,,0.2857142857142857,,0.375,1.0,0.42857142857142855,,0.75,,0.8,,,,0.5,105.3658536585366,13.0,14.428571428571429,12.0,13.428571428571429,0.14285714285714285,1.0,1.0,1.0,,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,,0.14285714285714285,0.5714285714285714,0.48877857142857145,,0.125,0.2,0.3333333333333333,11.95,24.8,4.0,,2.0,,,2.0,,,,1.0,,,,,,,,,,1.0,,0.2857142857142857,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-1628379-202397-202720,1610612765,"Stanley Johnson, Boban Marjanovic, Luke Kennard, Ish Smith, Jon Leuer","Johnson, Marjanovic, Kennard, Smith, Leuer",1626169-1626246-1628379-202397-202720,DET,24.0,1,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,60.0,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
1626169-1626246-201229-202340-202397,1610612765,"Stanley Johnson, Boban Marjanovic, Anthony Tolliver, Avery Bradley, Ish Smith","Johnson, Marjanovic, Tolliver, Bradley, Smith",1626169-1626246-201229-202340-202397,DET,46.0,1,1.0,,1.0,1.0,,2.0,,,,1.0,,,,,1.0,,2.0,2.0,2.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,1.0,2.0,,1.0,2.0,,,,,,,0.5,,,,,1.0,,1.0,1.0,,,62.60869565217391,29.0,17.0,29.0,17.0,,,,,1.0,,,,,,,,,,0.4139,,0.5,0.5,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2018,2017-18,True
