EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,Fg2aBlocked,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,OffTwoPtRebounds,OffRebounds,BadPassTurnovers,DeadBallTurnovers,SecondChanceTurnovers,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,Arc3FGA,PenaltyArc3FGA,PenaltyFG3A,NonHeaveArc3FGA,Arc3Frequency,PenaltyArc3Frequency,SecondChanceAtRimFGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,FTOffRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,ShootingFouls,Fouls,2pt And 1 Free Throw Trips,DefensiveGoaltends,OffensiveGoaltends,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceTsPct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShortMidRangeFGM,PenaltyCorner3FGA,ShortMidRangeAssists,Offensive Fouls Drawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyCorner3Frequency,SecondChanceAtRimFGM,SecondChanceFG2M,SelfOReb,SecondChanceFg2Pct,SecondChanceEfgPct,OffAtRimReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,Loose Ball Fouls Drawn,BlockedShortMidRange,SecondChanceArc3FGM,SecondChanceFG3M,BlockedAtRim,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonShootingPenaltyNonTakeFouls,Corner3FGM,PenaltyCorner3FGM,PtsUnassisted3s,Corner3Assists,LongMidRangeAssists,Charge Fouls,OffCorner3ReboundPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,FTDefRebounds,DefFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PtsPutbacks,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Technical Free Throw Trips,3SecondViolations,OffLongMidRangeReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LostBallOutOfBoundsTurnovers,HeaveAttempts,Travels,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,SecondChanceAtRimPctAssisted,LongMidRangePctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,BlockedArc3,team_id,year,season,team_vs
1626246-1627737-1628425-1630182-203504,1610612742,"Boban Marjanovic, Marquese Chriss, Sterling Brown, Josh Green, Trey Burke","Marjanovic, Chriss, Brown, Green, Burke",1626246-1627737-1628425-1630182-203504,DAL,296.0,2,5.0,-8.0,11.0,12.0,7.0,4.0,23.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,6.0,1.0,4.0,8.0,16.0,1.0,3.0,4.0,6.0,4.0,3.0,2.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,8.0,6.0,7.0,1.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.4444444444444444,0.6,0.14285714285714285,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.3333333333333333,1.0,0.3333333333333333,1.0,111.89189189189189,14.0,11.833333333333334,14.0,10.583333333333334,0.5714285714285714,0.5,1.0,0.2857142857142857,0.14285714285714285,0.6666666666666666,0.5,0.7142857142857143,0.41679285714285713,0.38876666666666665,0.125,0.14285714285714285,0.75,4.7,23.7,0.6363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1626246-1627737-1630182-202722-203504,1610612742,"Boban Marjanovic, Marquese Chriss, Josh Green, Davis Bertans, Trey Burke","Marjanovic, Chriss, Green, Bertans, Burke",1626246-1627737-1630182-202722-203504,DAL,75.0,1,1.0,-2.0,3.0,2.0,3.0,2.0,5.0,,,,,2.0,,,2.0,,,,2.0,,2.0,,,,,1.0,,1.0,2.0,,,1.0,,2.0,2.0,,,,,,,3.0,,,,,,,,,,,,0.5,,1.0,1.0,,,,1.0,,96.0,20.333333333333332,7.0,16.333333333333332,7.0,,,,1.0,,,,,0.375,0.375,,,,9.4,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1627737-1628373-1628425-1630182-202722,1610612742,"Marquese Chriss, Frank Ntilikina, Sterling Brown, Josh Green, Davis Bertans","Chriss, Ntilikina, Brown, Green, Bertans",1627737-1628373-1628425-1630182-202722,DAL,67.0,1,1.0,-4.0,2.0,3.0,2.0,3.0,5.0,,,,,,,,,1.0,,,4.0,,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,2.0,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,1.0,,,107.46268656716417,18.0,10.333333333333334,18.0,10.333333333333334,,,,,,,,1.0,0.40725,0.40725,,,,,26.9,1.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1627737-1628373-1628425-1630182-203504,1610612742,"Marquese Chriss, Frank Ntilikina, Sterling Brown, Josh Green, Trey Burke","Chriss, Ntilikina, Brown, Green, Burke",1627737-1628373-1628425-1630182-203504,DAL,750.0,4,12.0,-3.0,28.0,28.0,23.0,3.0,56.0,3.0,5.0,3.0,4.0,2.0,1.0,3.0,7.0,14.0,8.0,29.0,32.0,3.0,5.0,8.0,26.0,,1.0,2.0,3.0,5.0,9.0,4.0,2.0,2.0,1.0,4.0,2.0,8.0,13.0,2.0,5.0,26.0,26.0,23.0,4.0,0.42857142857142855,0.6,0.5,0.5294117647058824,0.5370370370370371,0.5652173913043478,0.6666666666666666,0.14285714285714285,0.2,,0.5,0.5,0.6666666666666666,0.5555555555555556,,1.0,1.0,1.0,,107.52,13.321428571428571,13.464285714285714,12.928571428571429,13.142857142857142,0.23809523809523808,0.6,0.75,0.09523809523809523,0.047619047619047616,0.23529411764705882,0.75,0.9047619047619048,0.5423809523809524,0.5454029411764706,0.09090909090909091,0.25,0.896551724137931,3.6714285714285713,25.657142857142855,0.8214285714285714,4.0,1.0,4.0,1.0,2.0,,0.25,0.23076923076923078,0.5,13.0,12.0,12.0,13.0,0.6190476190476191,0.7058823529411765,1.0,5.0,1.0,4.0,5.0,1.0,1.0,3.0,3.0,4.0,6.0,15.0,5.0,3.0,5.0,8.0,5.0,3.0,21.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35714285714285715,0.3333333333333333,0.35714285714285715,0.375,0.3333333333333333,0.2222222222222222,0.25,1.0,0.38461538461538464,0.38461538461538464,1.0,0.5,0.5,0.3333333333333333,0.38461538461538464,0.607775,0.10344827586206896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1627737-1628373-1628973-202722-203915,1610612742,"Marquese Chriss, Frank Ntilikina, Jalen Brunson, Davis Bertans, Spencer Dinwiddie","Chriss, Ntilikina, Brunson, Bertans, Dinwiddie",1627737-1628373-1628973-202722-203915,DAL,87.0,1,1.0,,2.0,2.0,,,4.0,,,,,,,1.0,1.0,1.0,,5.0,5.0,,,,,2.0,,,,,,,,,,,,,,,,5.0,,,,1.0,,1.25,,1.25,,0.5,,,,,,,,,,,,,66.20689655172414,24.5,19.0,24.5,16.5,,,,,,,,0.5,0.374025,,,,,20.1,26.0,,,,,,,,,,,1.0,,,1.0,0.5,,,1.0,,,1.0,,,,,,,3.0,1.0,,1.0,1.0,1.0,,3.0,,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1627737-1628373-1630182-202722-203504,1610612742,"Marquese Chriss, Frank Ntilikina, Josh Green, Davis Bertans, Trey Burke","Chriss, Ntilikina, Green, Bertans, Burke",1627737-1628373-1630182-202722-203504,DAL,59.0,1,1.0,,2.0,1.0,,,3.0,,,,,,,1.0,1.0,,,2.0,2.0,,,,,2.0,,,,,,,,1.0,,1.0,,,,,,2.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,73.22033898305085,20.5,18.0,20.5,18.0,,,,,,,,,0.3809,,,,,19.6,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1627737-1628425-1630182-202722-203504,1610612742,"Marquese Chriss, Sterling Brown, Josh Green, Davis Bertans, Trey Burke","Chriss, Brown, Green, Bertans, Burke",1627737-1628425-1630182-202722-203504,DAL,303.0,1,5.0,3.0,12.0,12.0,7.0,12.0,24.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,6.0,4.0,1.0,11.0,8.0,3.0,4.0,,6.0,6.0,,,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,,2.0,1.0,1.0,,11.0,6.0,7.0,,0.8333333333333334,0.75,0.5,0.42857142857142855,0.55,0.42857142857142855,0.4,,,,1.0,1.0,,1.0,,1.0,1.0,,,114.05940594059406,10.416666666666666,14.833333333333334,10.416666666666666,14.833333333333334,0.1,1.0,1.0,0.4,0.1,0.14285714285714285,1.0,0.5,0.448905,0.45167857142857143,0.1,0.16666666666666666,0.5454545454545454,7.1000000000000005,25.575,0.5833333333333334,,,,,,,,,,3.0,2.0,3.0,3.0,0.3,0.2857142857142857,,,,,,,,,,,4.0,,,2.0,,2.0,,1.0,4.0,,,1.0,,1.0,1.0,1.0,,,0.4,0.4,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,0.1,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.3333333333333333,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1627737-1630182-202722-203504-203915,1610612742,"Marquese Chriss, Josh Green, Davis Bertans, Trey Burke, Spencer Dinwiddie","Chriss, Green, Bertans, Burke, Dinwiddie",1627737-1630182-202722-203504-203915,DAL,170.0,1,3.0,-1.0,6.0,6.0,6.0,1.0,12.0,1.0,2.0,1.0,2.0,3.0,,4.0,5.0,2.0,,8.0,9.0,4.0,5.0,,8.0,8.0,,1.0,1.0,2.0,3.0,,,,,,,,,,,6.0,8.0,6.0,,0.8,0.8,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.2857142857142857,,,,,0.5,1.0,0.6666666666666666,,1.0,,1.0,,101.6470588235294,16.0,12.333333333333334,15.333333333333334,12.333333333333334,0.2857142857142857,0.5,0.5,0.42857142857142855,,0.2857142857142857,0.5,0.5714285714285714,0.5270428571428571,0.5270428571428571,,,1.0,5.9799999999999995,26.2,1.0,1.0,1.0,1.0,,,,1.0,0.3333333333333333,,2.0,2.0,2.0,2.0,0.2857142857142857,0.2857142857142857,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,0.822,0.25,,,,,,3.0,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1627827-1628373-1628467-1628973-1629029,1610612742,"Dorian Finney-Smith, Frank Ntilikina, Maxi Kleber, Jalen Brunson, Luka Doncic","Finney-Smith, Ntilikina, Kleber, Brunson, Doncic",1627827-1628373-1628467-1628973-1629029,DAL,323.0,3,5.0,7.0,11.0,12.0,9.0,5.0,23.0,2.0,2.0,1.0,1.0,,,2.0,2.0,4.0,8.0,18.0,11.0,1.0,1.0,7.0,15.0,,,3.0,3.0,6.0,7.0,2.0,,1.0,1.0,2.0,1.0,6.0,9.0,1.0,4.0,16.0,15.0,9.0,4.0,1.0,1.0,0.8333333333333334,0.8,0.9,0.8333333333333334,0.6666666666666666,,,,0.5,0.75,0.75,0.75,,0.5,1.0,1.0,0.5,102.53869969040247,12.181818181818182,15.75,12.181818181818182,15.75,0.3333333333333333,1.0,1.0,,,0.2,1.0,1.0,0.6116166666666667,0.58458,0.16666666666666666,0.5,0.8333333333333334,0.95,25.575,0.8181818181818182,1.0,,1.0,,1.0,,,0.5,,4.0,4.0,4.0,4.0,0.6666666666666666,0.8,,2.0,,2.0,2.0,,,2.0,2.0,2.0,4.0,6.0,2.0,2.0,2.0,4.0,2.0,2.0,10.0,1.0,,2.0,1.0,2.0,3.0,1.0,,,1.0,1.0,1.0,0.5,0.5,0.5,1.0,,0.5,0.5,1.0,0.5,0.5,1.0,,,0.5,0.5,,0.1111111111111111,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
1627827-1628373-1628467-1628973-203493,1610612742,"Dorian Finney-Smith, Frank Ntilikina, Maxi Kleber, Jalen Brunson, Reggie Bullock","Finney-Smith, Ntilikina, Kleber, Brunson, Bullock",1627827-1628373-1628467-1628973-203493,DAL,163.0,1,3.0,-1.0,4.0,4.0,,,8.0,1.0,1.0,,,,,1.0,1.0,4.0,,5.0,6.0,,,,,,,,,,2.0,1.0,,1.0,1.0,1.0,,,,,,2.0,,,,1.0,,0.5,,0.5,,0.8,,,,1.0,,,,,,,,,70.67484662576686,26.0,14.75,22.75,14.5,0.2,1.0,1.0,,,,,1.0,0.55781,,,,,0.6,26.275,,1.0,,2.0,,,,,0.6666666666666666,,4.0,,,4.0,0.8,,,1.0,1.0,,1.0,,1.0,,3.0,,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,,1.0,,,,,,,1.0,1.0,1.0,0.25,,0.25,1.5,,0.6666666666666666,0.6666666666666666,1.0,0.25,0.25,1.0,,1.0,,0.25,0.3891,0.6,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.5,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,False
