EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyFG2M,PenaltyPoints,AtRimAssists,BadPassSteals,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyPointsPct,DefArc3ReboundPct,LongMidRangeFGM,FtPoints,FTDefRebounds,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,DefFTReboundPct,OffCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,PenaltyFtPoints,Fg2aBlocked,Offensive Fouls,PenaltyFg3Pct,FG2APctBlocked,LongMidRangePctBlocked,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,OffLongMidRangeReboundPct,LongMidRangeAssists,Loose Ball Fouls,ShortMidRangePctBlocked,LongMidRangePctAssisted,AtRimPctBlocked,SecondChanceFtPoints,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefLongMidRangeReboundPct,ThreePtShootingFoulsDrawnPct,Charge Fouls Drawn,Blocked3s,BlockedCorner3,SecondChanceTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,Travels,Charge Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,DefensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,BlockedLongMidRange,BlockedArc3,3pt And 1 Free Throw Trips,Arc3PctBlocked,HeaveAttempts,team_id,year,season,team_vs
1626246-1627737-1628425-1630182-203504,1610612742,"Boban Marjanovic, Marquese Chriss, Sterling Brown, Josh Green, Trey Burke","Marjanovic, Chriss, Brown, Green, Burke",1626246-1627737-1628425-1630182-203504,DAL,296.0,2,5.0,8.0,12.0,11.0,4.0,7.0,4.0,23.0,1.0,3.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,6.0,2.0,3.0,1.0,2.0,8.0,4.0,8.0,16.0,8.0,1.0,2.0,2.0,3.0,8.0,3.0,2.0,2.0,2.0,9.0,3.0,2.0,6.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,11.0,2.0,3.0,1.0,4.0,5.0,5.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,8.0,4.0,1.0,0.5,1.0,0.75,0.5,0.6666666666666666,0.5,0.25,0.5,0.5,0.8,0.5,0.8,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.1,111.89189189189189,1.0,11.833333333333334,14.0,10.583333333333334,14.0,0.1875,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,1.0,0.0625,0.125,0.5,0.5,1.0,0.375,0.5,0.5,0.6666666666666666,0.4,0.5,0.6,0.6666666666666666,1.0,0.4,0.2,0.2,0.6875,0.5,0.487465625,0.5728666666666666,0.58033,0.5,6.6125,25.65,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,True
1626246-1627737-1630182-202722-203504,1610612742,"Boban Marjanovic, Marquese Chriss, Josh Green, Davis Bertans, Trey Burke","Marjanovic, Chriss, Green, Bertans, Burke",1626246-1627737-1630182-202722-203504,DAL,75.0,1,1.0,2.0,2.0,3.0,2.0,3.0,,5.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,2.0,,,,,,,1.0,1.0,2.0,,,,,1.0,,1.0,,1.0,,,,2.0,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,2.0,2.0,,1.0,1.0,,,,,1.0,,0.5,,0.5,,0.5,,0.5,,,,0.5,,,,,,0.5,,,96.0,,7.0,20.333333333333332,7.0,16.333333333333332,0.5,1.0,1.0,,,,,,,,,,0.5,,,,,,,,,0.5,,0.5,1.0,,0.6827,,0.6827,,1.0,25.1,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,True
1627737-1628373-1628425-1630182-202722,1610612742,"Marquese Chriss, Frank Ntilikina, Sterling Brown, Josh Green, Davis Bertans","Chriss, Ntilikina, Brown, Green, Bertans",1627737-1628373-1628425-1630182-202722,DAL,67.0,1,1.0,4.0,3.0,2.0,3.0,2.0,,5.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,2.0,3.0,,,4.0,,,,,,,3.0,,2.0,2.0,,,,,,1.0,,1.0,,,,2.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,4.0,3.0,,0.5,0.5,,,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,,,1.0,,1.0,,,,,,,,,107.46268656716417,,10.333333333333334,18.0,10.333333333333334,18.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,,,,,,,,,0.3333333333333333,,,0.3333333333333333,,0.5125000000000001,,0.5125000000000001,,10.433333333333334,,1.0,1.0,2.0,4.0,1.0,1.0,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,True
1627737-1628373-1628425-1630182-203504,1610612742,"Marquese Chriss, Frank Ntilikina, Sterling Brown, Josh Green, Trey Burke","Chriss, Ntilikina, Brown, Green, Burke",1627737-1628373-1628425-1630182-203504,DAL,750.0,4,12.0,3.0,28.0,28.0,3.0,23.0,4.0,56.0,3.0,6.0,1.0,1.0,,3.0,5.0,2.0,1.0,2.0,,4.0,6.0,2.0,2.0,,7.0,13.0,5.0,8.0,32.0,29.0,1.0,2.0,2.0,2.0,8.0,,,6.0,8.0,12.0,3.0,2.0,6.0,4.0,3.0,4.0,7.0,3.0,1.0,1.0,18.0,1.0,3.0,7.0,3.0,12.0,4.0,16.0,1.0,2.0,1.0,4.0,2.0,8.0,2.0,8.0,1.0,1.0,,1.0,1.0,24.0,3.0,4.0,0.42857142857142855,0.5,0.8,0.625,1.0,0.625,0.5384615384615384,0.5,0.6904761904761905,1.0,0.6666666666666666,1.0,0.38095238095238093,0.5,0.75,0.5,0.7777777777777778,0.3333333333333333,0.7692307692307693,0.4444444444444444,1.0,,,1.0,0.5,1.0,0.1111111111111111,107.52,1.0,13.464285714285714,13.321428571428571,13.142857142857142,12.928571428571429,0.2857142857142857,0.5,0.5,0.23809523809523808,0.6,0.6,0.3333333333333333,0.09523809523809523,0.09523809523809523,0.5,0.5,1.0,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.75,0.25,1.0,0.5,1.0,1.0,,,,0.6666666666666666,0.6666666666666666,0.4912214285714286,0.5480833333333334,,0.25,7.223076923076923,25.4625,0.10714285714285714,,,,2.0,1.0,,,,,0.6666666666666666,,,0.75,1.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,0.6666666666666666,1.0,0.5,0.5,0.125,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,True
1627737-1628373-1628973-202722-203915,1610612742,"Marquese Chriss, Frank Ntilikina, Jalen Brunson, Davis Bertans, Spencer Dinwiddie","Chriss, Ntilikina, Brunson, Bertans, Dinwiddie",1627737-1628373-1628973-202722-203915,DAL,87.0,1,1.0,,2.0,2.0,,,1.0,4.0,,,,,,,,,,,,1.0,2.0,1.0,1.0,,,,1.0,2.0,5.0,5.0,,,1.0,1.0,3.0,,,,,3.0,,,2.0,1.0,,1.0,1.0,1.0,,,3.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,1.0,0.5,1.0,0.5,,,0.75,1.5,0.8333333333333334,1.5,1.0,,,,,1.0,,1.0,,,1.0,,,,,66.20689655172414,,19.0,24.5,16.5,24.5,,,,,,,,,,,,,1.0,0.5,0.5,1.0,,,1.0,1.0,1.0,,,,1.0,0.5,0.3885,,,0.6,,27.35,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,2.0,1.0,,,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,True
1627737-1628373-1630182-202722-203504,1610612742,"Marquese Chriss, Frank Ntilikina, Josh Green, Davis Bertans, Trey Burke","Chriss, Ntilikina, Green, Bertans, Burke",1627737-1628373-1630182-202722-203504,DAL,59.0,1,1.0,,1.0,2.0,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,2.0,2.0,,,,,,,,2.0,,,,,,,1.0,,1.0,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,73.22033898305085,,18.0,20.5,18.0,20.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,0.8044,,,,1.2,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,True
1627737-1628425-1630182-202722-203504,1610612742,"Marquese Chriss, Sterling Brown, Josh Green, Davis Bertans, Trey Burke","Chriss, Brown, Green, Bertans, Burke",1627737-1628425-1630182-202722-203504,DAL,303.0,1,5.0,-3.0,12.0,12.0,12.0,7.0,,24.0,,,,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,4.0,2.0,2.0,8.0,11.0,,,,,,4.0,2.0,,,6.0,,,1.0,1.0,,2.0,2.0,1.0,1.0,,6.0,,,4.0,1.0,5.0,,5.0,,2.0,2.0,3.0,2.0,4.0,1.0,2.0,,,,,,8.0,12.0,,,,1.0,1.0,,1.0,,,0.5,,0.5714285714285714,,0.3333333333333333,0.75,1.0,,1.0,,1.0,,,,,,1.0,1.0,,114.05940594059406,,14.833333333333334,10.416666666666666,14.833333333333334,10.416666666666666,,,,0.16666666666666666,,,,0.5,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,,,,,,,0.16666666666666666,0.16666666666666666,0.3333333333333333,1.0,0.451125,,0.451125,,14.85,24.9,1.0,,,8.0,,,8.0,,0.5,0.5714285714285714,,,1.0,1.0,,2.0,,,1.0,1.0,,4.0,1.0,2.0,1.0,,,,,0.14285714285714285,0.2,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,True
1627737-1630182-202722-203504-203915,1610612742,"Marquese Chriss, Josh Green, Davis Bertans, Trey Burke, Spencer Dinwiddie","Chriss, Green, Bertans, Burke, Dinwiddie",1627737-1630182-202722-203504-203915,DAL,170.0,1,3.0,1.0,6.0,6.0,1.0,6.0,1.0,12.0,1.0,1.0,1.0,1.0,,2.0,3.0,1.0,,,,,1.0,,,,3.0,5.0,,1.0,9.0,8.0,1.0,1.0,,,2.0,,,,6.0,,,2.0,1.0,,,,,,,,,,1.0,2.0,,2.0,1.0,3.0,,,,,,,,,,,,,,7.0,1.0,,,,,,,,0.6,1.0,0.5,1.0,0.6428571428571429,1.0,0.16666666666666666,,,0.5,1.0,,0.6666666666666666,0.3333333333333333,,,,,,,,101.6470588235294,,12.333333333333334,16.0,12.333333333333334,15.333333333333334,0.16666666666666666,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,,0.16666666666666666,,,,,0.16666666666666666,,,,1.0,1.0,,,,,,,0.3333333333333333,,0.4585166666666667,0.6012,,0.2222222222222222,7.68,24.2,0.16666666666666666,,,2.0,,,2.0,,,1.0,,,0.2222222222222222,1.0,,3.0,,,,,,,2.0,3.0,1.0,,,,,0.16666666666666666,0.2,,,,2.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,True
1627827-1628373-1628467-1628973-1629029,1610612742,"Dorian Finney-Smith, Frank Ntilikina, Maxi Kleber, Jalen Brunson, Luka Doncic","Finney-Smith, Ntilikina, Kleber, Brunson, Doncic",1627827-1628373-1628467-1628973-1629029,DAL,323.0,3,5.0,-7.0,12.0,11.0,5.0,9.0,2.0,23.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,,2.0,1.0,,2.0,,,1.0,4.0,8.0,,4.0,11.0,18.0,2.0,2.0,,,4.0,3.0,2.0,4.0,4.0,,,4.0,2.0,,2.0,,2.0,,,1.0,4.0,1.0,1.0,1.0,,1.0,2.0,3.0,,1.0,1.0,2.0,,2.0,1.0,6.0,,,,,,7.0,5.0,4.0,0.5,1.0,,,,,0.5,1.0,0.3333333333333333,1.0,0.4230769230769231,1.0,0.3333333333333333,1.0,,0.25,0.5,0.25,0.5,0.25,,0.5,,,,,,102.53869969040247,,15.75,12.181818181818182,15.75,12.181818181818182,0.16666666666666666,1.0,1.0,0.25,0.3333333333333333,0.5,1.0,0.25,0.16666666666666666,,,,0.16666666666666666,,,,1.0,1.0,,,,0.2,0.2,0.2,0.5,,0.500625,0.6835,0.53433,0.36363636363636365,9.0625,24.2,0.4166666666666667,1.0,2.0,4.0,,,4.0,0.6666666666666666,0.4,0.4,,1.0,0.36363636363636365,0.5,1.0,3.0,,,2.0,,,2.0,3.0,3.0,2.0,,0.5,0.3333333333333333,0.3333333333333333,0.15384615384615385,0.2222222222222222,,,,,1.0,,,0.125,,,,1.0,,,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,True
1627827-1628373-1628467-1628973-203493,1610612742,"Dorian Finney-Smith, Frank Ntilikina, Maxi Kleber, Jalen Brunson, Reggie Bullock","Finney-Smith, Ntilikina, Kleber, Brunson, Bullock",1627827-1628373-1628467-1628973-203493,DAL,163.0,1,3.0,1.0,4.0,4.0,,,1.0,8.0,3.0,4.0,1.0,1.0,,,,,,,,,,,,,3.0,4.0,,,6.0,5.0,1.0,1.0,,,2.0,,,2.0,4.0,,,2.0,,,1.0,,1.0,,,,2.0,,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,,1.0,,,,,,,,4.0,,,0.3333333333333333,0.5,,,,,0.75,1.0,0.75,1.0,0.75,1.0,,1.0,,1.0,0.3333333333333333,,0.3333333333333333,1.0,1.0,,,,,,,70.67484662576686,,14.75,26.0,14.5,22.75,1.0,0.75,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,0.778325,0.8025,,0.3333333333333333,0.825,,,,,,1.0,,,,,,0.3333333333333333,,,0.3333333333333333,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,0.25,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2022,2021-22,True
