EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,Technical Free Throw Trips,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefTwoPtRebounds,DeadBallTurnovers,StepOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,DefTwoPtReboundPct,DefAtRimReboundPct,LongMidRangeFGA,Fg2aBlocked,BadPassTurnovers,FoulsDrawn,TwoPtShootingFoulsDrawn,FG2APctBlocked,LongMidRangePctBlocked,LongMidRangeFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGM,LongMidRangeFGM,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,FTDefRebounds,LostBallSteals,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefFTReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Charge Fouls,Corner3FGA,PenaltyCorner3FGA,OffThreePtRebounds,Travels,OffThreePtReboundPct,OffCorner3ReboundPct,Corner3Frequency,PenaltyCorner3Frequency,HeaveAttempts,OffArc3ReboundPct,SecondChanceFtPoints,Offensive Fouls Drawn,DefLongMidRangeReboundPct,BadPassOutOfBoundsTurnovers,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3M,Corner3Assists,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,ShortMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,Offensive Fouls,2pt And 1 Free Throw Trips,AtRimPctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,BlockedCorner3,OffensiveGoaltends,FTOffRebounds,OffFTReboundPct,team_id,year,season,team_vs
1626195-1630230-1630530-1630631-202066,1610612740,"Willy Hernangomez, Naji Marshall, Trey Murphy III, Jose Alvarado, Garrett Temple","Hernangomez, Marshall, Murphy III, Alvarado, Temple",1626195-1630230-1630530-1630631-202066,NOP,115.0,1,2.0,-2.0,6.0,6.0,6.0,6.0,1.0,12.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,7.0,9.0,1.0,2.0,2.0,3.0,5.0,1.0,1.0,7.0,6.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,6.0,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.16666666666666666,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,150.26086956521738,11.333333333333334,7.833333333333333,9.666666666666666,6.833333333333333,0.6666666666666666,0.75,0.75,0.16666666666666666,0.16666666666666666,1.0,0.5,0.6666666666666666,0.75,0.16666666666666666,0.8333333333333334,0.5880833333333334,0.6442,0.5880833333333334,0.2857142857142857,1.0,1.9600000000000002,26.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2022,2021-22,False
1626204-1627742-1628984-1629637-1630529,1610612740,"Larry Nance Jr., Brandon Ingram, Devonte' Graham, Jaxson Hayes, Herbert Jones","Nance Jr., Ingram, Graham, Hayes, Jones",1626204-1627742-1628984-1629637-1630529,NOP,49.0,1,1.0,-2.0,2.0,2.0,2.0,2.0,,4.0,,,,,,,,1.0,1.0,,,1.0,,,2.0,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,1.0,,,,,2.0,,,,,,,,,,1.0,,,,0.5,,,,,,117.55102040816327,5.5,19.0,5.5,17.5,,,,,1.0,,,,,1.0,1.0,0.29205,,0.29205,,,,26.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2022,2021-22,False
1626204-1627742-1628984-1629637-1630530,1610612740,"Larry Nance Jr., Brandon Ingram, Devonte' Graham, Jaxson Hayes, Trey Murphy III","Nance Jr., Ingram, Graham, Hayes, Murphy III",1626204-1627742-1628984-1629637-1630530,NOP,92.0,1,2.0,-3.0,3.0,2.0,3.0,2.0,,5.0,,,,,,,,,,,1.0,,2.0,2.0,5.0,,,,,1.0,,2.0,2.0,,,,,,,,,,,,1.0,,1.0,1.0,,,2.0,,2.0,2.0,3.0,,,,,,,0.5,,0.5,,1.0,,,,,,,,,78.26086956521739,23.666666666666668,10.5,23.666666666666668,10.5,,,,,,,,,,,,0.3134,,0.3134,,1.0,20.3,,1.0,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2022,2021-22,False
1626204-1627742-1628984-1630230-1630530,1610612740,"Larry Nance Jr., Brandon Ingram, Devonte' Graham, Naji Marshall, Trey Murphy III","Nance Jr., Ingram, Graham, Marshall, Murphy III",1626204-1627742-1628984-1630230-1630530,NOP,919.0,5,15.0,5.0,29.0,32.0,29.0,23.0,3.0,61.0,6.0,6.0,1.0,1.0,6.0,6.0,7.0,6.0,6.0,11.0,18.0,6.0,8.0,36.0,31.0,2.0,2.0,4.0,11.0,18.0,6.0,8.0,36.0,10.0,2.0,6.0,3.0,5.0,12.0,3.0,15.0,,3.0,2.0,4.0,1.0,5.0,5.0,3.0,8.0,10.0,,32.0,36.0,29.0,0.6111111111111112,1.0,0.6111111111111112,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.6206896551724138,0.6666666666666666,0.6206896551724138,0.25,0.8,0.5,0.625,0.5882352941176471,0.3333333333333333,,0.4,0.6666666666666666,,95.58215451577802,14.379310344827585,15.6875,14.275862068965518,14.65625,0.25,1.0,1.0,0.2916666666666667,0.25,0.3333333333333333,1.0,0.25,1.0,0.25,0.5,0.4788833333333333,0.5208833333333334,0.4788833333333333,0.1111111111111111,1.0,8.383333333333333,26.5,1.0,5.0,1.0,,2.0,0.5555555555555556,0.5,5.0,1.0,3.0,6.0,2.0,0.05555555555555555,0.2,0.20833333333333334,0.07692307692307693,0.1,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,12.0,3.0,3.0,2.0,6.0,1.0,7.0,1.0,4.0,1.0,1.0,15.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,0.5454545454545454,0.6,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6,0.6,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.5,0.6,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2022,2021-22,False
1626204-1627742-1628984-1630529-1630530,1610612740,"Larry Nance Jr., Brandon Ingram, Devonte' Graham, Herbert Jones, Trey Murphy III","Nance Jr., Ingram, Graham, Jones, Murphy III",1626204-1627742-1628984-1630529-1630530,NOP,261.0,3,4.0,2.0,8.0,7.0,8.0,,1.0,15.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,6.0,1.0,2.0,10.0,8.0,1.0,1.0,2.0,4.0,6.0,1.0,2.0,10.0,6.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,,,,,1.0,1.0,1.0,3.0,2.0,,8.0,10.0,8.0,0.6666666666666666,1.0,0.6666666666666666,0.5714285714285714,1.0,0.5714285714285714,0.625,1.0,0.625,0.14285714285714285,,0.5,1.0,1.0,0.3333333333333333,,0.5,,0.3333333333333333,82.75862068965517,16.125,18.857142857142858,16.0,18.857142857142858,0.2857142857142857,1.0,1.0,0.42857142857142855,0.14285714285714285,1.0,1.0,0.2857142857142857,1.0,0.14285714285714285,0.42857142857142855,0.45,0.4679,0.45,0.2,1.0,7.75,26.3,1.0,,1.0,,,,,1.0,,,1.0,,,,0.14285714285714285,,,1.0,1.0,,,,,,,2.0,,,,1.0,,1.0,,1.0,,,2.0,,,,,,1.0,,,,,,,,1.0,0.25,0.3333333333333333,,,,,,,,1.0,,0.5,0.3333333333333333,0.3333333333333333,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2022,2021-22,False
1626204-1627742-1628984-1630529-203468,1610612740,"Larry Nance Jr., Brandon Ingram, Devonte' Graham, Herbert Jones, CJ McCollum","Nance Jr., Ingram, Graham, Jones, McCollum",1626204-1627742-1628984-1630529-203468,NOP,148.0,1,2.0,-6.0,5.0,4.0,5.0,4.0,1.0,9.0,,,,,,,,,,1.0,1.0,2.0,,2.0,8.0,,,,1.0,1.0,2.0,,2.0,2.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,2.0,2.0,5.0,1.0,,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.6666666666666666,,,,,0.5,,,,,87.56756756756756,17.2,15.5,16.8,15.5,,,,,,,,,,,0.6666666666666666,0.48606666666666665,,0.48606666666666665,,1.0,14.1,23.35,1.0,,1.0,,1.0,,,1.0,,,,,,,0.3333333333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,2.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2022,2021-22,False
1626204-1627742-1628984-1630530-1630631,1610612740,"Larry Nance Jr., Brandon Ingram, Devonte' Graham, Trey Murphy III, Jose Alvarado","Nance Jr., Ingram, Graham, Murphy III, Alvarado",1626204-1627742-1628984-1630530-1630631,NOP,104.0,1,2.0,-1.0,3.0,4.0,,4.0,1.0,7.0,,1.0,,1.0,,,,4.0,,,1.0,4.0,,3.0,4.0,,1.0,,,,,,,,,3.0,,1.0,2.0,1.0,3.0,,,,,,,,,1.0,,,3.0,,,,,,0.3,,,0.3,,,0.8,,,1.0,1.0,0.3333333333333333,,,,,96.92307692307692,23.333333333333332,8.5,22.666666666666668,8.5,0.2,,,,0.8,1.0,,,,,1.0,0.542825,,,,,,32.925,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,3.0,,1.0,,1.0,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,1.0,0.25,,0.3333333333333333,,,1.0,1.0,,,,,,,,,0.25,0.25,1.0,,,0.3333333333333333,,,,1.0,,0.5,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2022,2021-22,False
1626204-1627742-1628984-1630530-202685,1610612740,"Larry Nance Jr., Brandon Ingram, Devonte' Graham, Trey Murphy III, Jonas Valanciunas","Nance Jr., Ingram, Graham, Murphy III, Valanciunas",1626204-1627742-1628984-1630530-202685,NOP,593.0,2,10.0,5.0,17.0,18.0,13.0,10.0,4.0,35.0,3.0,3.0,1.0,1.0,3.0,3.0,5.0,3.0,2.0,8.0,12.0,4.0,7.0,26.0,21.0,2.0,3.0,8.0,7.0,11.0,3.0,6.0,23.0,8.0,2.0,3.0,3.0,3.0,7.0,5.0,12.0,1.0,,,2.0,1.0,2.0,,1.0,2.0,8.0,,18.0,23.0,13.0,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.59375,0.6666666666666666,0.6071428571428571,0.65,0.8,0.6764705882352942,0.25,1.0,1.0,0.75,0.6666666666666666,0.8333333333333334,,1.0,,0.16666666666666666,84.99156829679596,18.235294117647058,15.722222222222221,16.58823529411765,15.444444444444445,0.1875,1.0,1.0,0.3125,0.1875,0.3333333333333333,1.0,0.21428571428571427,1.0,0.14285714285714285,0.4375,0.453625,0.5533,0.4500357142857143,0.3076923076923077,0.8846153846153846,9.983333333333333,25.175,0.7647058823529411,3.0,,,,0.6,,4.0,,1.0,7.0,1.0,,,0.25,0.058823529411764705,0.07692307692307693,3.0,2.0,1.0,,1.0,1.0,,1.0,8.0,,3.0,1.0,4.0,,4.0,,1.0,2.0,1.0,8.0,1.0,,,,1.0,3.0,,,,,,,,3.0,0.5,0.5714285714285714,,0.25,0.3333333333333333,0.25,1.0,1.0,0.75,0.75,,0.3333333333333333,0.6,0.6,0.6666666666666666,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,,,0.5,0.3333333333333333,,1.0,1.0,2.0,,0.6666666666666666,,0.0625,0.07142857142857142,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2022,2021-22,False
1626204-1627742-1629637-1630230-1630529,1610612740,"Larry Nance Jr., Brandon Ingram, Jaxson Hayes, Naji Marshall, Herbert Jones","Nance Jr., Ingram, Hayes, Marshall, Jones",1626204-1627742-1629637-1630230-1630529,NOP,15.0,1,,-2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2022,2021-22,False
1626204-1627742-1629637-1630529-203468,1610612740,"Larry Nance Jr., Brandon Ingram, Jaxson Hayes, Herbert Jones, CJ McCollum","Nance Jr., Ingram, Hayes, Jones, McCollum",1626204-1627742-1629637-1630529-203468,NOP,58.0,1,1.0,2.0,2.0,1.0,,,,3.0,1.0,1.0,,,,,,,,1.0,1.0,,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,74.48275862068965,17.0,24.0,17.0,24.0,1.0,1.0,1.0,,,,,,,,1.0,0.5863,,,,,2.1,,,,,,,,,,,,1.0,1.0,,,,0.5,0.5,,,,,,,,,2.0,,,,1.0,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2022,2021-22,False
