EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsUnassisted2s,Fg2aBlocked,Fouls,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,AtRimPctBlocked,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGA,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,FG3A,SecondChanceFG2A,SecondChanceFG3A,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Assisted2sPct,NonPutbacksAssisted2sPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,Avg3ptShotDistance,ShortMidRangeFGA,DefThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,ShootingFouls,LiveBallTurnoverPct,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,Corner3FGM,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,LostBallSteals,Offensive Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Loose Ball Fouls,ShortMidRangeFGM,ShortMidRangeAssists,BadPassTurnovers,DefAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyDefPoss,LongMidRangeAssists,LongMidRangePctAssisted,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,BadPassOutOfBoundsTurnovers,OffensiveGoaltends,DefShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyOffPoss,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,FTDefRebounds,DefFTReboundPct,OffLongMidRangeReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Loose Ball Fouls Drawn,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,LongMidRangePctBlocked,DefensiveGoaltends,ShortMidRangePctBlocked,PenaltyCorner3FGA,PenaltyCorner3Frequency,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,BlocksRecoveredPct,SecondChanceFtPoints,Charge Fouls,Blocked3s,BlockedArc3,BlockedLongMidRange,SecondChanceCorner3FGA,PtsUnassisted3s,PenaltyTurnovers,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,OffShortMidRangeReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,HeaveAttempts,LostBallOutOfBoundsTurnovers,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1627884-1627936-1629632-201942-202684,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, DeMar DeRozan, Tristan Thompson","Jones Jr., Caruso, White, DeRozan, Thompson",1627884-1627936-1629632-201942-202684,CHI,66.0,1,1.0,-4.0,2.0,2,4,1.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,0.5,1.0,87.27272727272727,17.5,15.5,17.5,15.5,0.5,0.5,1.0,1.0,0.5,0.53135,9.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,False
1627884-1627936-1629632-201942-202696,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, DeMar DeRozan, Nikola Vucevic","Jones Jr., Caruso, White, DeRozan, Vucevic",1627884-1627936-1629632-201942-202696,CHI,237.0,1,4.0,2.0,8.0,8,16,5.0,,1.0,2.0,6.0,4.0,2.0,2.0,,1.0,4.0,0.3333333333333333,0.18181818181818182,0.18181818181818182,,,97.21518987341771,15.25,14.375,13.25,12.875,0.45454545454545453,0.09090909090909091,,,0.9090909090909091,0.5729636363636363,4.533333333333333,2.0,2.0,3.0,1.0,4.0,1.0,5.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,5.0,8.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.45454545454545453,1.0,0.75,0.4,0.75,0.5555555555555556,1.0,0.5,1.0,0.2222222222222222,0.4,0.4,0.5,0.09090909090909091,0.36363636363636365,0.75,0.25,0.5742833333333334,25.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,False
1627884-1627936-1629632-202684-203897,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, Tristan Thompson, Zach LaVine","Jones Jr., Caruso, White, Thompson, LaVine",1627884-1627936-1629632-202684-203897,CHI,82.0,1,1.0,-1.0,3.0,4,7,,,,,1.0,,1.0,,,1.0,,,,,,,122.92682926829268,14.333333333333334,9.75,14.333333333333334,9.5,,,,,0.5,0.4605,13.7,,,,,1.0,,1.0,,,,1.0,,,,,,,,2.0,,2.0,,,,,,1.0,,,,,,,0.5,,,,0.6666666666666666,,,,,,,,,,0.5,,,,29.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,False
1627884-1627936-1629632-202696-203897,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, Nikola Vucevic, Zach LaVine","Jones Jr., Caruso, White, Vucevic, LaVine",1627884-1627936-1629632-202696-203897,CHI,63.0,1,1.0,3.0,2.0,2,4,,,,,,3.0,,,,,3.0,,0.75,0.75,,,91.42857142857143,21.5,10.0,21.5,10.0,,,,,1.0,0.537075,,,,,1.0,1.0,,2.0,,,,1.0,,1.0,,3.0,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,0.5,0.5,,,,25.15,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,False
1627884-1627936-1629750-201942-203897,1610612741,"Derrick Jones Jr., Alex Caruso, Javonte Green, DeMar DeRozan, Zach LaVine","Jones Jr., Caruso, Green, DeRozan, LaVine",1627884-1627936-1629750-201942-203897,CHI,117.0,1,2.0,2.0,4.0,3,7,,2.0,2.0,2.0,2.0,4.0,2.0,4.0,,2.0,4.0,1.0,0.6666666666666666,0.6666666666666666,,,86.15384615384616,10.0,25.666666666666668,10.0,20.666666666666668,,0.6666666666666666,1.0,1.0,0.3333333333333333,0.45121666666666665,18.6,,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,,1.0,,,,0.3333333333333333,,,,0.25,,,,,,,,,,0.3333333333333333,,,,26.5,,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,False
1627884-1627936-1630245-201942-202696,1610612741,"Derrick Jones Jr., Alex Caruso, Ayo Dosunmu, DeMar DeRozan, Nikola Vucevic","Jones Jr., Caruso, Dosunmu, DeRozan, Vucevic",1627884-1627936-1630245-201942-202696,CHI,171.0,1,3.0,-5.0,6.0,6,12,2.0,,1.0,2.0,4.0,4.0,9.0,,1.0,1.0,4.0,0.5,0.3333333333333333,0.3333333333333333,0.25,0.5,101.05263157894737,18.5,10.0,17.333333333333332,10.0,0.3333333333333333,0.16666666666666666,,,0.6666666666666666,0.5151833333333333,6.225,1.0,1.0,,1.0,1.0,,2.0,1.0,,4.0,1.0,2.0,2.0,1.0,4.0,,1.0,1.0,2.0,1.0,3.0,,,,,,1.0,,,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,,1.0,0.25,1.0,,,,0.5,1.0,1.0,0.16666666666666666,0.16666666666666666,,,0.3748,24.4,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.16666666666666666,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,False
1627884-1627936-1630245-202696-203897,1610612741,"Derrick Jones Jr., Alex Caruso, Ayo Dosunmu, Nikola Vucevic, Zach LaVine","Jones Jr., Caruso, Dosunmu, Vucevic, LaVine",1627884-1627936-1630245-202696-203897,CHI,191.0,1,3.0,5.0,6.0,7,13,1.0,1.0,2.0,5.0,6.0,10.0,5.0,,,,10.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,,,98.01047120418849,16.666666666666668,13.0,16.666666666666668,13.0,0.16666666666666666,0.3333333333333333,0.5,0.5,0.16666666666666666,0.42429999999999995,10.9,,1.0,,,,,,,,10.0,,5.0,5.0,1.0,10.0,,,,2.0,,2.0,,2.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,3.0,2.0,,,,,1.0,1.0,,0.5,,,,,,1.0,,,,,,,,,3.0,3.0,,,1.0,1.0,1.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,False
1627884-1627936-201942-202696-203897,1610612741,"Derrick Jones Jr., Alex Caruso, DeMar DeRozan, Nikola Vucevic, Zach LaVine","Jones Jr., Caruso, DeRozan, Vucevic, LaVine",1627884-1627936-201942-202696-203897,CHI,339.0,2,6.0,2.0,12.0,10,22,1.0,2.0,2.0,3.0,4.0,12.0,10.0,,,2.0,12.0,0.75,0.6666666666666666,0.6666666666666666,,,93.45132743362831,15.583333333333334,15.2,15.583333333333334,15.2,0.1111111111111111,0.2222222222222222,1.0,1.0,0.6666666666666666,0.5207333333333334,11.575,,,,3.0,2.0,,5.0,,,6.0,2.0,3.0,5.0,,12.0,,,2.0,5.0,,5.0,,,,3.0,1.0,3.0,,,2.0,1.0,1.0,1.0,0.5555555555555556,0.6666666666666666,,,0.8333333333333334,,,,,,,,,0.3333333333333333,0.2222222222222222,,,,24.04,1.0,3.0,,,,,1.0,1.0,1.0,0.1111111111111111,1.0,2.0,6.0,2.0,1.0,,,1.0,0.4,0.4,0.3333333333333333,0.3333333333333333,1.0,,1.0,1.0,,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,False
1627884-1628396-1628972-1629632-1630172,1610612741,"Derrick Jones Jr., Tony Bradley, Troy Brown Jr., Coby White, Patrick Williams","Jones Jr., Bradley, Brown Jr., White, Williams",1627884-1628396-1628972-1629632-1630172,CHI,100.0,1,2.0,5.0,4.0,4,8,1.0,,1.0,2.0,3.0,5.0,,2.0,,,3.0,0.6666666666666666,0.5,0.5,,,115.19999999999999,8.5,16.5,8.25,16.5,0.25,0.25,,,0.5,0.4562125,10.200000000000001,1.0,1.0,1.0,,1.0,,1.0,1.0,,2.0,1.0,1.0,1.0,,2.0,1.0,,2.0,3.0,1.0,4.0,,,,,,,,,1.0,,0.5,1.0,0.25,1.0,,1.0,1.0,0.5,,1.0,1.0,,1.0,1.0,,,0.25,1.0,,,27.3,1.0,1.0,,,,,1.0,,1.0,0.25,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,4.0,,,,,,,,1.0,,,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0,2.0,1.0,5.0,4.0,1.0,0.6666666666666666,1.0,0.5,1.0,0.5,1.0,0.25,1.0,0.25,0.4562125,0.4,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,False
1627884-1628396-1628972-1629750-1630245,1610612741,"Derrick Jones Jr., Tony Bradley, Troy Brown Jr., Javonte Green, Ayo Dosunmu","Jones Jr., Bradley, Brown Jr., Green, Dosunmu",1627884-1628396-1628972-1629750-1630245,CHI,148.0,1,2.0,2.0,5.0,5,10,3.0,,1.0,4.0,5.0,8.0,6.0,6.0,,1.0,6.0,0.8,0.6666666666666666,0.6666666666666666,,,97.29729729729729,12.8,16.8,12.2,16.8,0.5,0.16666666666666666,,,0.6666666666666666,0.6123833333333334,7.5200000000000005,1.0,3.0,1.0,,1.0,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,2.0,1.0,3.0,,,,,,,,,,,0.25,0.25,0.16666666666666666,,,1.0,0.5,0.5,,1.0,,,1.0,1.0,0.3333333333333333,,0.16666666666666666,1.0,,,26.2,1.0,1.0,,,1.0,,1.0,1.0,,0.16666666666666666,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,5.0,1.0,3.0,3.0,1.0,,1.0,2.0,4.0,5.0,1.0,,8.0,,,,8.0,5.0,1.0,0.8,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,1.0,0.16666666666666666,0.6123833333333334,0.25,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,False
