EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsUnassisted2s,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGA,FtPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,DefThreePtRebounds,Steals,LostBallSteals,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTDefRebounds,OffRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,Fg2aBlocked,OffThreePtRebounds,SelfOReb,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,PenaltyTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg3Pct,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceArc3Accuracy,LiveBallTurnovers,LostBallTurnovers,Loose Ball Fouls,LiveBallTurnoverPct,BadPassTurnovers,OffCorner3ReboundPct,SecondChanceArc3PctAssisted,Loose Ball Fouls Drawn,Technical Free Throw Trips,LongMidRangeAssists,LongMidRangePctAssisted,PenaltyCorner3FGM,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Charge Fouls,Blocked3s,BlockedCorner3,AtRimPctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Offensive Fouls,BlockedShortMidRange,HeaveAttempts,StepOutOfBoundsTurnovers,Travels,BlockedArc3,team_id,year,season,team_vs
1626153-1627789-1628381-1628989-1629631,1610612737,"Delon Wright, Timothe Luwawu-Cabarrot, John Collins, Kevin Huerter, De'Andre Hunter","Wright, Luwawu-Cabarrot, Collins, Huerter, Hunter",1626153-1627789-1628381-1628989-1629631,ATL,83.0,1,1.0,-2.0,3.0,3.0,6,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,104.09638554216868,16.333333333333332,11.333333333333334,16.333333333333332,11.333333333333334,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5357166666666667,8.85,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
1626153-1627789-1628381-1629027-201568,1610612737,"Delon Wright, Timothe Luwawu-Cabarrot, John Collins, Trae Young, Danilo Gallinari","Wright, Luwawu-Cabarrot, Collins, Young, Gallinari",1626153-1627789-1628381-1629027-201568,ATL,138.0,1,2.0,,4.0,5.0,9,,,1.0,,,2.0,,4.0,4.0,,,,1.0,1.0,4.0,,,0.5,,,1.0,,93.91304347826087,15.0,15.6,15.0,15.6,,,,0.5,,,0.3875,13.1,,4.0,5.0,1.0,4.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,0.5,1.0,1.0,0.5,0.3875,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
1626153-1627789-1628381-1629631-203991,1610612737,"Delon Wright, Timothe Luwawu-Cabarrot, John Collins, De'Andre Hunter, Clint Capela","Wright, Luwawu-Cabarrot, Collins, Hunter, Capela",1626153-1627789-1628381-1629631-203991,ATL,3.0,1,,,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,480.0,3.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
1626153-1627789-1628381-1629631-203992,1610612737,"Delon Wright, Timothe Luwawu-Cabarrot, John Collins, De'Andre Hunter, Bogdan Bogdanovic","Wright, Luwawu-Cabarrot, Collins, Hunter, Bogdanovic",1626153-1627789-1628381-1629631-203992,ATL,423.0,1,7.0,3.0,14.0,14.0,28,1.0,4.0,1.0,4.0,3.0,7.0,5.0,20.0,17.0,2.0,4.0,1.0,5.0,6.0,20.0,0.42857142857142855,0.75,0.7692307692307693,0.4166666666666667,1.0,1.0,,95.31914893617021,15.428571428571429,14.785714285714286,15.285714285714286,14.785714285714286,0.3333333333333333,0.25,0.25,0.08333333333333333,0.3333333333333333,0.75,0.5258208333333333,6.557142857142857,25.580000000000002,6.0,2.0,2.0,2.0,4.0,,7.0,3.0,1.0,,5.0,5.0,4.0,2.0,,7.0,6.0,1.0,,0.5833333333333334,1.0,1.0,0.16666666666666666,0.5290750000000001,0.23076923076923078,0.25,0.35,0.42857142857142855,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,12.0,4.0,2.0,4.0,6.0,4.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5,0.8,0.5,0.5833333333333334,1.0,0.25,0.25,0.3333333333333333,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
1626153-1627789-1628989-1629631-1630168,1610612737,"Delon Wright, Timothe Luwawu-Cabarrot, Kevin Huerter, De'Andre Hunter, Onyeka Okongwu","Wright, Luwawu-Cabarrot, Huerter, Hunter, Okongwu",1626153-1627789-1628989-1629631-1630168,ATL,26.0,1,,-2.0,1.0,1.0,2,,,,,,,1.0,,2.0,,,,,,,,,,1.0,,,,110.76923076923076,24.0,2.0,24.0,2.0,,,,,,1.0,0.54765,,24.1,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,0.54765,,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
1626153-1627789-1628989-1629631-203476,1610612737,"Delon Wright, Timothe Luwawu-Cabarrot, Kevin Huerter, De'Andre Hunter, Gorgui Dieng","Wright, Luwawu-Cabarrot, Huerter, Hunter, Dieng",1626153-1627789-1628989-1629631-203476,ATL,70.0,1,1.0,3.0,2.0,2.0,4,,,,,1.0,1.0,1.0,5.0,2.0,2.0,,,1.0,1.0,5.0,1.0,1.25,1.25,0.5,,1.0,,82.28571428571428,16.5,18.5,16.5,18.5,,,,,,0.5,0.470975,13.9,22.8,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,0.5,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,3.0,,,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,,0.5,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
1626153-1627789-1629027-1630168-201568,1610612737,"Delon Wright, Timothe Luwawu-Cabarrot, Trae Young, Onyeka Okongwu, Danilo Gallinari","Wright, Luwawu-Cabarrot, Young, Okongwu, Gallinari",1626153-1627789-1629027-1630168-201568,ATL,31.0,1,1.0,3.0,1.0,1.0,2,,,,,1.0,1.0,,3.0,,,,,,,3.0,1.0,1.0,1.5,,,,,92.9032258064516,23.0,8.0,23.0,8.0,,,,,,,0.3139,4.8,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,,1.0,1.0,1.0,,3.0,1.0,,,1.5,,,1.0,0.3139,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,1.0,,,2.0,,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
1626153-1628381-1628989-1629027-1629631,1610612737,"Delon Wright, John Collins, Kevin Huerter, Trae Young, De'Andre Hunter","Wright, Collins, Huerter, Young, Hunter",1626153-1628381-1628989-1629027-1629631,ATL,220.0,2,4.0,3.0,6.0,6.0,12,3.0,4.0,,3.0,4.0,7.0,3.0,10.0,7.0,4.0,3.0,,1.0,6.0,2.0,0.5714285714285714,0.4,0.5,0.3,,1.0,,78.54545454545455,17.833333333333332,18.833333333333332,15.333333333333334,18.833333333333332,0.4,0.75,0.75,,0.3,0.7,0.58934,4.042857142857143,25.833333333333332,,1.0,3.0,2.0,,,,1.0,2.0,1.0,3.0,2.0,2.0,2.0,,,,,,,1.0,1.0,0.3,,0.2,0.2857142857142857,,,3.0,,,1.0,,,,,,,,,,,4.0,,,2.0,,2.0,,2.0,,4.0,3.0,,5.0,1.0,1.0,1.0,1.0,,1.0,,2.0,,,0.5,1.0,,,,,,,,1.0,0.8333333333333334,1.0,,,0.6666666666666666,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,3.0,4.0,1.0,2.0,8.0,4.0,1.0,2.0,1.0,0.75,0.6,0.8,0.14285714285714285,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.2,0.6,0.6666666666666666,0.5,0.2,0.5182666666666667,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
1626153-1628381-1628989-1629027-1630168,1610612737,"Delon Wright, John Collins, Kevin Huerter, Trae Young, Onyeka Okongwu","Wright, Collins, Huerter, Young, Okongwu",1626153-1628381-1628989-1629027-1630168,ATL,116.0,1,2.0,7.0,5.0,4.0,9,1.0,1.0,,1.0,1.0,1.0,2.0,7.0,,,1.0,2.0,2.0,2.0,4.0,1.0,0.8333333333333334,0.875,0.6666666666666666,1.0,1.0,,111.72413793103448,10.8,15.5,8.8,15.5,0.3333333333333333,1.0,1.0,,0.3333333333333333,1.0,0.6339,1.7,24.8,3.0,,,2.0,1.0,,2.0,,1.0,1.0,,1.0,2.0,1.0,,2.0,3.0,,,0.5,,,,0.6993,0.25,0.5,0.2857142857142857,0.6,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,2.0,,1.0,1.0,,1.0,,1.0,,2.0,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,0.5,,0.5,1.0,0.5,,,,,1.0,,1.0,,,,,,0.3333333333333333,1.0,1.0,,0.5,1.0,0.5,,,1.0,,,,,,,,,1.0,,,1.0,,3.0,,,,,,1.5,1.5,,,,,,,,,,1.0,0.5031,0.42857142857142855,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
1626153-1628381-1628989-1629027-201568,1610612737,"Delon Wright, John Collins, Kevin Huerter, Trae Young, Danilo Gallinari","Wright, Collins, Huerter, Young, Gallinari",1626153-1628381-1628989-1629027-201568,ATL,273.0,2,5.0,-6.0,8.0,9.0,17,1.0,1.0,,1.0,2.0,2.0,2.0,9.0,15.0,4.0,1.0,,2.0,2.0,9.0,1.0,0.5,0.6428571428571429,0.5,,0.2857142857142857,,89.67032967032968,14.625,17.333333333333332,14.625,16.333333333333332,0.25,1.0,1.0,,0.25,0.75,0.5499125,6.35,24.35,6.0,3.0,1.0,5.0,1.0,5.0,7.0,2.0,,,1.0,4.0,6.0,2.0,1.0,7.0,6.0,,1.0,0.7,0.5,0.6666666666666666,0.25,0.49,0.3333333333333333,0.5,0.7777777777777778,0.75,,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,0.5,,,,,,,,1.0,1.0,,,,0.25,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2022,2021-22,True
