EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFG2M,SecondChanceFG2A,OffTwoPtRebounds,SelfOReb,LiveBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceFg2Pct,SecondChanceEfgPct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceShotQualityAvg,PlusMinus,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,Fg3aBlocked,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,SecondChanceFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Corner3PctBlocked,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,BadPassSteals,PenaltyTurnovers,Loose Ball Fouls,BlockedAtRim,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Corner3Assists,Offensive Fouls,ShortMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTDefRebounds,Charge Fouls,DefFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,RecoveredBlocks,BlocksRecoveredPct,SecondChanceTurnovers,HeaveAttempts,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Offensive Fouls Drawn,SecondChanceAtRimPctAssisted,FTOffRebounds,OffFTReboundPct,Arc3PctBlocked,Charge Fouls Drawn,Blocked3s,BlockedCorner3,OffensiveGoaltends,Travels,Technical Free Throw Trips,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,BlockedArc3,3SecondViolations,DefensiveGoaltends,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1628389-1628997-1629130-1629216-1629639,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Gabe Vincent, Tyler Herro","Adebayo, Martin, Robinson, Vincent, Herro",1628389-1628997-1629130-1629216-1629639,MIA,499.0,2,8.0,14.0,15.0,5.0,6.0,1.0,29,4.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,6.0,10.0,1.0,4.0,1.0,16.0,16.0,1.0,1.0,2.0,3.0,1.0,1.0,10.0,2.0,3.0,3.0,1.0,5.0,1.0,6.0,1.0,3.0,1.0,1.0,13.0,1.0,2.0,5.0,7.0,1.0,8.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,15.0,1.0,5.0,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.25,0.25,0.6,0.5357142857142857,0.5333333333333333,0.5,0.08333333333333333,0.2857142857142857,0.5,1.0,0.3333333333333333,0.5833333333333334,0.16666666666666666,0.5,0.5,0.3333333333333333,1.0,1.0,1.0,83.687374749499,15.571428571428571,18.733333333333334,15.428571428571429,18.0,0.2857142857142857,1.0,1.0,0.75,0.14285714285714285,0.5,0.5,1.0,0.2857142857142857,0.25,0.25,1.0,0.07142857142857142,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,0.2,0.4,0.5714285714285714,0.3333333333333333,0.46843571428571423,0.4466,0.0625,0.0625,9.08,25.3,0.35714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,False
1628389-1628997-1629130-1629216-202710,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Gabe Vincent, Jimmy Butler","Adebayo, Martin, Robinson, Vincent, Butler",1628389-1628997-1629130-1629216-202710,MIA,100.0,1,2.0,4.0,5.0,,5.0,1.0,9,1.0,1.0,1.0,3.0,,,,,,,,2.0,4.0,,,,4.0,4.0,,2.0,,,,,2.0,2.0,,,,1.0,,1.0,,1.0,,,2.0,,1.0,1.0,2.0,1.0,3.0,,,,1.0,,,,,,,,2.0,,,1.0,,0.5,0.5,,,,0.5,0.5,0.5,1.0,,,1.0,1.0,,1.0,0.5,,,1.0,,1.0,,129.6,15.25,7.8,14.0,7.8,0.25,1.0,1.0,1.0,0.75,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,0.25,,0.4093,,0.5,,6.65,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.4618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,False
1628389-1628997-1629130-1629216-203506,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Gabe Vincent, Victor Oladipo","Adebayo, Martin, Robinson, Vincent, Oladipo",1628389-1628997-1629130-1629216-203506,MIA,917.0,3,15.0,29.0,30.0,5.0,,2.0,59,3.0,4.0,4.0,8.0,1.0,1.0,1.0,,3.0,11.0,1.0,8.0,13.0,3.0,12.0,2.0,27.0,19.0,,5.0,4.0,1.0,,8.0,6.0,10.0,6.0,11.0,3.0,3.0,2.0,5.0,2.0,2.0,1.0,,12.0,1.0,10.0,7.0,17.0,2.0,19.0,3.0,3.0,1.0,5.0,4.0,,3.0,,,,,22.0,8.0,5.0,,,0.375,0.42857142857142855,0.6666666666666666,0.25,0.25,0.6153846153846154,0.5,0.5192307692307693,1.25,0.8,0.48,0.5833333333333334,1.0,0.1111111111111111,0.7727272727272727,0.14285714285714285,0.125,0.5714285714285714,0.6666666666666666,0.5,1.0,1.0,92.64994547437296,13.275862068965518,17.733333333333334,13.10344827586207,17.066666666666666,0.16,0.75,1.0,0.6666666666666666,0.32,0.5,0.5,0.25,0.04,1.0,1.0,,0.04,0.44,0.2727272727272727,0.2727272727272727,0.6666666666666666,,0.2,0.64,0.2727272727272727,0.498072,0.42427000000000004,0.18518518518518517,0.2962962962962963,6.838461538461539,25.516666666666666,0.1724137931034483,1.0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,1.25,0.6,0.2,,0.08333333333333333,0.4605,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.8,0.08333333333333333,0.07692307692307693,0.25,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.2,1.0,0.07692307692307693,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,False
1628389-1628997-1629130-1629639-202710,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Tyler Herro, Jimmy Butler","Adebayo, Martin, Robinson, Herro, Butler",1628389-1628997-1629130-1629639-202710,MIA,217.0,1,4.0,4.0,5.0,,,1.0,9,1.0,1.0,,2.0,,,1.0,,,1.0,,1.0,3.0,,2.0,,2.0,8.0,,2.0,,,,,,2.0,,1.0,,,,,,,,,,,1.0,1.0,2.0,1.0,3.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,0.3333333333333333,0.2,0.2,1.0,,0.4,1.0,0.5,,0.6666666666666666,0.25,,,1.0,,,0.5,59.723502304147466,26.0,22.6,26.0,22.6,0.2,1.0,1.0,,0.4,,,,,,,,0.2,0.2,,,,,,0.6,,0.49829,,1.0,,7.0,24.4,,1.0,1.0,1.0,,,,,1.0,1.0,,0.5,0.5,,0.6186,-6.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,False
1628389-1628997-1629130-1629639-203506,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Tyler Herro, Victor Oladipo","Adebayo, Martin, Robinson, Herro, Oladipo",1628389-1628997-1629130-1629639-203506,MIA,402.0,3,7.0,12.0,12.0,3.0,2.0,1.0,24,3.0,3.0,1.0,2.0,,,1.0,1.0,,2.0,,4.0,5.0,,3.0,2.0,10.0,14.0,,,1.0,1.0,,2.0,4.0,4.0,,2.0,,2.0,,2.0,,2.0,,,4.0,,2.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,4.0,3.0,1.0,4.0,,1.0,,1.0,10.0,2.0,3.0,,,0.5,0.5,,,,0.8,0.5,0.5,,0.5,0.375,0.25,0.6666666666666666,,0.42857142857142855,0.25,,,,1.0,,1.0,85.97014925373134,15.833333333333334,17.666666666666668,14.833333333333334,16.166666666666668,0.375,1.0,1.0,0.6666666666666666,0.25,0.5,0.5,,,,,,0.125,0.25,,,,0.5,,0.75,,0.56870625,0.5091,,0.2,4.2,24.099999999999998,0.25,,,1.0,,3.0,2.0,3.0,,,1.0,1.0,1.0,,0.53325,-4.0,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,2.0,,1.0,0.5,,,,,,,,1.0,,,,,0.2,0.2857142857142857,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,False
1628389-1628997-1629130-200768-202710,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Kyle Lowry, Jimmy Butler","Adebayo, Martin, Robinson, Lowry, Butler",1628389-1628997-1629130-200768-202710,MIA,185.0,1,3.0,7.0,6.0,,,1.0,13,1.0,1.0,,1.0,,,1.0,,,2.0,,1.0,2.0,1.0,3.0,2.0,7.0,5.0,,3.0,,,,,2.0,,3.0,2.0,,1.0,1.0,2.0,,1.0,,,5.0,,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,,2.0,,,,,4.0,,,,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5833333333333334,1.5,,0.6,1.0,1.0,,1.0,0.3333333333333333,,,1.0,,1.0,,101.18918918918918,14.285714285714286,14.166666666666666,14.0,14.166666666666666,0.2,1.0,1.0,1.0,0.2,,,,,,,,0.2,0.4,,,,,,0.8,,0.5455,,0.42857142857142855,,5.4,25.3,,,,1.0,,,,2.0,,1.5,,1.0,1.0,,0.5649,2.0,,,,,,,1.0,1.0,,,,1.0,,1.0,,2.0,,,1.0,1.0,,,,0.5,,,,,,,,,,,0.16666666666666666,0.3333333333333333,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,False
1628389-1628997-1629216-1629622-1629639,1610612748,"Bam Adebayo, Caleb Martin, Gabe Vincent, Max Strus, Tyler Herro","Adebayo, Martin, Vincent, Strus, Herro",1628389-1628997-1629216-1629622-1629639,MIA,222.0,2,4.0,8.0,7.0,,,,15,,,,,1.0,2.0,1.0,,,1.0,,1.0,2.0,,2.0,2.0,4.0,8.0,,,,,,,,2.0,,1.0,,,,,,,,,,,2.0,,3.0,,3.0,1.0,,2.0,4.0,3.0,,2.0,,,,,4.0,,,,,,,,,,0.5,0.25,0.4,,,0.5,,1.0,,1.0,,,,,,1.0,,97.29729729729729,13.375,16.428571428571427,13.375,16.428571428571427,,,,,,,,,0.5,0.5,0.5,,0.25,0.25,,,,,,0.5,,0.46185,,,,15.2,25.95,,,,,,1.0,,3.0,,,0.3333333333333333,,,,,-4.0,,,,,,,,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,0.2,0.3333333333333333,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,False
1628389-1628997-1629216-1629622-202710,1610612748,"Bam Adebayo, Caleb Martin, Gabe Vincent, Max Strus, Jimmy Butler","Adebayo, Martin, Vincent, Strus, Butler",1628389-1628997-1629216-1629622-202710,MIA,291.0,3,5.0,8.0,6.0,,2.0,2.0,14,1.0,5.0,1.0,5.0,,1.0,1.0,,1.0,2.0,,2.0,11.0,2.0,3.0,,10.0,12.0,,,,,,,4.0,,6.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,,10.0,,1.0,,1.0,6.0,7.0,,,1.0,2.0,1.0,1.0,,,,,,10.0,,,,,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.18181818181818182,0.35714285714285715,0.35714285714285715,,,0.21428571428571427,,1.0,,1.0,0.6,,,,,,1.0,69.27835051546393,18.875,23.333333333333332,13.625,23.333333333333332,0.35714285714285715,0.2,0.25,1.0,0.35714285714285715,0.2,0.2,1.0,0.07142857142857142,,,,0.07142857142857142,0.14285714285714285,0.5,0.5,1.0,,,0.5714285714285714,0.5,0.5352071428571429,,,,6.027272727272727,24.7,,,6.0,6.0,1.0,,,,,,,0.6666666666666666,0.5,0.1111111111111111,0.5139,-2.0,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,0.09090909090909091,0.2,,0.75,0.5,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,False
1628389-1628997-1629216-1629622-203506,1610612748,"Bam Adebayo, Caleb Martin, Gabe Vincent, Max Strus, Victor Oladipo","Adebayo, Martin, Vincent, Strus, Oladipo",1628389-1628997-1629216-1629622-203506,MIA,128.0,2,2.0,6.0,5.0,6.0,3.0,2.0,11,1.0,1.0,,3.0,,1.0,1.0,1.0,,1.0,1.0,1.0,5.0,,2.0,1.0,3.0,6.0,,,5.0,2.0,1.0,3.0,2.0,,,1.0,,1.0,,1.0,,1.0,,,2.0,2.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,3.0,3.0,6.0,,,1.0,1.0,,,,0.2,0.14285714285714285,0.21428571428571427,,0.21428571428571427,0.2857142857142857,,,1.0,,0.3333333333333333,1.0,,,,,,123.75,14.5,8.2,11.0,8.2,0.14285714285714285,1.0,1.0,1.0,0.42857142857142855,,,,0.14285714285714285,,,,0.14285714285714285,0.14285714285714285,,,,0.14285714285714285,0.14285714285714285,0.42857142857142855,,0.4315428571428571,0.4315428571428571,,1.0,8.14,25.15,1.0,,2.0,,,1.0,,1.0,,,1.0,,,,,-3.0,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,1.0,1.0,,0.2,0.14285714285714285,,0.2,,,,,,,,,0.14285714285714285,1.0,0.14285714285714285,0.2,,1.0,,,,,,,,0.3333333333333333,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,False
1628389-1628997-1629216-1629639-200768,1610612748,"Bam Adebayo, Caleb Martin, Gabe Vincent, Tyler Herro, Kyle Lowry","Adebayo, Martin, Vincent, Herro, Lowry",1628389-1628997-1629216-1629639-200768,MIA,45.0,1,1.0,2.0,1.0,1.0,,,3,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,96.0,19.0,7.0,19.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,1.0,,,,,,,,-2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,False
