EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,FTDefRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefFTReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,NonHeaveArc3FGM,LostBallSteals,BadPassTurnovers,Offensive Fouls,Technical Free Throw Trips,BlockedLongMidRange,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg3aBlocked,Arc3Assists,LongMidRangeAssists,SelfOReb,Charge Fouls,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedAtRim,SecondChanceFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffShortMidRangeReboundPct,SelfORebPct,LongMidRangePctAssisted,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFtPoints,PtsPutbacks,FTOffRebounds,OffFTReboundPct,SecondChanceArc3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,HeaveAttempts,StepOutOfBoundsTurnovers,SecondChanceArc3PctAssisted,OffensiveGoaltends,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,Defensive 3 Seconds Violations,DefensiveGoaltends,3SecondViolations,BlockedCorner3,Clear Path Fouls,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101139-1628382-1628981-1630202-2207,1610612738,"CJ Miles, Justin Jackson, Bruno Fernando, Payton Pritchard, Joe Johnson","Miles, Jackson, Fernando, Pritchard, Johnson",101139-1628382-1628981-1630202-2207,BOS,117.0,1,2.0,-5.0,5.0,5.0,5.0,4.0,10.0,1.0,2.0,1.0,2.0,2.0,4.0,9.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,5.0,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,123.07692307692308,13.6,9.8,13.6,9.8,1.0,0.5,0.5,0.3715,0.3715,1.0,19.55,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1626196-1627759-1628369-1629057-1629684,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Robert Williams III, Grant Williams","Richardson, Brown, Tatum, Williams III, Williams",1626196-1627759-1628369-1629057-1629684,BOS,610.0,2,10.0,1.0,17.0,17.0,2.0,4.0,34.0,1.0,3.0,6.0,11.0,3.0,18.0,17.0,1.0,1.0,1.0,3.0,8.0,,10.0,14.0,2.0,,3.0,,2.0,5.0,4.0,4.0,1.0,16.0,2.0,1.0,0.5454545454545454,1.0,0.46875,1.0,0.5,0.75,,80.26229508196722,17.058823529411764,18.823529411764707,14.823529411764707,18.294117647058822,0.1875,0.3333333333333333,0.3333333333333333,0.453159375,0.2684,0.16666666666666666,8.909090909090908,0.11764705882352941,3.0,1.0,4.0,1.0,2.0,4.0,4.0,1.0,2.0,3.0,1.0,5.0,1.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,2.0,2.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3125,0.09090909090909091,0.25,0.3333333333333333,0.8333333333333334,0.4,1.0,0.5,0.9090909090909091,0.4444444444444444,0.6666666666666666,0.3333333333333333,1.0,0.75,1.0,1.0,1.0,0.25,0.25,0.3333333333333333,1.0,0.25,1.0,1.0,0.25,0.125,0.5,0.5,1.0,0.1875,0.6666666666666666,0.5,1.0,0.5625,0.403,0.058823529411764705,0.08333333333333333,0.1111111111111111,24.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1626196-1627759-1628369-1629057-1630202,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Robert Williams III, Payton Pritchard","Richardson, Brown, Tatum, Williams III, Pritchard",1626196-1627759-1628369-1629057-1630202,BOS,519.0,3,9.0,3.0,20.0,18.0,13.0,12.0,38.0,,3.0,7.0,11.0,5.0,22.0,19.0,5.0,7.0,3.0,16.0,4.0,,7.0,8.0,2.0,,5.0,3.0,2.0,4.0,2.0,5.0,1.0,22.0,16.0,13.0,0.6363636363636364,0.7142857142857143,0.6538461538461539,0.7222222222222222,0.7,0.75,,105.43352601156069,12.1,15.38888888888889,12.05,14.722222222222221,0.23076923076923078,,,0.5474346153846154,0.5757166666666667,0.7272727272727273,6.863636363636363,0.65,1.0,7.0,8.0,,,,,,,2.0,1.0,2.0,,,,10.0,,2.0,,5.0,,5.0,,5.0,,10.0,,1.0,4.0,3.0,1.0,1.0,,3.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,0.7142857142857143,0.7142857142857143,,0.5,0.5,,,,0.15384615384615385,,,0.6,0.6,0.3333333333333333,0.8,,0.7,0.25,,,,,0.6666666666666666,1.0,1.0,0.6153846153846154,0.875,0.875,0.7142857142857143,,,,,,,,,0.15384615384615385,,,,0.7692307692307693,,0.07142857142857142,0.08333333333333333,,26.9,5.0,5.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5555555555555556,1.0,0.2222222222222222,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1626196-1627759-1628369-1629057-203471,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Robert Williams III, Dennis Schroder","Richardson, Brown, Tatum, Williams III, Schroder",1626196-1627759-1628369-1629057-203471,BOS,1626.0,7,27.0,6.0,54.0,52.0,21.0,16.0,106.0,3.0,4.0,13.0,24.0,18.0,59.0,53.0,7.0,10.0,9.0,32.0,12.0,1.0,20.0,27.0,6.0,1.0,9.0,3.0,6.0,13.0,18.0,22.0,1.0,54.0,32.0,21.0,0.5416666666666666,0.7,0.4880952380952381,0.71875,0.5784313725490197,0.7619047619047619,1.0,93.87453874538745,16.185185185185187,14.461538461538462,15.648148148148149,13.98076923076923,0.09523809523809523,0.75,0.75,0.4910202380952381,0.48751875,0.5423728813559322,6.883333333333333,0.3888888888888889,6.0,7.0,12.0,,2.0,3.0,8.0,1.0,2.0,16.0,5.0,18.0,1.0,3.0,5.0,14.0,15.0,16.0,2.0,7.0,5.0,12.0,1.0,5.0,,29.0,3.0,4.0,8.0,11.0,7.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,10.0,3.0,2.0,4.0,2.0,1.0,0.5384615384615384,0.5384615384615384,1.0,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.42857142857142855,0.08333333333333333,,0.3333333333333333,0.6875,0.36363636363636365,0.7272727272727273,0.23076923076923078,0.7037037037037037,0.2916666666666667,0.2,0.25,,0.6,1.0,0.625,0.5,0.2857142857142857,0.5833333333333334,0.5833333333333334,0.7142857142857143,0.19047619047619047,0.375,0.5,,0.047619047619047616,0.5,0.5,1.0,0.38095238095238093,0.3333333333333333,,,0.7142857142857143,0.52345,0.2,0.3125,0.0847457627118644,25.772222222222222,3.0,4.0,4.0,3.0,6.0,3.0,6.0,,4.0,2.0,1.0,,,,1.0,0.5,,,1.0,0.25,0.26666666666666666,0.25,0.75,0.375,0.5,0.25,1.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.05555555555555555,0.25,0.0625,0.6,0.047619047619047616,0.6666666666666666,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1626196-1627759-1628369-1629057-203935,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Robert Williams III, Marcus Smart","Richardson, Brown, Tatum, Williams III, Smart",1626196-1627759-1628369-1629057-203935,BOS,2676.0,9,45.0,24.0,90.0,84.0,37.0,42.0,174.0,3.0,5.0,33.0,47.0,22.0,115.0,91.0,8.0,13.0,10.0,41.0,40.0,1.0,32.0,46.0,5.0,,11.0,5.0,8.0,14.0,25.0,30.0,3.0,98.0,41.0,37.0,0.7021276595744681,0.6153846153846154,0.58125,0.484375,0.6117021276595744,0.5125,1.0,93.6322869955157,15.955555555555556,14.761904761904763,15.122222222222222,14.19047619047619,0.0625,0.6,0.6,0.503496875,0.4898734375,0.3565217391304348,6.029787234042553,0.4111111111111111,13.0,22.0,24.0,4.0,4.0,8.0,18.0,3.0,11.0,22.0,9.0,33.0,5.0,8.0,17.0,26.0,21.0,22.0,4.0,13.0,7.0,20.0,3.0,11.0,2.0,47.0,7.0,6.0,21.0,10.0,14.0,7.0,6.0,6.0,2.0,1.0,2.0,1.0,13.0,3.0,1.0,3.0,2.0,2.0,0.3939393939393939,0.4482758620689655,0.7777777777777778,0.2727272727272727,0.2727272727272727,0.625,0.5909090909090909,0.6071428571428571,0.4125,0.0851063829787234,0.041666666666666664,0.5454545454545454,0.625,0.42857142857142855,0.8076923076923077,0.30434782608695654,0.7380952380952381,0.35135135135135137,1.0,0.3333333333333333,0.25,0.5,,0.8095238095238095,0.6666666666666666,0.3,0.9166666666666666,0.9565217391304348,0.5,0.225,0.4444444444444444,0.5333333333333333,0.25,0.1375,0.2727272727272727,0.2727272727272727,1.0,0.275,0.36363636363636365,1.0,,0.7125,0.4195166666666667,0.14285714285714285,0.22413793103448276,0.14782608695652175,25.406060606060606,5.0,5.0,6.0,4.0,12.0,5.0,19.0,6.0,6.0,1.0,4.0,1.0,,,3.0,0.2631578947368421,,0.8333333333333334,0.8,0.2727272727272727,0.2727272727272727,0.15625,1.0,0.375,0.3333333333333333,0.2727272727272727,,,3.0,1.0,3.0,,4.0,,2.0,,2.0,1.0,1.0,1.0,2.0,,,2.0,0.3333333333333333,,0.16666666666666666,,0.4,0.06060606060606061,,0.6666666666666666,,,,0.2727272727272727,1.0,7.0,1.0,4.0,8.0,1.0,0.3333333333333333,0.3333333333333333,0.21875,0.14285714285714285,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1626196-1627759-1628369-1629641-1629684,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Romeo Langford, Grant Williams","Richardson, Brown, Tatum, Langford, Williams",1626196-1627759-1628369-1629641-1629684,BOS,12.0,1,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,120.0,,11.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1626196-1627759-1628369-1629641-202683,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Romeo Langford, Enes Freedom","Richardson, Brown, Tatum, Langford, Freedom",1626196-1627759-1628369-1629641-202683,BOS,140.0,1,2.0,4.0,4.0,4.0,,4.0,8.0,1.0,2.0,3.0,6.0,,6.0,2.0,,,,,4.0,,1.0,4.0,,,,,,,,,,4.0,,,0.5,,0.42857142857142855,,0.42857142857142855,,,82.28571428571428,20.75,14.25,15.25,14.0,0.2857142857142857,0.5,0.5,0.5146357142857143,,,8.299999999999999,,2.0,2.0,2.0,1.0,1.0,,2.0,,1.0,,,1.0,1.0,3.0,2.0,2.0,,,,1.0,,1.0,,,,2.0,1.0,2.0,1.0,,3.0,1.0,1.0,,,,,,,,,,,,0.3333333333333333,0.5,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14285714285714285,,,,,0.6666666666666666,1.0,1.0,0.5,0.75,,,1.0,,,1.0,,0.2857142857142857,1.0,1.0,,0.2857142857142857,,,,0.14285714285714285,,,,,0.3333333333333333,1.0,,0.42857142857142855,0.4801333333333333,,,0.3333333333333333,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,0.25,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1626196-1627759-1628369-1629684-201143,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Grant Williams, Al Horford","Richardson, Brown, Tatum, Williams, Horford",1626196-1627759-1628369-1629684-201143,BOS,142.0,2,2.0,,6.0,6.0,6.0,4.0,12.0,,,,,4.0,4.0,4.0,,,4.0,4.0,,,,,1.0,,2.0,2.0,,1.0,2.0,4.0,1.0,4.0,2.0,5.0,,,,,0.5,0.5,,121.69014084507042,13.5,10.166666666666666,13.5,9.833333333333334,,,,0.548775,0.548775,1.0,,1.0,,,,,,,,,,2.0,,2.0,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,0.3333333333333333,1.0,,26.65,,,,,2.0,,2.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1626196-1627759-1628369-1629684-203471,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Grant Williams, Dennis Schroder","Richardson, Brown, Tatum, Williams, Schroder",1626196-1627759-1628369-1629684-203471,BOS,47.0,3,1.0,-1.0,1.0,4.0,1.0,4.0,5.0,,,1.0,1.0,,2.0,3.0,1.0,1.0,,2.0,,,1.0,1.0,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,153.19148936170214,3.0,11.0,3.0,11.0,,,,0.5963,0.5963,1.0,2.3,1.0,,1.0,1.0,,,,,,,,,,,,,2.0,,,,1.0,,1.0,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
1626196-1627759-1628369-1629684-203953,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Grant Williams, Jabari Parker","Richardson, Brown, Tatum, Williams, Parker",1626196-1627759-1628369-1629684-203953,BOS,15.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,False
