EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ShootingFouls,Fouls,FirstChancePoints,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyArc3FGA,PenaltyFG3A,PenaltyOffPossExcludingTakeFouls,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,FTDefRebounds,DefRebounds,Rebounds,DefFTReboundPct,FtPoints,DefTwoPtRebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,ShortMidRangePctBlocked,DefThreePtReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,AtRimFGM,AtRimFGA,AtRimAssists,ShortMidRangeAssists,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,LiveBallTurnoverPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceOffPoss,Corner3FGM,SecondChanceArc3FGA,SecondChanceFG3A,PtsAssisted3s,ThreePtAssists,Arc3Assists,Corner3Assists,BadPassSteals,BadPassTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Assisted3sPct,AtRimPctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,OffTwoPtRebounds,OffRebounds,Charge Fouls Drawn,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,PenaltyFtPoints,PenaltyPoints,Travels,PenaltyTurnovers,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,PenaltyTsPct,PenaltyPointsPct,PenaltyCorner3FGA,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,OffThreePtRebounds,StepOutOfBoundsTurnovers,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyCorner3Frequency,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyFG3M,DefensiveGoaltends,PenaltyFg3Pct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffAtRimReboundPct,SecondChancePointsPct,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,SelfOReb,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockedAtRim,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,DefLongMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,Fg3aBlocked,LostBallOutOfBoundsTurnovers,BlockedCorner3,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,team_id,year,season,team_vs
1627854-1628420-1630267-203115-203932,1610612743,"Bryn Forbes, Monte Morris, Facundo Campazzo, Will Barton, Aaron Gordon","Forbes, Morris, Campazzo, Barton, Gordon",1627854-1628420-1630267-203115-203932,DEN,67.0,1,1.0,1.0,2.0,2.0,2.0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.25,1.25,0.5,85.97014925373134,19.0,14.5,19.0,14.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.439,17.2,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2022,2021-22,True
1627854-1628420-1630538-201145-203210,1610612743,"Bryn Forbes, Monte Morris, Bones Hyland, Jeff Green, JaMychal Green","Forbes, Morris, Hyland, Green, Green",1627854-1628420-1630538-201145-203210,DEN,29.0,1,,,1.0,1.0,1.0,2,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,1.0,99.3103448275862,15.0,14.0,15.0,14.0,,,,1.0,,,1.0,,0.46815,,29.2,1.0,1.0,1.0,1.0,1.0,0.46815,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2022,2021-22,True
1627854-1628420-1630538-202326-203932,1610612743,"Bryn Forbes, Monte Morris, Bones Hyland, DeMarcus Cousins, Aaron Gordon","Forbes, Morris, Hyland, Cousins, Gordon",1627854-1628420-1630538-202326-203932,DEN,13.0,1,,-1.0,,1.0,,1,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,110.76923076923076,,13.0,,13.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2022,2021-22,True
1627854-1628420-1630538-203932-203999,1610612743,"Bryn Forbes, Monte Morris, Bones Hyland, Aaron Gordon, Nikola Jokic","Forbes, Morris, Hyland, Gordon, Jokic",1627854-1628420-1630538-203932-203999,DEN,29.0,1,,2.0,1.0,1.0,,2,,,,,,,,,2.0,,,,,,,,2.0,,,,,1.0,,99.3103448275862,6.0,23.0,6.0,23.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2022,2021-22,True
1627854-1628420-202326-203085-203210,1610612743,"Bryn Forbes, Monte Morris, DeMarcus Cousins, Austin Rivers, JaMychal Green","Forbes, Morris, Cousins, Rivers, Green",1627854-1628420-202326-203085-203210,DEN,116.0,1,2.0,1.0,4.0,3.0,,7,1.0,1.0,,,2.0,3.0,,1.0,4.0,3.0,2.0,,,,2.0,2.0,4.0,,,0.6666666666666666,0.5,0.5,0.25,86.89655172413794,14.25,19.666666666666668,14.25,19.666666666666668,0.25,1.0,1.0,,,,0.25,,0.4633875,11.333333333333334,24.6,,,,,,,,,2.0,2.0,,,1.0,,,,1.0,1.0,1.0,,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2022,2021-22,True
1627854-1628420-202326-203115-203210,1610612743,"Bryn Forbes, Monte Morris, DeMarcus Cousins, Will Barton, JaMychal Green","Forbes, Morris, Cousins, Barton, Green",1627854-1628420-202326-203115-203210,DEN,355.0,2,6.0,-9.0,12.0,12.0,,24,,1.0,,,5.0,10.0,,,10.0,19.0,2.0,,,,1.0,1.0,10.0,,,0.5,0.5,0.5,,97.35211267605634,16.333333333333332,13.25,16.333333333333332,13.0,0.1,,,,,,0.2,,0.40359,8.14,,,,,,,,,1.0,2.0,2.0,1.0,,,4.0,,,,0.5,,,,3.0,7.0,,8.0,,4.0,4.0,,8.0,1.0,1.0,1.0,1.0,,0.8,0.8,,,1.0,,,0.7,0.42857142857142855,0.42857142857142855,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.2,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2022,2021-22,True
1627854-1628420-203085-203115-203932,1610612743,"Bryn Forbes, Monte Morris, Austin Rivers, Will Barton, Aaron Gordon","Forbes, Morris, Rivers, Barton, Gordon",1627854-1628420-203085-203115-203932,DEN,67.0,1,1.0,1.0,2.0,1.0,,3,,,,,2.0,2.0,,,4.0,3.0,2.0,,,,,1.0,4.0,,,1.0,1.0,1.0,,64.4776119402985,19.5,28.0,19.5,28.0,,,,,,,,,0.4109,6.3,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,1.0,1.0,,2.0,,,,,,0.5,0.5,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2022,2021-22,True
1627854-1628420-203085-203115-203999,1610612743,"Bryn Forbes, Monte Morris, Austin Rivers, Will Barton, Nikola Jokic","Forbes, Morris, Rivers, Barton, Jokic",1627854-1628420-203085-203115-203999,DEN,413.0,3,7.0,6.0,16.0,16.0,6.0,32,1.0,1.0,3.0,5.0,5.0,7.0,4.0,6.0,24.0,18.0,2.0,6.0,5.0,3.0,1.0,5.0,24.0,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.8461538461538461,0.8846153846153846,0.46153846153846156,111.57384987893462,12.6875,13.125,12.25,13.125,0.07692307692307693,1.0,1.0,0.38461538461538464,0.6,0.6,0.6153846153846154,0.6,0.46803461538461544,7.214285714285714,25.583333333333332,,,,,,,,,5.0,5.0,,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.07692307692307693,0.14285714285714285,3.0,4.0,1.0,8.0,1.0,4.0,6.0,1.0,14.0,1.0,2.0,2.0,2.0,2.0,0.8,0.8,0.14285714285714285,,1.0,,1.0,0.3076923076923077,0.75,0.75,1.0,0.07692307692307693,1.0,2.0,1.0,2.0,1.0,,3.0,,,1.0,3.0,1.0,1.0,0.15384615384615385,0.5,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,1.0,0.5049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2022,2021-22,True
1627854-1628420-203085-203210-203999,1610612743,"Bryn Forbes, Monte Morris, Austin Rivers, JaMychal Green, Nikola Jokic","Forbes, Morris, Rivers, Green, Jokic",1627854-1628420-203085-203210-203999,DEN,23.0,1,,,,1.0,,1,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,62.60869565217391,,5.0,,5.0,,,,,,,,,0.3825,6.5,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2022,2021-22,True
1627854-1628420-203085-203932-203999,1610612743,"Bryn Forbes, Monte Morris, Austin Rivers, Aaron Gordon, Nikola Jokic","Forbes, Morris, Rivers, Gordon, Jokic",1627854-1628420-203085-203932-203999,DEN,82.0,1,1.0,1.0,1.0,2.0,2.0,3,1.0,1.0,,,1.0,1.0,,,3.0,2.0,2.0,,,,,,3.0,,,1.0,1.0,0.75,,52.68292682926829,44.0,19.0,44.0,19.0,1.0,1.0,1.0,,,,,,0.3895,21.5,,,,,,,,,,,,,1.0,,1.0,2.0,1.0,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2022,2021-22,True
