EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,FG2A,OpponentPoints,SecondChanceFG2A,OffTwoPtRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,AtRimFGM,ShortMidRangeFGA,Corner3FGA,FG2M,FG3A,Points,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,ShootingFouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Avg3ptShotDistance,PenaltyOffPoss,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,PenaltyTurnovers,Charge Fouls,PenaltyOffPossExcludingTakeFouls,LiveBallTurnoverPct,PenaltyOffPossPct,DefTwoPtRebounds,DefRebounds,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,FTDefRebounds,FoulsDrawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,DefAtRimReboundPct,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyAtRimFGM,ShortMidRangeFGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFtPoints,PenaltyFG2M,PtsUnassisted2s,Fg2aBlocked,OffThreePtRebounds,DefThreePtRebounds,LostBallSteals,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,PenaltyFg2Pct,FG2APctBlocked,AtRimPctBlocked,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PtsUnassisted3s,SecondChanceAtRimFGM,LongMidRangeFGM,SecondChanceFG2M,PtsPutbacks,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,Technical Free Throw Trips,Blocked3s,BlockedCorner3,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimAccuracy,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,Fg3aBlocked,Corner3Assists,FG3APctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Travels,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BadPassTurnovers,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,LongMidRangeAssists,Charge Fouls Drawn,LongMidRangePctAssisted,Clear Path Fouls,FTOffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls Drawn,OffensiveGoaltends,3SecondViolations,OffFTReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,3pt And 1 Free Throw Trips,OffLongMidRangeReboundPct,BlockedArc3,BlockedLongMidRange,HeaveAttempts,team_id,year,season,team_vs
1626156-1626157-1627736-1627752-1629020,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Taurean Prince, Jarred Vanderbilt","Russell, Towns, Beasley, Prince, Vanderbilt",1626156-1626157-1627736-1627752-1629020,MIN,53.0,1,1.0,-4.0,3.0,2.0,2.0,1.0,5,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.5,0.5,0.5,135.8490566037736,14.333333333333334,5.0,14.0,5.0,1.0,1.0,1.0,0.72505,0.6414,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1627752-1629162,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Taurean Prince, Jordan McLaughlin","Russell, Towns, Beasley, Prince, McLaughlin",1626156-1626157-1627736-1627752-1629162,MIN,178.0,1,3.0,-9.0,5.0,6.0,,,11,2.0,,3.0,11.0,,,,,1.0,1.0,3.0,1.0,,,,88.98876404494382,17.4,15.166666666666666,17.4,12.0,0.5,,0.75,0.5895875,,5.033333333333333,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.25,0.25,0.25,0.5,0.5,1.0,0.25,0.25,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1627752-1630162,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Taurean Prince, Anthony Edwards","Russell, Towns, Beasley, Prince, Edwards",1626156-1626157-1627736-1627752-1630162,MIN,23.0,1,,-2.0,2.0,2.0,2.0,,4,,,,2.0,,,,,1.0,2.0,1.0,,,,,250.43478260869563,6.0,5.5,6.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1627752-1630183,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Taurean Prince, Jaden McDaniels","Russell, Towns, Beasley, Prince, McDaniels",1626156-1626157-1627736-1627752-1630183,MIN,63.0,1,1.0,,2.0,2.0,,,4,1.0,,1.0,2.0,,,,1.0,,1.0,,,,,,91.42857142857143,15.5,16.0,15.5,16.0,1.0,,1.0,0.6806,,1.4,1.0,,,1.0,,2.0,2.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1629020-1630162,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Jarred Vanderbilt, Anthony Edwards","Russell, Towns, Beasley, Vanderbilt, Edwards",1626156-1626157-1627736-1629020-1630162,MIN,325.0,2,5.0,-8.0,9.0,11.0,6.0,1.0,20,1.0,,2.0,18.0,,1.0,1.0,4.0,,,2.0,,0.5,0.16666666666666666,1.0,88.61538461538461,20.666666666666668,12.636363636363637,20.555555555555557,12.636363636363637,0.1111111111111111,,0.8888888888888888,0.5341777777777778,0.5349,11.3,,,1.0,,7.0,10.0,,,3.0,,9.0,2.0,7.0,,,,0.5,0.5,0.7777777777777778,,,,,0.1111111111111111,24.957142857142856,4.0,,,,,,,4.0,,0.4444444444444444,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,3.0,6.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,7.0,9.0,6.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.42857142857142855,1.0,1.0,0.42857142857142855,1.5,0.75,1.5,0.7,1.0,0.5,0.1111111111111111,0.6666666666666666,0.5,0.5,1.0,1.0,1.0,1.0,0.25,0.5,1.0,0.5,0.521275,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1629020-1630183,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Jarred Vanderbilt, Jaden McDaniels","Russell, Towns, Beasley, Vanderbilt, McDaniels",1626156-1626157-1627736-1629020-1630183,MIN,226.0,1,4.0,11.0,9.0,8.0,8.0,2.0,17,4.0,,6.0,3.0,,1.0,2.0,7.0,,1.0,,,1.0,0.6666666666666666,1.0,108.31858407079646,11.0,15.875,10.333333333333334,15.125,0.4444444444444444,,0.7777777777777778,0.5777944444444444,0.5268,5.1499999999999995,3.0,1.0,1.0,4.0,3.0,14.0,2.0,1.0,2.0,1.0,5.0,,12.0,0.25,0.25,0.6666666666666666,0.6111111111111112,0.7,0.3333333333333333,0.75,1.0,0.3333333333333333,0.1111111111111111,0.1111111111111111,24.766666666666666,9.0,2.0,1.0,1.0,1.0,1.0,,9.0,1.0,1.0,1.0,5.0,0.3333333333333333,0.7142857142857143,0.5,4.0,1.0,1.0,2.0,,,1.0,2.0,1.0,3.0,,1.0,2.0,6.0,1.0,3.0,3.0,14.0,3.0,2.0,1.0,1.0,1.0,,2.0,3.0,1.0,1.0,,1.0,14.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.6111111111111112,0.5,0.7,,,0.1111111111111111,0.2222222222222222,0.5,0.5,1.0,,,,0.4444444444444444,0.2222222222222222,0.5,0.5,0.5777944444444444,0.14285714285714285,1.0,3.0,1.0,1.0,1.0,2.0,4.0,6.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.25,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.1111111111111111,0.1111111111111111,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1629020-201976,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Jarred Vanderbilt, Patrick Beverley","Russell, Towns, Beasley, Vanderbilt, Beverley",1626156-1626157-1627736-1629020-201976,MIN,105.0,1,2.0,1.0,5.0,5.0,,,10,1.0,,1.0,5.0,,,,1.0,,,,,,,,137.14285714285714,10.2,10.8,10.2,10.8,0.5,,1.0,0.618525,,1.9,,,,,1.0,6.0,,,,,,,6.0,,,,0.75,0.6,0.5,,,,,,27.0,5.0,1.0,,,,,,5.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,3.0,,,,1.0,1.0,1.0,3.0,6.0,,1.0,1.0,,,,3.0,6.0,2.0,,,,6.0,2.0,,1.0,,1.0,1.0,,0.75,,0.6,,,,0.5,1.0,1.0,,,,,0.5,0.5,1.0,1.0,0.618525,,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,0.3333333333333333,0.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1630162-1630183,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Anthony Edwards, Jaden McDaniels","Russell, Towns, Beasley, Edwards, McDaniels",1626156-1626157-1627736-1630162-1630183,MIN,817.0,4,14.0,6.0,28.0,31.0,16.0,1.0,59,7.0,1.0,12.0,26.0,1.0,,1.0,13.0,1.0,1.0,11.0,,,0.07692307692307693,,103.99020807833537,13.821428571428571,13.870967741935484,13.785714285714286,13.451612903225806,0.30434782608695654,1.0,0.782608695652174,0.5462239130434783,,5.325,5.0,4.0,4.0,9.0,11.0,32.0,10.0,5.0,5.0,3.0,10.0,4.0,30.0,0.5555555555555556,0.625,0.75,0.45652173913043476,0.5535714285714286,0.4782608695652174,0.7142857142857143,1.0,0.6,0.17391304347826086,0.17391304347826086,24.572727272727274,17.0,4.0,3.0,,,1.0,,17.0,,0.6071428571428571,7.0,12.0,0.7777777777777778,0.8,1.0,3.0,1.0,1.0,7.0,,,1.0,4.0,1.0,11.0,,,2.0,6.0,1.0,6.0,8.0,21.0,,7.0,1.0,,,,5.0,11.0,3.0,1.0,1.0,2.0,21.0,3.0,,0.09090909090909091,,0.16666666666666666,0.09090909090909091,1.0,0.5416666666666666,1.0,0.65625,,0.5,0.043478260869565216,0.30434782608695654,0.14285714285714285,0.14285714285714285,,,,,0.25,0.3333333333333333,0.25,0.14285714285714285,0.5516791666666666,0.0625,0.65625,3.0,3.0,,2.0,,5.0,8.0,2.0,1.0,5.0,1.0,1.0,,2.0,,1.0,0.8333333333333334,0.16666666666666666,0.2857142857142857,0.8333333333333334,0.1,0.16666666666666666,1.0,0.6666666666666666,0.5,0.75,0.75,,1.0,0.16666666666666666,0.08,0.14285714285714285,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1630162-201976,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Anthony Edwards, Patrick Beverley","Russell, Towns, Beasley, Edwards, Beverley",1626156-1626157-1627736-1630162-201976,MIN,310.0,2,5.0,-5.0,12.0,12.0,3.0,2.0,24,5.0,,6.0,12.0,,2.0,2.0,6.0,2.0,2.0,3.0,1.0,0.4,0.2222222222222222,0.5,111.48387096774194,13.083333333333334,12.75,11.583333333333334,12.166666666666666,0.45454545454545453,,0.9090909090909091,0.5583454545454546,0.50475,4.866666666666666,1.0,,1.0,1.0,5.0,7.0,2.0,1.0,2.0,1.0,5.0,1.0,4.0,1.0,1.0,0.16666666666666666,0.22727272727272727,0.2916666666666667,0.45454545454545453,0.2,0.25,1.0,,0.09090909090909091,25.14,6.0,1.0,1.0,,,,1.0,6.0,,0.5,4.0,4.0,1.0,0.6666666666666666,1.0,3.0,1.0,,4.0,,1.0,,4.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,5.0,,3.0,3.0,4.0,,1.0,,,2.0,2.0,,2.0,1.0,2.0,3.0,,1.0,0.2,0.5,0.2,0.2,0.75,0.1875,0.75,0.1875,,1.0,0.09090909090909091,0.36363636363636365,,,,0.5,,,0.375,0.5,,,0.5524375,0.42857142857142855,0.42857142857142855,,,1.0,1.0,,,,1.0,,,,,,1.0,1.0,2.0,,0.16666666666666666,0.2,,,,,,1.0,,,0.5,,0.125,0.08333333333333333,0.14285714285714285,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.2,0.25,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
1626156-1626157-1627736-1630183-201976,1610612750,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Jaden McDaniels, Patrick Beverley","Russell, Towns, Beasley, McDaniels, Beverley",1626156-1626157-1627736-1630183-201976,MIN,71.0,1,1.0,1.0,3.0,3.0,,1.0,6,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,121.69014084507042,8.666666666666666,15.0,8.666666666666666,15.0,1.0,1.0,1.0,0.6684,0.5472,0.95,1.0,,,1.0,,4.0,,,,,,,2.0,,,0.5,0.5,0.6666666666666666,,0.5,0.5,,,,,3.0,1.0,,,,1.0,,3.0,,1.0,,1.0,,1.0,,2.0,,,,,,,,,2.0,,,2.0,2.0,,,2.0,4.0,,,,,,,1.0,2.0,,,,,4.0,,,,,,,1.0,0.5,1.0,0.6666666666666666,,,,,,,,,,,1.0,,,,0.6684,0.5,1.0,1.0,,,,,1.0,2.0,,,1.0,1.0,,,1.0,,,0.5,,,1.0,,,,1.0,,,,,0.5,,0.3333333333333333,0.3333333333333333,,1.0,,1.0,2.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2022,2021-22,False
