EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,AtRimAssists,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,Corner3Assists,OffThreePtRebounds,BadPassSteals,DeadBallTurnovers,LostBallTurnovers,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LongMidRangePctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,SecondChanceFtPoints,Fg3aBlocked,ShortMidRangeAssists,FTDefRebounds,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Blocked3s,BlockedArc3,BlockedShortMidRange,RecoveredBlocks,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,DefFTReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,Technical Free Throw Trips,SecondChanceFg3Pct,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,HeaveAttempts,HeaveMakes,PenaltyCorner3FGM,FTOffRebounds,OffFTReboundPct,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,DefensiveGoaltends,BlockedLongMidRange,BlockedCorner3,3pt And 1 Free Throw Trips,StepOutOfBoundsTurnovers,3SecondViolations,Defensive 3 Seconds Violations,Corner3PctBlocked,OffensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
101139-1628382-1628981-1630202-2207,1610612738,"CJ Miles, Justin Jackson, Bruno Fernando, Payton Pritchard, Joe Johnson","Miles, Jackson, Fernando, Pritchard, Johnson",101139-1628382-1628981-1630202-2207,BOS,117.0,1,2.0,5.0,5.0,5.0,4.0,5.0,10.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,9.0,4.0,1.0,1.0,2.0,2.0,1.0,9.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,9.0,4.0,0.5,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.125,1.125,0.6666666666666666,1.0,1.0,1.0,123.07692307692308,9.8,13.6,9.8,13.6,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.4495,0.4495,0.25,0.5,1.0,9.3,28.25,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,True
1626196-1627759-1628369-1629057-1629684,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Robert Williams III, Grant Williams","Richardson, Brown, Tatum, Williams III, Williams",1626196-1627759-1628369-1629057-1629684,BOS,610.0,2,10.0,-1.0,17.0,17.0,4.0,2.0,34.0,,4.0,1.0,6.0,,1.0,4.0,10.0,1.0,7.0,6.0,17.0,18.0,,1.0,,2.0,5.0,5.0,,,3.0,6.0,1.0,,4.0,,8.0,3.0,5.0,6.0,4.0,5.0,6.0,1.0,17.0,5.0,4.0,,0.14285714285714285,,0.14285714285714285,0.4,,0.3235294117647059,,0.4473684210526316,0.5,0.4117647058823529,0.6,0.5555555555555556,1.0,80.26229508196722,18.823529411764707,17.058823529411764,18.294117647058822,14.823529411764707,0.23529411764705882,,,0.35294117647058826,0.16666666666666666,0.16666666666666666,,0.3333333333333333,,0.5882352941176471,0.16666666666666666,0.40755882352941175,0.3726333333333333,0.1111111111111111,0.1,0.29411764705882354,9.55,27.414285714285715,0.23529411764705882,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,8.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.25,1.0,0.16666666666666666,0.5,0.09090909090909091,0.25,0.3333333333333333,0.6666666666666666,0.17647058823529413,1.0,1.0,1.0,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,0.058823529411764705,1.0,0.3333333333333333,0.3663,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,True
1626196-1627759-1628369-1629057-1630202,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Robert Williams III, Payton Pritchard","Richardson, Brown, Tatum, Williams III, Pritchard",1626196-1627759-1628369-1629057-1630202,BOS,519.0,3,9.0,-3.0,18.0,20.0,12.0,13.0,38.0,,,,3.0,,3.0,5.0,10.0,1.0,6.0,6.0,19.0,22.0,3.0,6.0,,4.0,4.0,10.0,8.0,3.0,,3.0,,1.0,2.0,,5.0,2.0,3.0,6.0,2.0,4.0,6.0,2.0,15.0,10.0,12.0,1.0,0.16666666666666666,,0.16666666666666666,0.5,0.5,0.40625,0.3,0.5,0.4166666666666667,0.375,0.6666666666666666,0.75,0.5,105.43352601156069,15.38888888888889,12.1,14.722222222222221,12.05,,,,0.1875,,,,0.3,,0.75,,0.5608875,0.563485,0.1111111111111111,0.16666666666666666,0.5263157894736842,7.42,24.900000000000002,0.6666666666666666,4.0,4.0,6.0,1.0,4.0,3.0,1.0,,,2.0,1.0,1.0,1.0,,2.0,1.0,3.0,3.0,1.0,1.0,,2.0,1.0,1.0,,,1.0,,,,1.0,0.2,0.3333333333333333,0.1,,0.5,0.4,1.0,0.3,,1.0,1.0,0.375,0.6666666666666666,0.6666666666666666,0.25,0.25,0.25,0.3333333333333333,,0.1875,,0.1,0.5645666666666667,,2.0,3.0,2.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.25,0.2,0.5,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,0.75,0.6666666666666666,0.4,0.5,0.21052631578947367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,True
1626196-1627759-1628369-1629057-203471,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Robert Williams III, Dennis Schroder","Richardson, Brown, Tatum, Williams III, Schroder",1626196-1627759-1628369-1629057-203471,BOS,1626.0,7,27.0,-6.0,52.0,54.0,16.0,21.0,106.0,5.0,16.0,2.0,10.0,1.0,4.0,16.0,34.0,3.0,14.0,12.0,53.0,59.0,7.0,12.0,1.0,5.0,1.0,18.0,12.0,9.0,,10.0,2.0,3.0,13.0,2.0,29.0,7.0,19.0,27.0,18.0,13.0,14.0,6.0,42.0,18.0,16.0,1.0,0.21428571428571427,0.2,0.21428571428571427,0.47058823529411764,0.5833333333333334,0.4270833333333333,0.5,0.4818181818181818,0.5,0.2916666666666667,0.6363636363636364,0.7083333333333334,1.0,93.87453874538745,14.461538461538462,16.185185185185187,13.98076923076923,15.648148148148149,0.3333333333333333,0.3125,0.35714285714285715,0.20833333333333334,0.2,0.2222222222222222,1.0,0.23529411764705882,0.25,0.4583333333333333,0.2,0.46095104166666667,0.49166470588235295,0.1111111111111111,0.15,0.33962264150943394,9.902941176470588,25.771428571428572,0.3076923076923077,8.0,7.0,8.0,4.0,10.0,4.0,1.0,,,20.0,3.0,10.0,5.0,,5.0,10.0,8.0,3.0,2.0,3.0,1.0,6.0,1.0,10.0,,,1.0,2.0,,3.0,1.0,0.625,0.6666666666666666,0.08823529411764706,0.125,0.5,0.3125,0.7692307692307693,0.2962962962962963,0.4,0.8,0.75,0.16666666666666666,0.875,1.0,0.7142857142857143,0.20833333333333334,0.4,0.4,,0.08333333333333333,,0.058823529411764705,0.44654,,3.0,3.0,5.0,5.0,1.0,5.0,7.0,11.0,2.0,1.0,3.0,1.0,3.0,2.0,,1.0,0.7142857142857143,0.7142857142857143,0.6875,,0.2727272727272727,1.0,,,0.25,0.25,1.0,0.42857142857142855,1.0,0.29411764705882354,1.0,0.20754716981132076,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.07142857142857142,0.125,0.1,1.0,0.375,0.4,1.0,0.6666666666666666,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,True
1626196-1627759-1628369-1629057-203935,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Robert Williams III, Marcus Smart","Richardson, Brown, Tatum, Williams III, Smart",1626196-1627759-1628369-1629057-203935,BOS,2676.0,9,45.0,-24.0,84.0,90.0,42.0,37.0,174.0,5.0,15.0,10.0,31.0,7.0,18.0,20.0,36.0,11.0,37.0,18.0,91.0,115.0,7.0,15.0,7.0,20.0,11.0,46.0,22.0,27.0,6.0,31.0,10.0,9.0,18.0,8.0,45.0,8.0,26.0,37.0,25.0,14.0,20.0,7.0,80.0,46.0,42.0,0.8181818181818182,0.2972972972972973,0.35,0.2972972972972973,0.5555555555555556,0.4666666666666667,0.5,0.5,0.55625,0.5641025641025641,0.5068493150684932,0.5714285714285714,0.6486486486486487,1.0,93.6322869955157,14.761904761904763,15.955555555555556,14.19047619047619,15.122222222222222,0.2054794520547945,0.3333333333333333,0.35714285714285715,0.4246575342465753,0.3225806451612903,0.3225806451612903,0.8,0.5142857142857142,0.3888888888888889,0.7671232876712328,0.3225806451612903,0.5146833333333334,0.53071,0.10256410256410256,0.175,0.5054945054945055,5.438888888888889,26.675675675675677,0.5,9.0,13.0,19.0,2.0,2.0,6.0,2.0,2.0,3.0,18.0,3.0,9.0,6.0,1.0,6.0,16.0,11.0,6.0,2.0,7.0,6.0,16.0,7.0,13.0,3.0,1.0,2.0,4.0,1.0,4.0,2.0,0.45,0.47368421052631576,0.08333333333333333,0.06666666666666667,0.4375,0.375,0.6956521739130435,0.2619047619047619,0.5,,0.6666666666666666,0.2602739726027397,0.6842105263157895,0.7647058823529411,0.46153846153846156,0.0273972602739726,1.0,1.0,0.5,0.0821917808219178,0.2222222222222222,0.05714285714285714,0.56761,0.02631578947368421,4.0,5.0,6.0,10.0,1.0,4.0,6.0,11.0,2.0,1.0,5.0,4.0,9.0,1.0,1.0,3.0,0.6666666666666666,0.6111111111111112,0.6111111111111112,,0.19230769230769232,0.16666666666666666,,0.2,0.16666666666666666,0.16666666666666666,1.0,0.5555555555555556,0.8,0.2857142857142857,0.6,0.12087912087912088,,,2.0,2.0,2.0,1.0,1.0,1.0,,2.0,,,3.0,,,0.10526315789473684,,0.6666666666666666,0.19047619047619047,0.6,0.75,,0.4,0.25,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,0.3333333333333333,0.02564102564102564,0.1111111111111111,0.5,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,True
1626196-1627759-1628369-1629641-1629684,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Romeo Langford, Grant Williams","Richardson, Brown, Tatum, Langford, Williams",1626196-1627759-1628369-1629641-1629684,BOS,12.0,1,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,120.0,11.0,,11.0,,,,,,,,,,,1.0,,0.3065,0.3065,,,,3.8,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,True
1626196-1627759-1628369-1629641-202683,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Romeo Langford, Enes Freedom","Richardson, Brown, Tatum, Langford, Freedom",1626196-1627759-1628369-1629641-202683,BOS,140.0,1,2.0,-4.0,4.0,4.0,4.0,,8.0,1.0,2.0,,1.0,,1.0,1.0,2.0,,1.0,,2.0,6.0,1.0,2.0,,1.0,,2.0,2.0,,,1.0,,,,,,1.0,1.0,2.0,,,,,,2.0,4.0,,,,,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,1.0,82.28571428571428,14.25,20.75,14.0,15.25,0.6666666666666666,0.5,0.5,0.3333333333333333,,,,0.3333333333333333,,0.3333333333333333,,0.47573333333333334,0.47573333333333334,,,1.0,6.5,25.6,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,0.5,1.0,,0.5,1.0,,,,,,,,,,,,,,0.4717,,,,,,,1.0,1.0,2.0,2.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,True
1626196-1627759-1628369-1629684-201143,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Grant Williams, Al Horford","Richardson, Brown, Tatum, Williams, Horford",1626196-1627759-1628369-1629684-201143,BOS,142.0,2,2.0,,6.0,6.0,4.0,6.0,12.0,,,,1.0,,1.0,2.0,2.0,,1.0,,4.0,4.0,,,,1.0,,,,,,,,,2.0,,4.0,,2.0,2.0,2.0,1.0,,,2.0,,4.0,,,,,1.0,,0.6666666666666666,,0.6666666666666666,,0.3333333333333333,,1.0,,121.69014084507042,10.166666666666666,13.5,9.833333333333334,13.5,,,,0.3333333333333333,,,,1.0,,1.0,,0.55675,,,,,2.15,46.1,0.6666666666666666,1.0,2.0,2.0,,,,,,,4.0,,2.0,2.0,,,2.0,,1.0,,2.0,2.0,3.0,3.0,1.0,,,,,,,,1.0,1.0,,,0.6666666666666666,,1.0,,,,1.0,0.6666666666666666,1.0,1.0,1.0,,,,,,,,0.5606,,1.0,1.0,,,,1.0,1.0,2.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,True
1626196-1627759-1628369-1629684-203471,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Grant Williams, Dennis Schroder","Richardson, Brown, Tatum, Williams, Schroder",1626196-1627759-1628369-1629684-203471,BOS,47.0,3,1.0,1.0,4.0,1.0,4.0,1.0,5.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,3.0,2.0,,1.0,1.0,1.0,,3.0,,3.0,,-1.0,,1.0,1.0,1.0,3.0,,,,,,,,3.0,3.0,4.0,1.0,1.0,1.0,,,,0.75,0.75,0.75,0.75,0.5,,,,153.19148936170214,11.0,3.0,11.0,3.0,,,,0.5,1.0,1.0,1.0,0.5,1.0,1.0,,0.4628,0.4628,,,1.0,2.1,44.1,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,True
1626196-1627759-1628369-1629684-203953,1610612738,"Josh Richardson, Jaylen Brown, Jayson Tatum, Grant Williams, Jabari Parker","Richardson, Brown, Tatum, Williams, Parker",1626196-1627759-1628369-1629684-203953,BOS,15.0,1,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.4281,0.4281,0.5,0.5,,4.7,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612738,2022,2021-22,True
