EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,OffThreePtRebounds,PenaltyTurnovers,Offensive Fouls,BlockedAtRim,RecoveredBlocks,3SecondViolations,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceCorner3FGA,SecondChanceFG3A,BadPassOutOfBoundsTurnovers,NonShootingFoulsDrawn,BlockedShortMidRange,SecondChanceCorner3Frequency,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGA,ShortMidRangeAssists,2pt And 1 Free Throw Trips,OffCorner3ReboundPct,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,Defensive 3 Seconds Violations,FTDefRebounds,DefFTReboundPct,HeaveAttempts,Corner3FGM,Corner3Assists,LostBallSteals,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PtsUnassisted3s,PenaltyCorner3FGM,PtsPutbacks,ThreePtShootingFoulsDrawn,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,OffensiveGoaltends,SelfOReb,SelfORebPct,3pt And 1 Free Throw Trips,SecondChanceArc3FGA,SecondChanceArc3Frequency,LongMidRangePctBlocked,Blocked3s,BlockedCorner3,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,Clear Path Fouls,BlockedArc3,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
137-1717-1761-436-458,1610612742,"Vernon Maxwell, Dirk Nowitzki, Greg Buckner, Juwan Howard, Howard Eisley","Maxwell, Nowitzki, Buckner, Howard, Eisley",137-1717-1761-436-458,DAL,776.0,4,13.0,-5.0,24.0,27.0,1.0,4.0,51.0,4.0,6.0,2.0,8.0,1.0,5.0,1.0,1.0,1.0,7.0,19.0,1.0,2.0,4.0,21.0,26.0,1.0,2.0,2.0,1.0,1.0,8.0,6.0,3.0,1.0,1.0,4.0,4.0,1.0,5.0,1.0,3.0,1.0,11.0,5.0,4.0,4.0,8.0,5.0,13.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,6.0,2.0,4.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,19.0,1.0,1.0,0.5714285714285714,0.5714285714285714,1.0,0.5,0.5,0.3684210526315789,0.5,0.40476190476190477,0.5,0.43478260869565216,0.5,0.5,0.09523809523809523,0.21052631578947367,0.16666666666666666,0.375,0.5,0.6666666666666666,0.4166666666666667,1.0,0.8,0.38461538461538464,0.5,0.5,0.25,1.0,0.5,1.0,1.0,94.63917525773196,13.666666666666666,16.59259259259259,12.958333333333334,15.814814814814815,0.2857142857142857,0.6666666666666666,0.8,0.75,0.38095238095238093,0.25,0.4,0.23809523809523808,0.2,0.2,1.0,0.047619047619047616,0.047619047619047616,1.0,1.0,1.0,0.38095238095238093,1.0,0.4636785714285714,0.38385,0.08695652173913043,0.09523809523809523,0.09523809523809523,0.047619047619047616,7.778947368421053,23.5,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2001,2000-01,False
137-1717-1761-458-714,1610612742,"Vernon Maxwell, Dirk Nowitzki, Greg Buckner, Howard Eisley, Michael Finley","Maxwell, Nowitzki, Buckner, Eisley, Finley",137-1717-1761-458-714,DAL,229.0,2,4.0,-1.0,7.0,6.0,,1.0,13.0,1.0,1.0,,,,3.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,,8.0,9.0,,,,,,,2.0,6.0,2.0,2.0,,,2.0,2.0,2.0,,,6.0,1.0,2.0,,2.0,1.0,3.0,,,1.0,1.0,,,,,1.0,1.0,1.0,2.0,,,,,,,8.0,,,,,1.0,0.6666666666666666,0.6666666666666666,0.25,,0.5714285714285714,,0.5714285714285714,,,0.42857142857142855,,,,1.0,,0.3333333333333333,0.6666666666666666,0.5,0.25,,,0.3333333333333333,,,0.6666666666666666,,81.7467248908297,16.714285714285715,18.666666666666668,15.714285714285714,16.333333333333332,0.14285714285714285,1.0,1.0,,,,,0.42857142857142855,,,,0.14285714285714285,0.2857142857142857,1.0,1.0,1.0,0.5714285714285714,1.0,0.49875714285714284,,,,,,11.85,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2001,2000-01,False
137-1717-1761-458-762,1610612742,"Vernon Maxwell, Dirk Nowitzki, Greg Buckner, Howard Eisley, Shawn Bradley","Maxwell, Nowitzki, Buckner, Eisley, Bradley",137-1717-1761-458-762,DAL,305.0,2,5.0,6.0,11.0,9.0,4.0,2.0,20.0,2.0,3.0,1.0,1.0,1.0,1.0,,1.0,2.0,4.0,5.0,1.0,2.0,3.0,14.0,8.0,1.0,1.0,4.0,2.0,7.0,,8.0,3.0,2.0,1.0,,,1.0,1.0,1.0,,,3.0,,,5.0,5.0,1.0,6.0,,,1.0,1.0,3.0,,,,4.0,,,2.0,3.0,1.0,1.0,1.0,,1.0,10.0,7.0,4.0,,,1.0,0.5,0.5,0.8,1.0,0.7857142857142857,1.0,0.8125,1.0,1.1666666666666667,0.2857142857142857,,,,0.25,1.0,,,1.0,0.5,,,,1.0,1.0,,,94.42622950819673,13.727272727272727,17.11111111111111,12.272727272727273,17.11111111111111,0.42857142857142855,0.6666666666666666,0.6666666666666666,,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,,,0.2857142857142857,0.5,0.5,1.0,0.7142857142857143,0.5,0.5130428571428571,0.5775,0.125,0.16666666666666666,0.2857142857142857,0.5,6.7,25.4,0.36363636363636365,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.4823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2001,2000-01,False
137-1717-1761-714-959,1610612742,"Vernon Maxwell, Dirk Nowitzki, Greg Buckner, Michael Finley, Steve Nash","Maxwell, Nowitzki, Buckner, Finley, Nash",137-1717-1761-714-959,DAL,21.0,1,,-2.0,1.0,1.0,,,2.0,,,,,,1.0,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.14285714285714,21.0,,21.0,,,,,,,,,1.0,,,,,,,,,,,0.3592,,,,,,20.3,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2001,2000-01,False
137-1717-1761-762-959,1610612742,"Vernon Maxwell, Dirk Nowitzki, Greg Buckner, Shawn Bradley, Steve Nash","Maxwell, Nowitzki, Buckner, Bradley, Nash",137-1717-1761-762-959,DAL,61.0,1,1.0,-4.0,2.0,2.0,,,4.0,,,,,,1.0,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,94.42622950819673,24.5,6.0,24.5,6.0,,,,,,,,1.0,,,,,,,,,,,0.3805,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2001,2000-01,False
137-1717-1916-1917-959,1610612742,"Vernon Maxwell, Dirk Nowitzki, Calvin Booth, Wang Zhi-zhi, Steve Nash","Maxwell, Nowitzki, Booth, Zhi-zhi, Nash",137-1717-1916-1917-959,DAL,118.0,1,2.0,-3.0,4.0,4.0,,,8.0,1.0,1.0,,,,1.0,,,1.0,1.0,2.0,,1.0,2.0,4.0,7.0,,,,,,,2.0,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,2.0,2.0,,1.0,,,,4.0,,,,,,,,0.5,,0.3333333333333333,,0.5,,,0.3333333333333333,,,,,0.5,,,0.5,,,,,,1.0,,,97.6271186440678,15.0,14.5,15.0,14.0,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,0.6666666666666666,,0.5429666666666667,,0.25,0.3333333333333333,,,11.05,25.3,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2001,2000-01,False
137-1717-1916-436-458,1610612742,"Vernon Maxwell, Dirk Nowitzki, Calvin Booth, Juwan Howard, Howard Eisley","Maxwell, Nowitzki, Booth, Howard, Eisley",137-1717-1916-436-458,DAL,282.0,2,5.0,-5.0,9.0,9.0,1.0,1.0,18.0,,,1.0,3.0,,2.0,1.0,,,1.0,5.0,,1.0,2.0,4.0,9.0,,,,,2.0,,2.0,,,,1.0,,,,,,,,1.0,,5.0,5.0,1.0,6.0,,,2.0,2.0,1.0,,,,3.0,,,,3.0,1.0,,1.0,,1.0,4.0,2.0,1.0,,,,,,0.2,,0.16666666666666666,,0.2857142857142857,,1.0,0.16666666666666666,0.2,,0.3333333333333333,0.6666666666666666,1.0,0.25,,0.8333333333333334,0.2,,0.5,,1.0,1.0,,,91.91489361702128,16.11111111111111,15.222222222222221,15.333333333333334,14.0,,,,,0.5,0.3333333333333333,0.5,0.3333333333333333,,,,0.16666666666666666,,,,,0.16666666666666666,,0.38456666666666667,0.519,,,,0.5,12.120000000000001,23.6,0.1111111111111111,7.0,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,0.2636,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2001,2000-01,False
137-1717-1916-436-959,1610612742,"Vernon Maxwell, Dirk Nowitzki, Calvin Booth, Juwan Howard, Steve Nash","Maxwell, Nowitzki, Booth, Howard, Nash",137-1717-1916-436-959,DAL,32.0,1,1.0,-2.0,1.0,1.0,,,2.0,,,,,,1.0,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,13.0,19.0,13.0,19.0,,,,,,,,1.0,,,,,,,,,,,0.4207,,,,,,20.3,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2001,2000-01,False
137-1717-1916-458-714,1610612742,"Vernon Maxwell, Dirk Nowitzki, Calvin Booth, Howard Eisley, Michael Finley","Maxwell, Nowitzki, Booth, Eisley, Finley",137-1717-1916-458-714,DAL,192.0,1,3.0,-5.0,5.0,6.0,4.0,2.0,11.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,,3.0,6.0,,1.0,1.0,7.0,12.0,,2.0,,1.0,5.0,4.0,2.0,,,,2.0,2.0,,2.0,,1.0,,4.0,1.0,,,,2.0,2.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,7.0,5.0,4.0,0.6666666666666666,0.6666666666666666,,,,0.5,,0.42857142857142855,,0.5,,0.4166666666666667,0.14285714285714285,0.3333333333333333,,0.5,,,0.3333333333333333,,,0.5,,0.3333333333333333,,,,,,82.5,21.0,14.5,19.2,14.5,0.14285714285714285,1.0,1.0,1.0,0.5714285714285714,0.25,0.5,0.14285714285714285,1.0,1.0,,0.14285714285714285,,,,,0.2857142857142857,,0.4346571428571429,0.3749,0.14285714285714285,0.16666666666666666,,0.7142857142857143,9.783333333333333,23.3,0.8,3.0,,,,,,2.0,5.0,,1.0,1.0,,,,,,,0.4,0.3333333333333333,1.0,,,,,,,,0.4393833333333333,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2001,2000-01,False
137-1717-1916-458-762,1610612742,"Vernon Maxwell, Dirk Nowitzki, Calvin Booth, Howard Eisley, Shawn Bradley","Maxwell, Nowitzki, Booth, Eisley, Bradley",137-1717-1916-458-762,DAL,222.0,2,4.0,-6.0,5.0,7.0,1.0,,12.0,,1.0,,2.0,,1.0,,,1.0,,4.0,,1.0,,,6.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,2.0,3.0,,3.0,,,,,,,,,,,1.0,2.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,0.2,0.25,1.0,,,0.6666666666666666,,1.0,0.75,,,,,,1.0,,1.0,77.83783783783784,17.2,19.428571428571427,17.2,16.571428571428573,0.2,,,,0.4,,,0.2,,,,,0.2,,,,0.4,,0.46749999999999997,,,,,,9.45,24.7,0.2,,,,,,,,1.0,,,,,,,1.0,,,,,,,0.5,1.0,,,,,0.3935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2001,2000-01,False
