EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,OffThreePtRebounds,OffRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,LongMidRangeFGM,LongMidRangeAssists,ShootingFouls,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,FTDefRebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,LostBallOutOfBoundsTurnovers,DefAtRimReboundPct,LiveBallTurnovers,LostBallTurnovers,LiveBallTurnoverPct,HeaveAttempts,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeFGM,ShortMidRangeAssists,OffTwoPtRebounds,OffTwoPtReboundPct,OffLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceShotQualityAvg,PenaltyArc3FGA,PenaltyFG3A,PenaltyFtPoints,Fg2aBlocked,BadPassTurnovers,PenaltyTurnovers,Offensive Fouls,NonShootingFoulsDrawn,BlockedAtRim,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,PenaltyArc3Frequency,PtsPutbacks,Travels,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked3s,BlockedCorner3,SecondChanceFg3Pct,PenaltyFg3Pct,AtRimPctBlocked,OffAtRimReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,Corner3FGM,PenaltyCorner3FGM,PtsUnassisted3s,Corner3Assists,SecondChanceTurnovers,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,Loose Ball Fouls,SelfOReb,ThreePtShootingFoulsDrawn,DefensiveGoaltends,LongMidRangePctBlocked,SelfORebPct,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,BlockedLongMidRange,SecondChanceCorner3Frequency,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,FTOffRebounds,OffFTReboundPct,3SecondViolations,Clear Path Fouls,Arc3PctBlocked,OffensiveGoaltends,team_id,year,season,team_vs
1065-1134-1710-1722-2031,1610612763,"Erick Strickland, Ike Austin, Mike Bibby, Michael Dickerson, Stromile Swift","Strickland, Austin, Bibby, Dickerson, Swift",1065-1134-1710-1722-2031,VAN,245.0,2,4.0,2.0,7.0,8.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,7.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5833333333333334,0.6,0.6666666666666666,0.6666666666666666,0.5,1.0,88.16326530612245,0.5,10.142857142857142,21.75,10.142857142857142,18.875,0.2,1.0,1.0,1.0,0.2,0.2,0.4,0.5,0.5,1.0,0.8,0.5,0.52846,0.16666666666666666,0.3333333333333333,12.05,24.933333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2001,2000-01,False
1065-1134-1710-1722-949,1610612763,"Erick Strickland, Ike Austin, Mike Bibby, Michael Dickerson, Shareef Abdur-Rahim","Strickland, Austin, Bibby, Dickerson, Abdur-Rahim",1065-1134-1710-1722-949,VAN,206.0,1,3.0,-1.0,7.0,7.0,,14.0,1.0,2.0,1.0,,1.0,4.0,1.0,4.0,1.0,4.0,,5.0,6.0,,3.0,4.0,1.0,,1.0,1.0,1.0,,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,3.0,,,1.0,0.25,0.25,0.25,0.3125,0.3125,0.5,1.0,1.0,,1.0,97.86407766990291,,19.428571428571427,10.0,18.428571428571427,10.0,0.25,0.5,0.5,,0.125,,0.5,0.25,0.25,1.0,0.75,0.25,0.5023,,,6.475,24.95,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.125,1.0,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2001,2000-01,False
1065-1134-1710-1800-2031,1610612763,"Erick Strickland, Ike Austin, Mike Bibby, Damon Jones, Stromile Swift","Strickland, Austin, Bibby, Jones, Swift",1065-1134-1710-1800-2031,VAN,122.0,1,2.0,-3.0,3.0,2.0,,5.0,,,1.0,1.0,,1.0,1.0,1.0,,2.0,,2.0,5.0,2.0,,1.0,,1.0,,1.0,,,2.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,,2.0,1.0,1.0,,,,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,,,59.016393442622956,,22.0,28.0,22.0,19.0,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,0.6666666666666666,,0.45598333333333335,,,19.3,24.1,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2001,2000-01,False
1065-1134-1710-2031-236,1610612763,"Erick Strickland, Ike Austin, Mike Bibby, Stromile Swift, Kevin Edwards","Strickland, Austin, Bibby, Swift, Edwards",1065-1134-1710-2031-236,VAN,76.0,1,1.0,,3.0,4.0,4.0,7.0,1.0,1.0,2.0,,,,2.0,3.0,,,,4.0,4.0,4.0,,,,2.0,,2.0,,1.0,4.0,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,4.0,1.0,1.0,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,132.63157894736844,,11.666666666666666,10.25,11.666666666666666,10.25,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,,,,,,0.3333333333333333,,0.4424666666666666,,,12.566666666666668,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,0.5,1.0,3.0,1.0,1.0,2.0,3.0,4.0,1.0,4.0,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,0.4424666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2001,2000-01,False
1065-1134-1722-2031-51,1610612763,"Erick Strickland, Ike Austin, Michael Dickerson, Stromile Swift, Mahmoud Abdul-Rauf","Strickland, Austin, Dickerson, Swift, Abdul-Rauf",1065-1134-1722-2031-51,VAN,98.0,1,2.0,2.0,3.0,3.0,,6.0,,,2.0,,,,1.0,2.0,,,,2.0,,2.0,,,,1.0,,1.0,,,2.0,2.0,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,2.0,1.0,1.0,,,,0.5,0.5,0.5,,1.0,1.0,,1.0,88.16326530612245,,9.666666666666666,23.0,9.666666666666666,23.0,,,,,1.0,,,,,,,,0.39825,,,18.05,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2001,2000-01,False
1065-1134-1722-51-949,1610612763,"Erick Strickland, Ike Austin, Michael Dickerson, Mahmoud Abdul-Rauf, Shareef Abdur-Rahim","Strickland, Austin, Dickerson, Abdul-Rauf, Abdur-Rahim",1065-1134-1722-51-949,VAN,89.0,1,1.0,-5.0,4.0,5.0,1.0,9.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,3.0,8.0,,3.0,1.0,1.0,,1.0,1.0,1.0,,3.0,,,,,,,,,1.0,,,,,,,,3.0,,,1.0,1.0,1.0,,0.75,0.75,0.5,,,,,145.61797752808988,,12.75,7.6,12.75,7.6,,,,,0.5,,0.5,1.0,1.0,1.0,0.5,1.0,0.4964,,,19.3,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,0.25,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2001,2000-01,False
1065-1134-1800-2031-949,1610612763,"Erick Strickland, Ike Austin, Damon Jones, Stromile Swift, Shareef Abdur-Rahim","Strickland, Austin, Jones, Swift, Abdur-Rahim",1065-1134-1800-2031-949,VAN,165.0,1,3.0,-1.0,5.0,4.0,1.0,9.0,1.0,1.0,1.0,,,2.0,1.0,3.0,,2.0,2.0,4.0,5.0,,,1.0,,,,,,,,1.0,2.0,2.0,,,,,,,,2.0,1.0,,,,,4.0,,,,,,0.3333333333333333,0.2,0.3333333333333333,0.4,1.0,1.0,,1.0,78.54545454545455,,16.2,21.0,16.2,21.0,0.2,1.0,1.0,,0.2,,0.4,,,,0.6,,0.3811875,0.16666666666666666,0.25,10.466666666666667,42.45,,,,1.0,,,,2.0,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2001,2000-01,False
1065-1134-2031-236-51,1610612763,"Erick Strickland, Ike Austin, Stromile Swift, Kevin Edwards, Mahmoud Abdul-Rauf","Strickland, Austin, Swift, Edwards, Abdul-Rauf",1065-1134-2031-236-51,VAN,112.0,1,2.0,-1.0,3.0,3.0,3.0,6.0,,,1.0,,,,1.0,4.0,,,,2.0,3.0,2.0,,,,1.0,,1.0,,,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,2.0,1.0,1.0,,,,0.25,0.25,0.25,,0.6666666666666666,0.6666666666666666,,0.5,77.14285714285714,,17.666666666666668,19.666666666666668,15.333333333333334,19.666666666666668,,,,,0.25,,,,,,,,0.4041,,,12.35,,1.0,,,3.0,,1.0,,,,1.0,,,,,0.3333333333333333,,0.75,,,,,,,,,,3.0,,,1.0,4.0,2.0,,2.0,3.0,0.25,0.25,0.25,,,,0.4041,1.0,1.0,,1.0,,,,,,,,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2001,2000-01,False
1065-1134-2031-51-949,1610612763,"Erick Strickland, Ike Austin, Stromile Swift, Mahmoud Abdul-Rauf, Shareef Abdur-Rahim","Strickland, Austin, Swift, Abdul-Rauf, Abdur-Rahim",1065-1134-2031-51-949,VAN,1001.0,4,17.0,-17.0,30.0,34.0,8.0,64.0,1.0,2.0,17.0,,,3.0,8.0,21.0,,3.0,2.0,18.0,35.0,12.0,,3.0,,6.0,,6.0,,1.0,12.0,8.0,11.0,14.0,2.0,2.0,,1.0,2.0,7.0,6.0,4.0,1.0,1.0,,1.0,1.0,18.0,0.75,0.75,,,,0.38095238095238093,0.3333333333333333,0.34615384615384615,0.125,0.6666666666666666,0.7333333333333333,1.0,0.5714285714285714,92.06793206793206,1.0,18.933333333333334,12.735294117647058,17.633333333333333,12.588235294117647,0.08333333333333333,0.5,0.5,1.0,0.7083333333333334,,0.125,,,,0.20833333333333334,,0.4172520833333333,0.04,0.045454545454545456,15.99047619047619,25.03333333333333,3.0,,,2.0,,3.0,,4.0,1.0,3.0,,,,0.3333333333333333,0.1875,0.3333333333333333,0.08333333333333333,,,,7.0,5.0,2.0,0.4117647058823529,0.4117647058823529,0.7142857142857143,12.0,1.0,2.0,3.0,8.0,7.0,,7.0,12.0,0.375,0.3,0.3181818181818182,,0.2,0.5,0.436565,0.3888888888888889,0.4,,0.75,5.0,3.0,0.7142857142857143,,3.0,1.0,1.0,,,2.0,0.15384615384615385,0.1,,,,0.4013,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09523809523809523,1.0,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2001,2000-01,False
1065-1710-1722-1800-2031,1610612763,"Erick Strickland, Mike Bibby, Michael Dickerson, Damon Jones, Stromile Swift","Strickland, Bibby, Dickerson, Jones, Swift",1065-1710-1722-1800-2031,VAN,4.0,1,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,360.0,,4.0,,4.0,,,,,,,,1.0,,,,1.0,,0.2037,,,,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,0.2037,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2001,2000-01,False
